#{"t_start": 1523124786.1800995, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.006432
0.0,2,0.006557
0.0,10,0.006865
0.0,1,0.006949
0.0,7,0.007159
0.0,20,0.007639
0.0,16,0.008051
0.0,2,0.00816
0.0,18,0.008601
0.0,2,0.008721
0.0,9,0.008983
0.0,11,0.009271
0.0,85,0.01114
0.0,3,0.011272
0.0,9,0.011519
0.0,33,0.012296
0.0,22,0.012825
0.0,26,0.013433
0.0,2,0.013538
0.0,82,0.015337
0.0,25,0.015926
0.0,11,0.016224
1.0,22,0.016757
0.0,41,0.017681
0.0,21,0.018191
0.0,6,0.018383
0.0,25,0.01898
0.0,9,0.019227
0.0,2,0.019336
0.0,2,0.01944
0.0,15,0.019825
0.0,36,0.020625
0.0,36,0.02145
0.0,9,0.021719
0.0,5,0.02189
1.0,28,0.022535
0.0,16,0.022945
1.0,25,0.023523
0.0,23,0.024075
0.0,11,0.024362
0.0,8,0.024586
0.0,9,0.024846
0.0,8,0.025071
1.0,23,0.025609
0.0,10,0.025887
0.0,26,0.026489
0.0,8,0.026733
1.0,14,0.027099
0.0,10,0.027369
0.0,6,0.027552
0.0,7,0.027775
0.0,9,0.028029
0.0,7,0.028241
0.0,11,0.028535
0.0,8,0.028784
0.0,29,0.029461
0.0,6,0.029646
0.0,1,0.029731
0.0,23,0.030292
0.0,15,0.030664
1.0,23,0.031211
0.0,6,0.031394
0.0,1,0.03147
0.0,13,0.031819
0.0,17,0.03224
0.0,39,0.033125
0.0,21,0.03363
1.0,12,0.033948
0.0,10,0.034222
0.0,17,0.034635
0.0,5,0.034812
0.0,28,0.035468
0.0,12,0.035787
0.0,17,0.036218
0.0,4,0.036366
0.0,6,0.036551
0.0,6,0.036746
0.0,4,0.036896
1.0,10,0.03716
0.0,8,0.03739
0.0,7,0.037606
0.0,14,0.037965
0.0,5,0.038135
0.0,21,0.038644
0.0,6,0.038841
0.0,16,0.039238
0.0,6,0.039429
1.0,11,0.039731
0.0,1,0.039814
0.0,4,0.039967
0.0,3,0.040089
0.0,14,0.040441
0.0,5,0.04061
0.0,22,0.041144
1.0,28,0.041808
0.0,2,0.041915
0.0,39,0.042808
0.0,15,0.043188
0.0,4,0.043332
0.0,4,0.043478
0.0,7,0.043689
