#{"t_start": 1523135668.6502328, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.006577
0.0,1,0.006676
0.0,7,0.006913
0.0,7,0.007149
0.0,4,0.007314
0.0,1,0.007401
0.0,2,0.007515
0.0,18,0.007998
0.0,9,0.008278
0.0,10,0.008584
0.0,7,0.008813
0.0,18,0.009283
0.0,7,0.00952
0.0,13,0.009881
1.0,15,0.01028
0.0,5,0.010466
0.0,4,0.010622
0.0,43,0.011633
0.0,13,0.011991
0.0,11,0.012335
0.0,12,0.012671
0.0,13,0.013038
0.0,12,0.013395
0.0,1,0.013485
0.0,13,0.013834
0.0,13,0.014179
0.0,19,0.014682
0.0,14,0.015052
0.0,20,0.015571
0.0,31,0.01632
0.0,17,0.016774
0.0,25,0.017404
0.0,100,0.01969
0.0,2,0.019803
0.0,2,0.019917
0.0,15,0.020333
0.0,9,0.020609
0.0,6,0.020805
0.0,22,0.021378
0.0,7,0.021607
0.0,8,0.02185
0.0,1,0.021932
0.0,4,0.022093
0.0,7,0.022321
0.0,6,0.022517
0.0,16,0.022938
0.0,8,0.02319
0.0,3,0.023342
0.0,4,0.023503
0.0,5,0.023682
0.0,21,0.024205
0.0,9,0.024559
0.0,11,0.024866
0.0,17,0.025293
0.0,6,0.025545
0.0,6,0.025747
0.0,20,0.026239
0.0,4,0.026397
0.0,10,0.026676
0.0,6,0.026881
0.0,29,0.0276
0.0,20,0.028103
0.0,32,0.028897
0.0,26,0.029544
0.0,31,0.030279
0.0,6,0.030494
0.0,27,0.031163
0.0,9,0.031448
0.0,7,0.031671
0.0,11,0.031972
0.0,8,0.032221
0.0,14,0.032609
0.0,13,0.032961
0.0,9,0.033222
0.0,15,0.033631
0.0,6,0.03383
0.0,15,0.034231
0.0,39,0.035164
0.0,10,0.035463
0.0,9,0.035728
1.0,14,0.036108
0.0,22,0.036677
0.0,16,0.037102
0.0,3,0.037241
0.0,8,0.037498
0.0,21,0.038016
0.0,8,0.03826
0.0,3,0.038399
0.0,9,0.038663
0.0,3,0.038802
0.0,41,0.039773
0.0,5,0.039956
0.0,18,0.040447
0.0,3,0.040577
0.0,1,0.040664
0.0,4,0.040824
0.0,8,0.041069
0.0,31,0.041824
0.0,21,0.042385
1.0,18,0.042836
0.0,2,0.042942
0.0,9,0.043209
0.0,5,0.043399
0.0,12,0.043734
0.0,8,0.043978
0.0,5,0.044149
0.0,4,0.044306
0.0,11,0.044612
0.0,9,0.044883
0.0,9,0.045156
0.0,16,0.045591
0.0,8,0.045844
0.0,5,0.046023
0.0,1,0.046104
0.0,9,0.04638
0.0,26,0.047017
0.0,8,0.047255
0.0,8,0.04751
1.0,15,0.0479
0.0,25,0.048529
0.0,1,0.048612
0.0,6,0.048806
0.0,15,0.049204
0.0,16,0.049641
0.0,19,0.050129
0.0,40,0.051072
0.0,24,0.051699
0.0,5,0.051881
0.0,5,0.052053
0.0,1,0.052134
0.0,3,0.052263
0.0,5,0.052446
0.0,7,0.052671
1.0,11,0.052989
0.0,9,0.05325
0.0,2,0.053369
0.0,13,0.053726
0.0,3,0.053865
0.0,3,0.054004
0.0,3,0.054135
0.0,30,0.054854
0.0,16,0.055261
0.0,8,0.055506
0.0,15,0.055908
0.0,33,0.056724
0.0,21,0.057244
0.0,2,0.057366
0.0,26,0.058007
0.0,7,0.058232
0.0,9,0.058523
0.0,12,0.058861
0.0,18,0.059324
0.0,10,0.059627
0.0,7,0.059854
0.0,3,0.059982
0.0,1,0.060068
0.0,1,0.060154
0.0,3,0.060289
0.0,25,0.060914
0.0,5,0.061088
0.0,3,0.061215
0.0,22,0.061783
0.0,30,0.062533
0.0,5,0.062721
0.0,3,0.062851
0.0,9,0.06311
0.0,6,0.06334
0.0,12,0.063689
0.0,14,0.064065
0.0,3,0.064199
0.0,6,0.064407
0.0,15,0.064805
0.0,21,0.065346
0.0,2,0.065454
0.0,1,0.065542
0.0,6,0.065743
