#{"t_start": 1522231794.9356942, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.007179
0.0,2,0.007442
0.0,2,0.007725
0.0,13,0.008631
0.0,25,0.010269
0.0,10,0.011059
0.0,6,0.0115
0.0,6,0.012023
0.0,10,0.012766
0.0,28,0.014631
0.0,10,0.015361
0.0,4,0.015759
0.0,45,0.018652
0.0,21,0.020132
0.0,11,0.020979
0.0,10,0.02173
0.0,4,0.022061
0.0,5,0.022464
0.0,17,0.023668
0.0,3,0.023968
0.0,6,0.024408
0.0,1,0.024559
0.0,2,0.024824
0.0,6,0.025263
0.0,7,0.025817
0.0,19,0.02706
0.0,11,0.027884
0.0,7,0.028386
0.0,3,0.02873
0.0,6,0.029167
0.0,5,0.029542
0.0,12,0.030401
0.0,4,0.030801
0.0,10,0.031467
0.0,11,0.032299
0.0,14,0.033267
0.0,4,0.033672
0.0,2,0.033878
0.0,13,0.034788
0.0,5,0.035179
0.0,8,0.035793
0.0,15,0.036811
0.0,3,0.037091
0.0,8,0.037723
0.0,29,0.039626
0.0,5,0.04008
0.0,5,0.040459
0.0,21,0.041899
0.0,13,0.042869
0.0,16,0.043962
0.0,54,0.047423
0.0,8,0.048118
0.0,5,0.048501
0.0,13,0.049424
0.0,8,0.050054
1.0,100,0.056369
0.0,4,0.056836
1.0,31,0.058859
0.0,3,0.059186
0.0,6,0.059696
0.0,81,0.064809
0.0,7,0.065376
0.0,8,0.065995
0.0,4,0.066322
0.0,3,0.066655
0.0,1,0.066803
0.0,5,0.067184
0.0,11,0.067972
0.0,7,0.06847
0.0,6,0.068973
0.0,8,0.069515
0.0,9,0.070176
0.0,26,0.071917
0.0,12,0.072821
0.0,28,0.074657
0.0,4,0.075065
0.0,4,0.075387
0.0,6,0.075877
0.0,9,0.076489
0.0,9,0.07717
0.0,1,0.077324
0.0,69,0.082063
0.0,1,0.082306
0.0,13,0.083223
0.0,5,0.083679
0.0,8,0.084228
0.0,4,0.084551
0.0,10,0.085274
0.0,8,0.085912
0.0,5,0.086312
0.0,1,0.086468
0.0,2,0.08674
0.0,13,0.087648
0.0,9,0.088271
0.0,18,0.089482
0.0,42,0.092247
0.0,27,0.094136
0.0,12,0.095062
0.0,3,0.09534
0.0,8,0.095959
0.0,3,0.096233
0.0,6,0.096733
0.0,11,0.097456
0.0,11,0.09826
0.0,14,0.099226
0.0,3,0.099504
0.0,6,0.100003
0.0,6,0.100443
0.0,13,0.101346
0.0,4,0.101755
