#{"t_start": 1523126587.9306364, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,9,0.033716
0.0,1,0.033942
0.0,1,0.034108
0.0,3,0.03431
0.0,1,0.03442
0.0,24,0.03555
0.0,4,0.035795
0.0,3,0.036008
0.0,14,0.036684
0.0,3,0.036894
0.0,4,0.03714
0.0,9,0.037599
0.0,10,0.03812
0.0,23,0.039201
0.0,2,0.039359
0.0,8,0.039776
0.0,6,0.040115
0.0,19,0.041021
0.0,16,0.041785
1.0,15,0.042514
0.0,16,0.043293
0.0,5,0.04358
0.0,6,0.043926
0.0,7,0.044302
0.0,9,0.04476
0.0,7,0.045143
0.0,3,0.045346
0.0,9,0.045806
0.0,5,0.046103
0.0,6,0.046431
0.0,3,0.046629
0.0,1,0.046738
0.0,20,0.047687
0.0,4,0.047942
0.0,23,0.049028
0.0,3,0.04923
0.0,7,0.049604
0.0,33,0.051136
0.0,4,0.051381
0.0,6,0.051713
0.0,16,0.052485
0.0,1,0.052597
0.0,1,0.052706
0.0,3,0.052918
0.0,2,0.053077
0.0,3,0.053275
0.0,26,0.054492
0.0,20,0.055443
0.0,5,0.055731
0.0,16,0.056503
0.0,3,0.056703
0.0,7,0.057091
0.0,3,0.057295
0.0,4,0.05754
0.0,1,0.057649
0.0,10,0.058162
0.0,38,0.059908
0.0,35,0.061503
0.0,22,0.062535
0.0,15,0.063274
0.0,10,0.063781
0.0,7,0.06417
0.0,20,0.065122
0.0,14,0.065799
0.0,23,0.06689
0.0,9,0.067354
0.0,3,0.067553
0.0,8,0.06798
0.0,8,0.068398
0.0,9,0.068861
0.0,19,0.069766
0.0,25,0.070942
1.0,20,0.071895
1.0,10,0.072405
1.0,52,0.074764
0.0,2,0.074934
0.0,6,0.075268
0.0,2,0.075424
0.0,33,0.076957
0.0,3,0.077158
0.0,30,0.078532
0.0,21,0.079516
0.0,25,0.080689
0.0,21,0.08169
0.0,7,0.082074
0.0,13,0.08271
0.0,9,0.08318
0.0,7,0.083556
0.0,23,0.084639
0.0,9,0.085115
0.0,22,0.086154
0.0,12,0.086746
1.0,14,0.087437
0.0,7,0.08781
0.0,2,0.087978
0.0,1,0.088088
0.0,1,0.088197
0.0,5,0.088482
0.0,6,0.08881
0.0,1,0.088929
0.0,14,0.089603
0.0,1,0.089711
0.0,5,0.090012
0.0,18,0.090864
0.0,3,0.091076
0.0,20,0.092015
0.0,6,0.092348
0.0,2,0.092506
0.0,10,0.093019
0.0,2,0.093175
0.0,7,0.093546
0.0,37,0.095246
0.0,17,0.096068
0.0,3,0.096269
0.0,14,0.096952
0.0,10,0.09746
0.0,3,0.097659
0.0,1,0.09777
0.0,2,0.097938
1.0,15,0.098661
0.0,1,0.098772
0.0,12,0.099375
0.0,9,0.099839
0.0,4,0.100088
0.0,6,0.100421
0.0,2,0.100576
0.0,6,0.100915
0.0,7,0.10129
1.0,10,0.101794
0.0,13,0.102438
0.0,4,0.102686
0.0,14,0.103375
0.0,6,0.103705
0.0,3,0.10392
0.0,5,0.104208
0.0,20,0.105151
0.0,4,0.105394
0.0,9,0.105855
0.0,3,0.106063
0.0,7,0.106435
0.0,3,0.106634
0.0,5,0.106935
0.0,3,0.107138
0.0,11,0.107684
0.0,8,0.108111
0.0,4,0.108357
0.0,6,0.108688
0.0,8,0.109121
0.0,6,0.10945
0.0,3,0.109651
0.0,7,0.110037
0.0,12,0.110631
0.0,16,0.111407
0.0,11,0.111962
0.0,9,0.112424
0.0,5,0.11271
0.0,9,0.113179
0.0,12,0.113768
0.0,11,0.114331
0.0,10,0.114835
0.0,1,0.114955
0.0,4,0.115198
0.0,6,0.115526
0.0,4,0.115769
0.0,8,0.116194
0.0,15,0.116921
0.0,6,0.117255
0.0,5,0.117545
0.0,4,0.117788
0.0,6,0.118132
