#{"t_start": 1523134984.559598, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.036551
0.0,1,0.036776
0.0,5,0.037226
0.0,3,0.037525
0.0,16,0.038697
0.0,22,0.040252
0.0,3,0.040549
0.0,6,0.041035
0.0,69,0.045641
0.0,11,0.046473
0.0,3,0.046769
0.0,5,0.047204
0.0,8,0.047827
0.0,100,0.052366
0.0,38,0.054075
0.0,1,0.054189
0.0,17,0.054991
0.0,8,0.055415
0.0,5,0.055701
0.0,4,0.055939
0.0,8,0.056363
0.0,18,0.057219
0.0,13,0.05785
0.0,1,0.057959
0.0,3,0.058173
0.0,7,0.058544
0.0,1,0.058665
0.0,5,0.058949
0.0,6,0.059289
0.0,17,0.060104
0.0,12,0.060688
0.0,6,0.061014
0.0,7,0.061394
0.0,9,0.061851
0.0,8,0.062271
0.0,21,0.063246
0.0,12,0.063832
0.0,3,0.064027
0.0,9,0.064488
0.0,3,0.064688
0.0,6,0.065012
0.0,10,0.065524
0.0,11,0.066072
0.0,13,0.0667
0.0,4,0.06694
0.0,1,0.067048
0.0,5,0.067341
0.0,15,0.068048
0.0,7,0.068434
0.0,10,0.068935
0.0,4,0.069187
0.0,10,0.069688
0.0,11,0.070237
0.0,39,0.071981
0.0,10,0.072495
0.0,25,0.073649
0.0,24,0.074764
0.0,5,0.075048
0.0,7,0.075427
0.0,11,0.075971
0.0,4,0.076223
0.0,14,0.076892
0.0,12,0.077482
0.0,1,0.077593
0.0,39,0.079356
0.0,10,0.079862
0.0,3,0.080067
0.0,7,0.080435
0.0,10,0.080928
0.0,3,0.081135
0.0,13,0.081759
0.0,3,0.081955
1.0,23,0.08302
1.0,11,0.083574
0.0,16,0.084347
0.0,5,0.084633
0.0,6,0.084957
0.0,7,0.085337
0.0,6,0.085667
0.0,8,0.086091
0.0,27,0.08733
0.0,7,0.087703
1.0,29,0.089021
0.0,6,0.089357
0.0,3,0.089556
0.0,1,0.089665
0.0,12,0.090264
0.0,4,0.090508
0.0,9,0.09096
0.0,4,0.091217
0.0,9,0.091671
0.0,10,0.092177
1.0,33,0.093668
0.0,3,0.093865
1.0,57,0.096404
0.0,6,0.096734
0.0,1,0.096843
0.0,1,0.09695
0.0,5,0.097245
0.0,6,0.097574
0.0,6,0.097898
0.0,7,0.098286
0.0,3,0.098488
0.0,6,0.098814
0.0,8,0.099244
0.0,4,0.099488
0.0,5,0.09977
0.0,4,0.100011
0.0,6,0.100347
0.0,4,0.100588
0.0,8,0.101002
0.0,23,0.102074
0.0,15,0.102784
0.0,15,0.103509
1.0,67,0.106485
0.0,1,0.106598
0.0,9,0.107066
0.0,4,0.10731
0.0,6,0.107639
1.0,17,0.108453
0.0,10,0.108948
0.0,1,0.109069
0.0,3,0.109266
0.0,10,0.10976
0.0,3,0.109957
0.0,9,0.110422
0.0,4,0.110667
0.0,1,0.110778
1.0,30,0.112147
1.0,21,0.113116
0.0,3,0.113317
0.0,7,0.113683
0.0,3,0.113879
0.0,1,0.113987
0.0,3,0.114194
0.0,6,0.114523
1.0,25,0.115664
1.0,13,0.116304
1.0,12,0.11689
0.0,5,0.117186
0.0,11,0.117729
0.0,7,0.118117
0.0,15,0.118834
0.0,7,0.119219
0.0,17,0.120018
1.0,23,0.12109
1.0,18,0.121941
0.0,21,0.122924
0.0,23,0.123997
0.0,14,0.124683
0.0,14,0.12536
0.0,1,0.125473
0.0,4,0.125714
0.0,6,0.126039
0.0,9,0.126506
0.0,10,0.127007
0.0,3,0.127214
0.0,4,0.127453
0.0,10,0.127953
0.0,11,0.128513
0.0,5,0.128797
0.0,7,0.129176
1.0,11,0.129718
1.0,25,0.130866
0.0,5,0.131159
0.0,5,0.131443
0.0,8,0.131858
1.0,22,0.132872
1.0,9,0.133336
0.0,7,0.133707
0.0,3,0.133903
0.0,22,0.134927
0.0,5,0.135226
0.0,16,0.135977
1.0,23,0.137037
0.0,3,0.137304
0.0,6,0.137646
0.0,6,0.137974
0.0,13,0.138614
0.0,21,0.139598
0.0,3,0.139795
1.0,12,0.140384
0.0,7,0.140751
0.0,4,0.140992
0.0,1,0.141114
0.0,11,0.14165
0.0,6,0.141974
1.0,47,0.144097
0.0,8,0.144507
0.0,24,0.14562
0.0,20,0.146561
0.0,4,0.146801
0.0,6,0.147138
0.0,10,0.147634
0.0,3,0.147834
0.0,11,0.148387
0.0,5,0.148669
0.0,4,0.14891
0.0,14,0.149593
1.0,29,0.150914
0.0,13,0.151548
1.0,24,0.152658
0.0,21,0.153636
0.0,17,0.154448
1.0,17,0.155256
0.0,27,0.156485
0.0,6,0.156822
0.0,14,0.157508
0.0,7,0.157881
0.0,16,0.158653
0.0,5,0.15894
0.0,3,0.159151
0.0,11,0.159692
0.0,9,0.16016
0.0,25,0.161313
0.0,3,0.161515
0.0,1,0.161623
0.0,14,0.1623
0.0,13,0.16292
0.0,11,0.163468
0.0,3,0.163665
0.0,3,0.163864
0.0,8,0.164284
0.0,6,0.164609
0.0,30,0.165972
0.0,4,0.166229
0.0,12,0.166808
0.0,5,0.1671
1.0,42,0.168997
0.0,4,0.169246
0.0,20,0.170182
0.0,5,0.17047
0.0,22,0.1715
0.0,12,0.172104
1.0,6,0.172432
0.0,1,0.17254
0.0,18,0.173396
0.0,4,0.173637
0.0,1,0.173746
0.0,1,0.173857
0.0,1,0.173964
0.0,27,0.175217
0.0,12,0.175795
0.0,37,0.177468
0.0,20,0.178409
0.0,7,0.178778
0.0,1,0.17889
0.0,14,0.179591
0.0,8,0.18001
0.0,4,0.18026
0.0,3,0.180458
0.0,3,0.180655
0.0,8,0.181077
0.0,10,0.181575
0.0,38,0.183294
0.0,2,0.18345
0.0,18,0.184298
