#{"t_start": 1522232322.618373, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.007151
0.0,1,0.007257
0.0,3,0.007398
0.0,6,0.007599
0.0,2,0.00772
0.0,5,0.007897
0.0,4,0.008052
0.0,7,0.008268
0.0,9,0.008534
0.0,6,0.008739
0.0,9,0.009006
0.0,44,0.01006
0.0,2,0.010172
0.0,6,0.010371
1.0,71,0.011996
0.0,64,0.013484
0.0,17,0.013927
1.0,99,0.016183
0.0,44,0.017233
0.0,61,0.018659
0.0,5,0.018848
0.0,81,0.020725
0.0,74,0.022434
0.0,21,0.022984
0.0,20,0.023496
0.0,8,0.023752
0.0,8,0.023997
1.0,13,0.024347
1.0,21,0.024886
1.0,63,0.02634
0.0,20,0.026855
0.0,10,0.02714
0.0,20,0.027657
0.0,4,0.027815
0.0,44,0.028872
1.0,29,0.029573
0.0,6,0.029783
0.0,12,0.030112
0.0,24,0.030716
1.0,54,0.031977
0.0,20,0.032478
1.0,29,0.033193
1.0,31,0.033957
0.0,16,0.034374
0.0,6,0.034564
0.0,5,0.034743
0.0,14,0.035122
0.0,26,0.035773
1.0,45,0.036834
0.0,3,0.036966
0.0,41,0.037945
0.0,5,0.038118
0.0,17,0.038558
0.0,8,0.038818
0.0,38,0.039722
0.0,10,0.040001
1.0,22,0.040555
1.0,28,0.041255
0.0,2,0.041358
1.0,10,0.041646
0.0,6,0.041846
0.0,13,0.042196
0.0,1,0.042274
0.0,17,0.042729
0.0,11,0.043031
1.0,28,0.043707
1.0,23,0.044269
1.0,39,0.045199
1.0,20,0.045718
0.0,26,0.046362
0.0,35,0.047204
0.0,14,0.047582
0.0,28,0.048269
0.0,4,0.048433
0.0,2,0.048537
0.0,14,0.048956
0.0,39,0.049907
0.0,33,0.050696
0.0,1,0.050784
1.0,12,0.051108
0.0,1,0.051188
0.0,9,0.051446
0.0,7,0.051657
0.0,13,0.052012
1.0,20,0.052509
1.0,97,0.05471
0.0,5,0.05489
0.0,9,0.055159
0.0,2,0.055262
1.0,19,0.055753
0.0,17,0.056184
0.0,31,0.056932
1.0,48,0.058068
0.0,5,0.058245
0.0,25,0.058872
0.0,13,0.059226
0.0,12,0.059546
0.0,11,0.059869
0.0,19,0.060354
1.0,9,0.060615
0.0,6,0.060823
0.0,28,0.061497
0.0,6,0.061693
0.0,20,0.062204
0.0,27,0.06286
0.0,1,0.062944
1.0,19,0.063435
0.0,17,0.063894
0.0,24,0.064485
0.0,16,0.064935
0.0,2,0.065044
0.0,6,0.065235
0.0,14,0.065616
1.0,43,0.06663
0.0,15,0.067054
0.0,10,0.067348
1.0,7,0.067562
0.0,3,0.067686
1.0,27,0.068363
0.0,1,0.068441
0.0,3,0.068575
1.0,30,0.069313
0.0,24,0.069926
0.0,7,0.070151
0.0,65,0.071643
0.0,7,0.071867
0.0,3,0.071997
0.0,49,0.073171
0.0,8,0.073413
1.0,18,0.07388
0.0,4,0.074033
0.0,30,0.074767
1.0,16,0.075178
0.0,23,0.075763
0.0,14,0.076133
0.0,7,0.076353
0.0,21,0.076889
0.0,3,0.07702
0.0,33,0.077821
0.0,8,0.078069
0.0,8,0.078303
1.0,42,0.079299
0.0,7,0.079517
0.0,10,0.079812
0.0,28,0.08049
1.0,20,0.081005
0.0,3,0.081136
1.0,37,0.082023
0.0,1,0.082107
0.0,42,0.083121
0.0,1,0.083205
0.0,8,0.083446
0.0,11,0.083759
0.0,26,0.084402
0.0,1,0.084484
0.0,15,0.084899
0.0,9,0.085167
0.0,5,0.085335
0.0,21,0.085871
1.0,10,0.086157
0.0,9,0.086411
0.0,3,0.08654
0.0,8,0.086792
0.0,8,0.087025
0.0,7,0.087235
1.0,20,0.087756
0.0,7,0.087975
0.0,26,0.088613
0.0,23,0.089197
0.0,14,0.089575
0.0,14,0.089955
0.0,3,0.090081
0.0,5,0.090254
0.0,13,0.090601
1.0,48,0.091732
1.0,14,0.0921
0.0,13,0.092445
0.0,24,0.093048
1.0,21,0.09357
0.0,11,0.093898
0.0,11,0.094204
1.0,27,0.094866
0.0,2,0.094973
0.0,43,0.095989
1.0,46,0.097069
0.0,20,0.097562
1.0,15,0.097966
0.0,5,0.098139
1.0,20,0.098638
0.0,25,0.099253
0.0,12,0.099579
0.0,52,0.100799
0.0,6,0.100997
0.0,14,0.101365
0.0,9,0.101623
0.0,8,0.101865
0.0,10,0.102146
0.0,28,0.10284
1.0,26,0.103475
0.0,23,0.104052
1.0,12,0.104385
1.0,14,0.104761
0.0,19,0.105254
0.0,7,0.105468
0.0,5,0.105636
0.0,13,0.105993
0.0,22,0.106547
0.0,10,0.106833
1.0,15,0.107226
0.0,22,0.107842
0.0,19,0.108338
0.0,6,0.108539
0.0,2,0.108646
0.0,3,0.108783
0.0,48,0.1099
0.0,13,0.110247
0.0,5,0.11042
0.0,17,0.110876
1.0,11,0.111185
0.0,4,0.111338
0.0,2,0.111443
0.0,7,0.111659
0.0,7,0.111887
0.0,21,0.112409
0.0,6,0.112598
0.0,30,0.113319
0.0,27,0.113994
0.0,7,0.114206
0.0,11,0.11452
0.0,4,0.11467
1.0,26,0.115324
0.0,17,0.115781
1.0,15,0.116177
1.0,31,0.116938
0.0,12,0.117274
1.0,20,0.117788
0.0,40,0.118735
0.0,16,0.119158
1.0,39,0.120084
0.0,23,0.120664
0.0,57,0.121988
0.0,13,0.122329
0.0,5,0.122495
0.0,5,0.122661
0.0,21,0.123207
0.0,9,0.123474
0.0,5,0.123641
0.0,10,0.123926
1.0,10,0.124207
1.0,9,0.124474
0.0,7,0.124695
0.0,23,0.125268
0.0,17,0.125716
1.0,24,0.126299
0.0,18,0.126771
0.0,100,0.129031
0.0,4,0.129193
0.0,19,0.129671
0.0,36,0.130541
1.0,31,0.131298
0.0,9,0.131553
0.0,24,0.132159
0.0,4,0.132306
0.0,10,0.132586
1.0,41,0.133547
0.0,33,0.134341
0.0,11,0.134651
1.0,16,0.135076
1.0,50,0.136245
1.0,17,0.136697
1.0,11,0.137027
0.0,5,0.137193
0.0,3,0.137318
1.0,42,0.138301
0.0,7,0.138525
1.0,45,0.139586
1.0,9,0.139855
0.0,8,0.140099
1.0,12,0.140423
0.0,11,0.140742
0.0,32,0.141513
0.0,17,0.141976
1.0,11,0.142284
0.0,5,0.142456
0.0,7,0.142676
0.0,17,0.143119
1.0,36,0.14399
0.0,10,0.144281
1.0,17,0.14473
0.0,1,0.144813
1.0,38,0.145711
0.0,55,0.146987
0.0,1,0.147068
1.0,8,0.147308
0.0,3,0.147438
0.0,15,0.147846
0.0,2,0.147954
0.0,8,0.148196
1.0,36,0.149076
0.0,15,0.149471
0.0,1,0.14955
0.0,23,0.150133
0.0,39,0.151066
0.0,15,0.151464
0.0,2,0.151572
1.0,19,0.152064
1.0,20,0.152575
0.0,23,0.153154
0.0,6,0.153355
0.0,13,0.153719
0.0,4,0.153871
0.0,5,0.154045
0.0,2,0.154146
1.0,25,0.154763
1.0,27,0.155421
1.0,8,0.155665
1.0,10,0.155955
0.0,13,0.156303
0.0,13,0.15665
0.0,31,0.157389
1.0,16,0.157814
0.0,10,0.158095
0.0,10,0.15838
1.0,20,0.15888
1.0,48,0.160007
0.0,14,0.160379
0.0,8,0.160619
1.0,27,0.161282
0.0,10,0.161564
