#{"t_start": 1523135105.6292243, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.006228
0.0,2,0.006351
0.0,1,0.006434
0.0,3,0.006562
0.0,17,0.007015
0.0,2,0.007129
0.0,4,0.007278
0.0,24,0.007881
0.0,10,0.008165
0.0,31,0.008891
0.0,11,0.0092
0.0,35,0.010031
0.0,21,0.010551
0.0,2,0.010659
0.0,6,0.010847
0.0,49,0.011981
0.0,8,0.012218
0.0,45,0.013262
1.0,9,0.013523
0.0,2,0.013629
1.0,22,0.01419
0.0,28,0.014866
0.0,10,0.015144
0.0,13,0.015481
0.0,18,0.015945
0.0,19,0.016421
0.0,28,0.017103
0.0,17,0.017541
0.0,12,0.017877
0.0,14,0.018247
0.0,64,0.019719
0.0,30,0.020478
0.0,10,0.020766
1.0,10,0.02105
0.0,4,0.021196
0.0,2,0.021296
0.0,18,0.02175
1.0,10,0.022047
0.0,2,0.022149
0.0,6,0.022341
0.0,3,0.022463
0.0,24,0.023064
0.0,15,0.023445
0.0,10,0.023723
0.0,14,0.024103
0.0,22,0.024645
0.0,7,0.024862
0.0,2,0.024967
0.0,15,0.025358
0.0,31,0.026114
0.0,1,0.026192
0.0,3,0.026322
0.0,8,0.026559
0.0,2,0.02666
0.0,15,0.027067
0.0,24,0.027662
1.0,64,0.029138
0.0,3,0.029263
0.0,4,0.029414
0.0,1,0.029492
0.0,17,0.029934
0.0,21,0.030462
0.0,1,0.030543
0.0,14,0.030935
0.0,8,0.031169
0.0,4,0.031319
0.0,13,0.031659
0.0,18,0.032131
0.0,9,0.032384
0.0,20,0.032883
0.0,8,0.033115
0.0,8,0.033353
0.0,14,0.033719
0.0,8,0.033964
0.0,4,0.034129
0.0,6,0.034328
0.0,12,0.034643
1.0,27,0.035295
0.0,16,0.035713
0.0,1,0.03579
0.0,14,0.036182
0.0,19,0.036675
0.0,10,0.036971
0.0,33,0.03775
0.0,12,0.038083
0.0,1,0.038161
0.0,26,0.038794
0.0,19,0.039278
0.0,8,0.039529
0.0,24,0.040129
0.0,5,0.040303
0.0,14,0.040674
0.0,22,0.041224
0.0,17,0.041655
0.0,24,0.042251
0.0,16,0.042668
0.0,9,0.042959
0.0,1,0.043051
0.0,25,0.043663
0.0,1,0.043744
0.0,8,0.043999
0.0,1,0.044081
1.0,9,0.044337
0.0,31,0.04509
0.0,8,0.045338
1.0,9,0.045608
0.0,6,0.045801
0.0,29,0.04652
0.0,21,0.047057
0.0,15,0.047442
1.0,24,0.048037
0.0,8,0.048278
0.0,17,0.048713
0.0,7,0.048936
1.0,19,0.049413
0.0,3,0.049536
0.0,5,0.049703
0.0,49,0.050864
0.0,14,0.051235
