#{"t_start": 1522230224.0330138, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.004907
0.0,2,0.005031
0.0,2,0.005143
0.0,19,0.005681
0.0,7,0.005917
0.0,8,0.006179
0.0,9,0.006448
0.0,9,0.006725
0.0,9,0.007003
0.0,3,0.007135
0.0,6,0.00734
0.0,8,0.007607
0.0,20,0.008132
0.0,16,0.008555
0.0,9,0.008845
0.0,12,0.009192
0.0,5,0.009375
0.0,15,0.009801
0.0,22,0.010375
0.0,43,0.011406
0.0,2,0.011522
0.0,29,0.012272
0.0,39,0.013213
0.0,17,0.013668
0.0,15,0.014066
0.0,9,0.014331
0.0,8,0.014602
0.0,12,0.014936
0.0,13,0.015289
0.0,10,0.015575
0.0,1,0.015666
0.0,8,0.015919
0.0,6,0.016129
0.0,12,0.016462
0.0,2,0.016566
0.0,19,0.017071
0.0,16,0.017505
0.0,3,0.017646
0.0,8,0.017901
0.0,21,0.018445
0.0,15,0.018852
0.0,4,0.019004
0.0,3,0.019139
0.0,16,0.019567
0.0,2,0.019688
0.0,12,0.020022
0.0,16,0.020458
1.0,32,0.021284
0.0,4,0.021443
0.0,6,0.021663
0.0,4,0.021824
0.0,6,0.022027
0.0,16,0.022465
0.0,2,0.022584
0.0,17,0.023044
0.0,6,0.023242
0.0,23,0.023869
0.0,9,0.024153
0.0,2,0.024261
0.0,12,0.024621
0.0,14,0.025012
0.0,6,0.025211
0.0,1,0.02529
0.0,5,0.025475
0.0,15,0.025904
0.0,11,0.026236
0.0,10,0.02653
0.0,7,0.02677
1.0,13,0.027135
0.0,1,0.027215
0.0,8,0.027467
0.0,1,0.027552
0.0,8,0.027807
0.0,19,0.028316
0.0,2,0.028425
0.0,30,0.029185
0.0,24,0.029819
0.0,7,0.030043
0.0,5,0.030219
0.0,13,0.030595
0.0,17,0.03109
0.0,34,0.032022
0.0,3,0.032167
0.0,5,0.032352
0.0,7,0.032588
0.0,17,0.033043
0.0,12,0.033382
0.0,4,0.033535
0.0,10,0.033847
0.0,17,0.034315
0.0,3,0.034452
0.0,1,0.034533
0.0,14,0.034932
0.0,36,0.035816
0.0,5,0.036007
0.0,6,0.036207
0.0,50,0.037448
0.0,15,0.037913
0.0,22,0.038488
0.0,28,0.039208
0.0,29,0.039941
0.0,3,0.040074
0.0,22,0.040655
0.0,45,0.041763
0.0,44,0.042861
0.0,6,0.043062
0.0,5,0.043244
0.0,11,0.043566
0.0,17,0.044027
0.0,31,0.044801
0.0,5,0.04498
0.0,20,0.045496
0.0,17,0.045949
0.0,3,0.046081
0.0,1,0.046166
1.0,26,0.046849
0.0,1,0.046934
0.0,53,0.048258
0.0,3,0.048397
0.0,8,0.048687
1.0,7,0.048908
0.0,12,0.049245
0.0,5,0.049428
0.0,6,0.049643
1.0,53,0.050943
0.0,22,0.051512
0.0,14,0.051906
0.0,8,0.052168
0.0,15,0.052574
0.0,16,0.053024
0.0,4,0.053184
0.0,6,0.053387
0.0,5,0.053568
0.0,6,0.053789
0.0,9,0.054061
0.0,3,0.054195
0.0,10,0.05449
