#{"t_start": 1522230073.35477, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.006191
0.0,2,0.006366
0.0,1,0.006468
0.0,2,0.00658
0.0,1,0.006661
0.0,17,0.007118
0.0,68,0.008762
0.0,22,0.009341
0.0,8,0.009582
0.0,65,0.011171
1.0,31,0.01196
0.0,8,0.012203
0.0,60,0.013681
0.0,26,0.014341
0.0,6,0.014552
0.0,8,0.014802
0.0,24,0.015448
0.0,16,0.015872
0.0,12,0.016212
0.0,1,0.016293
0.0,3,0.016476
0.0,3,0.016605
0.0,16,0.017011
0.0,12,0.017357
1.0,15,0.017779
1.0,9,0.018044
0.0,8,0.018292
0.0,1,0.018385
0.0,5,0.018559
0.0,5,0.018734
0.0,7,0.018989
0.0,5,0.019166
0.0,16,0.019632
0.0,23,0.02021
0.0,8,0.020468
0.0,5,0.020646
0.0,2,0.020751
0.0,33,0.021549
0.0,27,0.022212
0.0,19,0.022737
0.0,10,0.023033
0.0,10,0.023332
0.0,9,0.023601
0.0,5,0.023802
0.0,6,0.023995
0.0,8,0.024243
0.0,6,0.024457
0.0,2,0.024563
0.0,4,0.024712
0.0,16,0.025136
0.0,7,0.025384
0.0,16,0.025816
0.0,10,0.026106
0.0,8,0.026355
0.0,12,0.026716
0.0,7,0.02694
0.0,10,0.027259
0.0,17,0.027719
0.0,5,0.027897
0.0,5,0.028075
0.0,10,0.02838
0.0,1,0.028474
0.0,4,0.028628
0.0,6,0.028833
0.0,14,0.029209
0.0,3,0.029356
0.0,11,0.029668
0.0,11,0.029997
0.0,6,0.030188
0.0,2,0.030291
0.0,2,0.030402
0.0,18,0.030866
0.0,24,0.031499
0.0,5,0.031679
0.0,33,0.032494
0.0,9,0.032766
0.0,14,0.033153
0.0,11,0.033469
0.0,32,0.034248
0.0,11,0.034593
0.0,16,0.035017
0.0,37,0.03591
1.0,18,0.036382
0.0,2,0.036493
0.0,10,0.036788
0.0,17,0.037231
0.0,16,0.037687
0.0,20,0.038203
0.0,4,0.038374
0.0,12,0.038709
0.0,16,0.03913
0.0,2,0.03924
0.0,8,0.0395
1.0,19,0.03999
0.0,1,0.040068
0.0,11,0.040404
0.0,12,0.040752
0.0,9,0.04101
0.0,35,0.041854
0.0,1,0.041938
0.0,12,0.042271
0.0,8,0.042517
0.0,9,0.042781
0.0,3,0.042913
0.0,11,0.043225
1.0,10,0.043546
0.0,20,0.044051
0.0,2,0.044166
0.0,4,0.044328
0.0,13,0.04468
0.0,10,0.044969
0.0,5,0.04514
1.0,9,0.045415
0.0,8,0.045655
0.0,1,0.045738
1.0,21,0.046261
0.0,19,0.046805
0.0,23,0.047392
0.0,13,0.047749
0.0,32,0.048526
0.0,7,0.048741
0.0,7,0.048954
0.0,10,0.049231
1.0,8,0.04951
0.0,16,0.049936
0.0,12,0.050268
0.0,13,0.05063
0.0,9,0.050919
0.0,16,0.051354
0.0,13,0.051706
0.0,2,0.051808
0.0,4,0.05196
0.0,5,0.052135
1.0,19,0.052656
0.0,25,0.053276
0.0,2,0.053394
0.0,18,0.053852
0.0,9,0.054118
0.0,7,0.054344
1.0,8,0.054589
0.0,7,0.054802
0.0,14,0.055195
0.0,36,0.056112
0.0,13,0.056501
0.0,15,0.056895
0.0,5,0.057065
0.0,18,0.057528
0.0,8,0.057771
0.0,9,0.058027
0.0,14,0.058437
0.0,8,0.058683
0.0,10,0.059003
0.0,20,0.059526
0.0,5,0.059699
0.0,15,0.060087
0.0,6,0.060277
0.0,8,0.06052
0.0,10,0.060834
0.0,20,0.061364
0.0,9,0.061646
0.0,2,0.061754
