#{"t_start": 1523119638.7369769, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.006046
0.0,4,0.006222
0.0,6,0.006433
0.0,2,0.006549
0.0,1,0.006643
0.0,16,0.007092
0.0,2,0.0072
0.0,2,0.007304
0.0,22,0.007875
0.0,23,0.008453
0.0,14,0.008839
0.0,16,0.009268
0.0,2,0.009378
0.0,23,0.009963
0.0,28,0.010633
0.0,15,0.011019
0.0,8,0.011254
0.0,14,0.011648
0.0,5,0.011821
0.0,25,0.012447
0.0,14,0.012838
0.0,8,0.013093
0.0,2,0.013196
0.0,13,0.013548
0.0,9,0.013827
0.0,10,0.014109
0.0,7,0.014324
0.0,2,0.014431
0.0,4,0.01458
0.0,3,0.014721
0.0,3,0.014855
0.0,29,0.015576
0.0,5,0.015759
0.0,5,0.015931
0.0,1,0.016008
0.0,10,0.016289
0.0,6,0.01649
0.0,8,0.016747
0.0,10,0.017031
0.0,4,0.017186
0.0,8,0.017432
0.0,3,0.017558
0.0,22,0.018112
0.0,6,0.01832
0.0,1,0.018399
0.0,25,0.019038
0.0,5,0.019212
0.0,13,0.019571
0.0,3,0.019715
0.0,12,0.020041
0.0,16,0.020457
0.0,9,0.020724
0.0,19,0.02123
0.0,9,0.021502
0.0,2,0.021606
0.0,5,0.021795
0.0,10,0.022082
0.0,35,0.022918
0.0,5,0.023102
0.0,4,0.023265
0.0,3,0.023391
0.0,7,0.023605
0.0,5,0.023792
0.0,9,0.024062
0.0,39,0.025007
0.0,5,0.025187
0.0,2,0.02529
0.0,3,0.025423
0.0,19,0.02592
0.0,19,0.026408
0.0,14,0.026799
0.0,5,0.026972
0.0,10,0.02725
0.0,14,0.027642
0.0,19,0.028125
0.0,16,0.028545
0.0,4,0.02871
0.0,21,0.029248
0.0,26,0.029921
0.0,13,0.030298
0.0,14,0.030691
0.0,4,0.030872
0.0,6,0.031077
0.0,8,0.031317
0.0,3,0.031441
0.0,8,0.031689
0.0,21,0.032226
0.0,5,0.032403
0.0,4,0.032559
0.0,27,0.033247
0.0,6,0.033445
0.0,3,0.033576
0.0,7,0.033816
0.0,4,0.033973
0.0,3,0.034101
0.0,13,0.034446
0.0,9,0.034716
0.0,18,0.035175
0.0,15,0.035567
0.0,5,0.035748
0.0,10,0.036038
0.0,11,0.036348
0.0,11,0.036666
0.0,6,0.03687
0.0,8,0.037109
0.0,5,0.037285
0.0,11,0.037586
0.0,18,0.038049
0.0,21,0.03859
0.0,8,0.03884
0.0,4,0.038996
1.0,12,0.03934
