#{"t_start": 1523135228.8957348, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.006725
0.0,4,0.006937
0.0,1,0.00705
0.0,4,0.007239
0.0,2,0.007365
0.0,21,0.008097
0.0,4,0.008283
0.0,5,0.008492
0.0,4,0.008678
0.0,2,0.00881
0.0,15,0.00933
0.0,19,0.009948
0.0,5,0.01016
0.0,22,0.010851
0.0,34,0.01191
0.0,6,0.012169
0.0,44,0.013485
0.0,5,0.013709
0.0,9,0.014045
0.0,22,0.014741
0.0,11,0.015144
0.0,19,0.015759
0.0,13,0.016219
0.0,8,0.016513
0.0,1,0.016607
0.0,1,0.016698
0.0,1,0.016791
0.0,1,0.016899
0.0,18,0.01749
0.0,28,0.018373
0.0,10,0.018726
0.0,7,0.019004
0.0,9,0.019339
0.0,3,0.019494
0.0,1,0.019592
0.0,5,0.019811
0.0,11,0.020212
0.0,10,0.020573
0.0,1,0.020671
0.0,3,0.020826
0.0,2,0.020959
0.0,32,0.021938
0.0,22,0.022628
0.0,10,0.022997
0.0,8,0.023293
0.0,5,0.023506
0.0,3,0.02366
0.0,11,0.024055
0.0,5,0.024273
0.0,4,0.024463
0.0,3,0.024616
0.0,5,0.02483
0.0,43,0.02613
0.0,7,0.026401
0.0,10,0.026758
0.0,23,0.027488
0.0,8,0.02779
0.0,3,0.027978
0.0,25,0.028753
0.0,6,0.029012
0.0,6,0.029263
0.0,23,0.029989
0.0,17,0.030539
0.0,11,0.030939
0.0,2,0.031064
0.0,3,0.031217
0.0,4,0.031396
0.0,10,0.031751
0.0,12,0.032179
0.0,17,0.032724
0.0,66,0.034641
0.0,13,0.035112
0.0,35,0.036208
0.0,9,0.036546
0.0,1,0.036642
0.0,7,0.036935
0.0,10,0.037293
0.0,6,0.037538
0.0,9,0.037872
0.0,34,0.038919
0.0,24,0.039672
0.0,6,0.039934
0.0,8,0.040237
0.0,11,0.040622
0.0,1,0.040714
0.0,7,0.041
0.0,5,0.04121
0.0,8,0.041513
0.0,10,0.041882
0.0,17,0.042456
0.0,32,0.043443
1.0,46,0.044815
0.0,14,0.045307
0.0,15,0.0458
0.0,14,0.046286
0.0,1,0.046381
0.0,4,0.046563
0.0,50,0.048062
0.0,16,0.048594
0.0,3,0.048753
0.0,3,0.048917
0.0,10,0.049265
0.0,10,0.04962
0.0,9,0.049956
0.0,2,0.050086
0.0,3,0.050241
0.0,28,0.051117
0.0,17,0.05167
1.0,41,0.052971
0.0,5,0.053182
0.0,20,0.05381
0.0,15,0.054314
0.0,15,0.054816
0.0,14,0.055302
0.0,25,0.056082
0.0,3,0.056235
0.0,23,0.056962
0.0,16,0.057492
0.0,11,0.057878
0.0,10,0.058227
0.0,11,0.058602
0.0,23,0.05934
0.0,5,0.059556
0.0,4,0.059743
0.0,13,0.060199
0.0,26,0.061014
0.0,14,0.06147
0.0,23,0.062208
0.0,8,0.062505
0.0,6,0.062742
0.0,12,0.063171
0.0,9,0.063494
0.0,5,0.063707
0.0,22,0.064393
0.0,7,0.064662
0.0,7,0.064957
0.0,7,0.065232
0.0,16,0.06574
0.0,3,0.065909
0.0,1,0.066008
0.0,8,0.066316
0.0,21,0.066994
0.0,1,0.067088
0.0,1,0.067185
0.0,4,0.067372
0.0,10,0.067722
0.0,29,0.068616
0.0,11,0.069022
0.0,38,0.070171
0.0,6,0.07042
1.0,36,0.071495
0.0,5,0.071712
0.0,20,0.072352
0.0,75,0.074577
1.0,34,0.075614
0.0,29,0.076519
1.0,23,0.07724
0.0,11,0.077631
0.0,9,0.077981
0.0,19,0.078587
0.0,8,0.07889
0.0,11,0.079278
0.0,16,0.079807
0.0,23,0.080539
0.0,37,0.081655
0.0,1,0.081755
0.0,11,0.082163
0.0,2,0.082293
0.0,18,0.082886
0.0,6,0.083132
0.0,7,0.083399
0.0,1,0.083496
0.0,4,0.083686
1.0,10,0.084047
0.0,14,0.084518
0.0,12,0.084947
0.0,9,0.085291
0.0,8,0.085592
0.0,6,0.085831
0.0,7,0.086114
0.0,23,0.086831
1.0,11,0.087214
0.0,22,0.087931
0.0,2,0.088057
0.0,4,0.088238
0.0,4,0.088423
0.0,5,0.088633
0.0,32,0.08961
0.0,29,0.090525
0.0,5,0.090736
0.0,14,0.091223
0.0,12,0.091635
1.0,44,0.092951
0.0,8,0.093261
0.0,11,0.093651
0.0,12,0.094075
0.0,1,0.094169
0.0,3,0.094327
0.0,7,0.094593
0.0,7,0.094856
0.0,24,0.095616
0.0,10,0.095986
0.0,5,0.096214
0.0,1,0.096308
0.0,8,0.096601
0.0,7,0.096875
0.0,7,0.097151
0.0,5,0.097366
0.0,7,0.097631
0.0,9,0.097962
0.0,3,0.098121
0.0,13,0.098563
0.0,4,0.098749
0.0,29,0.09966
0.0,7,0.09995
0.0,6,0.100194
0.0,22,0.100892
0.0,4,0.101074
0.0,4,0.101254
0.0,14,0.101713
0.0,32,0.102699
0.0,14,0.103186
0.0,2,0.103311
0.0,7,0.103587
0.0,12,0.104017
0.0,3,0.104178
0.0,4,0.104359
0.0,3,0.10451
0.0,5,0.104732
0.0,3,0.104905
0.0,17,0.105464
0.0,1,0.105558
0.0,9,0.105893
0.0,4,0.106083
0.0,10,0.106436
0.0,1,0.106588
0.0,15,0.1071
0.0,1,0.1072
0.0,9,0.107532
0.0,18,0.108121
1.0,30,0.109054
0.0,9,0.109381
0.0,17,0.109949
0.0,5,0.11016
0.0,55,0.111773
0.0,44,0.113073
0.0,23,0.113781
0.0,9,0.114145
0.0,6,0.114391
0.0,7,0.114656
0.0,16,0.115243
0.0,24,0.116011
0.0,14,0.116497
0.0,2,0.116628
0.0,26,0.117446
0.0,6,0.117686
0.0,8,0.117998
0.0,10,0.118349
0.0,18,0.118938
0.0,3,0.119098
0.0,3,0.119255
0.0,27,0.120113
0.0,5,0.120323
0.0,1,0.120414
0.0,15,0.120919
0.0,10,0.121276
0.0,17,0.121826
0.0,3,0.121999
0.0,21,0.122657
0.0,12,0.123095
0.0,9,0.12343
0.0,2,0.12356
0.0,3,0.123713
0.0,1,0.123806
0.0,29,0.124715
0.0,24,0.125487
0.0,8,0.125795
0.0,8,0.126107
0.0,2,0.126232
0.0,8,0.126522
0.0,12,0.126942
0.0,17,0.127487
0.0,15,0.127992
1.0,25,0.128775
0.0,1,0.128875
0.0,7,0.129147
0.0,10,0.129493
0.0,3,0.129645
0.0,8,0.129962
0.0,8,0.130269
0.0,7,0.130541
0.0,38,0.131681
0.0,29,0.132601
0.0,21,0.133283
0.0,6,0.133529
0.0,4,0.133714
0.0,3,0.133881
0.0,4,0.134069
0.0,14,0.134542
0.0,15,0.135058
0.0,9,0.135388
0.0,4,0.135569
0.0,12,0.135985
0.0,14,0.136451
0.0,4,0.136637
0.0,14,0.13712
0.0,25,0.137928
0.0,8,0.138237
0.0,12,0.138652
0.0,1,0.138745
0.0,13,0.139195
0.0,18,0.13978
0.0,1,0.139889
0.0,3,0.14005
0.0,9,0.140385
0.0,4,0.140574
0.0,14,0.14105
0.0,26,0.141853
0.0,14,0.142332
0.0,27,0.143174
0.0,21,0.143847
0.0,6,0.14415
0.0,9,0.144472
0.0,3,0.144631
0.0,6,0.144894
0.0,12,0.145319
0.0,6,0.145566
0.0,1,0.145659
0.0,16,0.146199
0.0,1,0.146293
0.0,14,0.14678
0.0,8,0.147093
0.0,7,0.147359
0.0,7,0.147625
0.0,7,0.1479
0.0,1,0.147993
0.0,5,0.148203
0.0,82,0.150595
0.0,13,0.151043
0.0,8,0.151343
0.0,9,0.151672
0.0,1,0.15177
0.0,11,0.152176
0.0,3,0.152332
0.0,1,0.152424
0.0,22,0.153131
0.0,52,0.154668
0.0,13,0.155125
0.0,22,0.155815
0.0,17,0.156378
0.0,7,0.156658
0.0,8,0.156972
0.0,7,0.157247
0.0,10,0.157595
0.0,8,0.157899
0.0,26,0.158709
0.0,10,0.159082
0.0,7,0.159358
0.0,12,0.159774
0.0,5,0.160006
0.0,26,0.160805
0.0,5,0.161032
0.0,6,0.161274
0.0,1,0.161371
0.0,9,0.161693
0.0,34,0.162738
0.0,28,0.163605
0.0,14,0.164096
0.0,15,0.164592
0.0,16,0.165135
0.0,20,0.165762
0.0,5,0.165982
0.0,9,0.166317
0.0,9,0.166634
0.0,35,0.167698
0.0,14,0.168178
0.0,18,0.168762
0.0,6,0.169013
0.0,14,0.169481
0.0,14,0.169966
0.0,7,0.170244
0.0,11,0.170637
1.0,13,0.171082
0.0,15,0.17158
0.0,24,0.172336
0.0,4,0.172519
0.0,21,0.173198
0.0,7,0.173468
0.0,10,0.173817
0.0,9,0.174145
0.0,4,0.174333
0.0,5,0.174543
0.0,3,0.174701
0.0,14,0.175189
1.0,7,0.175465
0.0,18,0.176065
0.0,26,0.17688
0.0,8,0.177175
0.0,15,0.177664
0.0,5,0.177889
0.0,3,0.178051
0.0,3,0.178204
0.0,7,0.17847
0.0,45,0.179811
0.0,6,0.180061
0.0,8,0.180363
0.0,3,0.180529
0.0,6,0.180767
0.0,2,0.1809
0.0,6,0.181149
0.0,1,0.181243
0.0,5,0.181459
0.0,12,0.181875
0.0,20,0.182527
0.0,3,0.182682
0.0,7,0.182959
0.0,10,0.183319
0.0,5,0.183534
0.0,5,0.183748
0.0,6,0.184003
0.0,9,0.184338
0.0,25,0.185133
0.0,8,0.185436
0.0,4,0.185625
1.0,22,0.18633
0.0,7,0.186598
0.0,2,0.186722
0.0,11,0.187113
0.0,1,0.187207
0.0,10,0.187567
0.0,5,0.187779
0.0,1,0.187881
0.0,23,0.188615
0.0,14,0.189114
0.0,6,0.189356
0.0,14,0.189831
0.0,6,0.190082
0.0,7,0.190347
0.0,10,0.1907
0.0,4,0.190893
0.0,4,0.191075
0.0,11,0.191458
0.0,4,0.191648
0.0,2,0.191772
0.0,11,0.192159
0.0,4,0.192351
0.0,1,0.192444
0.0,8,0.192739
0.0,5,0.19296
0.0,2,0.193085
0.0,3,0.193237
0.0,14,0.193706
0.0,7,0.193999
0.0,5,0.194211
0.0,16,0.194732
0.0,1,0.194824
0.0,43,0.196113
0.0,25,0.196894
0.0,2,0.197022
0.0,7,0.197295
0.0,7,0.197562
0.0,3,0.19772
0.0,4,0.197912
0.0,1,0.198014
0.0,24,0.19877
0.0,10,0.19915
0.0,5,0.199374
0.0,8,0.199672
0.0,4,0.199853
0.0,28,0.200726
0.0,2,0.200864
0.0,20,0.201522
0.0,14,0.202004
0.0,9,0.202327
0.0,1,0.20242
0.0,12,0.202836
0.0,5,0.203056
0.0,18,0.203642
0.0,3,0.203795
0.0,17,0.204343
0.0,18,0.204935
0.0,15,0.205429
0.0,24,0.206198
0.0,18,0.206776
0.0,3,0.207009
0.0,12,0.207439
0.0,14,0.207932
0.0,12,0.20837
0.0,6,0.208617
0.0,5,0.208828
0.0,4,0.209024
0.0,36,0.210129
0.0,18,0.21073
0.0,17,0.211288
0.0,10,0.21165
0.0,27,0.212507
0.0,2,0.212638
0.0,3,0.212798
0.0,16,0.213343
0.0,13,0.213777
0.0,6,0.214024
0.0,13,0.21447
0.0,19,0.215121
0.0,26,0.215941
0.0,14,0.216422
0.0,2,0.216547
0.0,17,0.217117
0.0,16,0.217643
0.0,5,0.217854
0.0,4,0.218052
0.0,4,0.218241
0.0,15,0.218729
0.0,21,0.219403
0.0,11,0.219789
0.0,1,0.219889
0.0,1,0.219988
0.0,30,0.220932
0.0,7,0.221208
0.0,15,0.221717
0.0,11,0.222118
0.0,12,0.222532
0.0,11,0.222925
0.0,20,0.223576
0.0,4,0.223759
0.0,4,0.223951
0.0,12,0.22437
0.0,29,0.225291
0.0,24,0.226059
0.0,24,0.226823
0.0,48,0.228285
0.0,5,0.228506
0.0,2,0.228637
0.0,10,0.229026
0.0,26,0.229828
0.0,7,0.230149
0.0,13,0.230595
0.0,43,0.231903
0.0,1,0.231997
0.0,37,0.23313
0.0,3,0.233285
0.0,8,0.233577
0.0,16,0.234108
0.0,25,0.2349
0.0,8,0.235209
0.0,11,0.235583
0.0,10,0.235945
0.0,10,0.236292
0.0,5,0.236509
0.0,9,0.236854
0.0,8,0.237164
0.0,5,0.237385
1.0,11,0.237763
0.0,16,0.238301
0.0,2,0.238432
0.0,11,0.238813
0.0,4,0.239017
0.0,22,0.239714
0.0,8,0.240021
0.0,8,0.240324
0.0,22,0.241021
0.0,63,0.242906
0.0,2,0.243038
0.0,6,0.243277
0.0,11,0.243659
0.0,22,0.244358
0.0,28,0.245233
0.0,9,0.24555
0.0,3,0.245708
0.0,10,0.246075
0.0,23,0.246793
0.0,8,0.247094
1.0,20,0.247739
0.0,13,0.248203
0.0,10,0.24855
0.0,8,0.248848
0.0,4,0.249038
0.0,5,0.249253
0.0,7,0.24952
0.0,3,0.249676
0.0,9,0.250008
0.0,12,0.250422
0.0,4,0.250608
0.0,1,0.250706
0.0,14,0.251189
0.0,7,0.251466
0.0,2,0.251596
0.0,4,0.251783
0.0,6,0.25204
0.0,7,0.252306
0.0,15,0.252803
0.0,22,0.253508
0.0,28,0.254411
0.0,11,0.254792
0.0,8,0.255104
0.0,4,0.25529
0.0,11,0.255678
0.0,4,0.255867
0.0,6,0.256117
0.0,7,0.256382
0.0,15,0.256885
0.0,12,0.257297
0.0,13,0.257748
0.0,4,0.257941
0.0,27,0.258763
0.0,1,0.258855
1.0,8,0.259174
0.0,8,0.259473
0.0,9,0.259794
0.0,5,0.260022
0.0,14,0.260507
0.0,1,0.2606
0.0,11,0.26101
0.0,7,0.261287
0.0,13,0.261726
0.0,15,0.262238
0.0,10,0.262595
0.0,10,0.262964
0.0,10,0.263321
0.0,7,0.263586
0.0,9,0.263925
0.0,9,0.264255
0.0,31,0.26521
0.0,24,0.265958
0.0,19,0.266575
0.0,15,0.267086
0.0,11,0.267482
0.0,3,0.267638
0.0,4,0.267818
0.0,1,0.267924
0.0,7,0.268204
0.0,7,0.26848
0.0,15,0.269001
0.0,2,0.269128
0.0,15,0.269631
0.0,5,0.269847
0.0,4,0.270043
0.0,2,0.270172
0.0,6,0.270415
0.0,14,0.270887
0.0,10,0.271252
0.0,14,0.271714
0.0,26,0.272542
0.0,8,0.272854
0.0,18,0.273467
0.0,4,0.273663
0.0,10,0.274026
0.0,6,0.274279
0.0,7,0.274555
0.0,6,0.274795
0.0,6,0.275054
0.0,7,0.275331
0.0,15,0.275821
0.0,12,0.276253
0.0,4,0.276444
0.0,16,0.276989
0.0,4,0.277185
0.0,7,0.277462
0.0,12,0.277875
0.0,10,0.278226
0.0,9,0.278548
0.0,7,0.278819
1.0,8,0.279131
0.0,8,0.279427
0.0,6,0.279666
0.0,11,0.280054
0.0,14,0.280518
0.0,6,0.280756
0.0,13,0.281202
0.0,14,0.281688
0.0,14,0.282161
0.0,8,0.282459
0.0,21,0.283137
0.0,5,0.283357
0.0,3,0.283512
0.0,6,0.28375
0.0,2,0.283889
0.0,17,0.284441
0.0,6,0.284684
0.0,7,0.284966
0.0,11,0.285351
0.0,12,0.285766
0.0,15,0.286286
0.0,4,0.286469
0.0,5,0.286679
0.0,7,0.286958
0.0,22,0.287668
0.0,9,0.288021
0.0,12,0.28843
0.0,6,0.288674
0.0,7,0.288954
0.0,15,0.289456
0.0,17,0.290035
0.0,10,0.290387
0.0,1,0.290485
0.0,3,0.290642
0.0,19,0.291277
0.0,4,0.291469
0.0,42,0.292739
0.0,27,0.293579
0.0,10,0.29395
1.0,7,0.294221
0.0,1,0.29432
0.0,4,0.294511
0.0,3,0.294673
1.0,27,0.295516
1.0,19,0.296141
0.0,19,0.296757
0.0,12,0.297187
0.0,4,0.297378
0.0,44,0.298697
0.0,15,0.299216
0.0,11,0.299601
0.0,1,0.299695
0.0,32,0.300689
0.0,8,0.300997
0.0,1,0.301097
0.0,2,0.301228
0.0,8,0.301532
0.0,30,0.302482
0.0,5,0.302694
0.0,31,0.303658
0.0,1,0.303753
0.0,11,0.304144
0.0,12,0.304573
0.0,4,0.304756
0.0,6,0.305017
0.0,1,0.305111
0.0,18,0.305698
0.0,6,0.305952
0.0,13,0.3064
0.0,1,0.306494
0.0,4,0.306682
0.0,14,0.307165
0.0,10,0.307593
0.0,25,0.308404
0.0,7,0.308681
0.0,6,0.308938
0.0,1,0.309037
0.0,7,0.309307
0.0,4,0.309494
0.0,25,0.310287
0.0,7,0.31056
0.0,1,0.310659
0.0,4,0.310842
0.0,12,0.31126
1.0,16,0.311776
0.0,8,0.31208
0.0,5,0.312297
0.0,6,0.31255
0.0,10,0.31292
0.0,5,0.313132
0.0,12,0.313535
0.0,2,0.313658
0.0,5,0.313875
0.0,5,0.314086
0.0,1,0.314177
0.0,2,0.314306
0.0,23,0.315032
0.0,10,0.315394
0.0,25,0.316184
0.0,5,0.316395
0.0,20,0.31705
0.0,39,0.318237
0.0,6,0.318486
0.0,1,0.318579
0.0,4,0.318762
0.0,7,0.319046
0.0,8,0.319346
0.0,5,0.319557
0.0,2,0.319679
0.0,2,0.319802
0.0,2,0.319935
0.0,10,0.320297
0.0,70,0.32234
0.0,7,0.32261
0.0,11,0.323008
0.0,8,0.323304
0.0,31,0.32427
0.0,7,0.324543
0.0,24,0.32531
0.0,17,0.325853
0.0,18,0.326448
0.0,10,0.326809
1.0,11,0.327198
0.0,9,0.327536
0.0,3,0.32769
0.0,9,0.328029
0.0,2,0.32816
0.0,2,0.328289
0.0,27,0.329132
0.0,8,0.329439
0.0,2,0.329569
0.0,38,0.330727
0.0,3,0.330899
0.0,9,0.331232
0.0,15,0.331723
0.0,41,0.332974
0.0,15,0.333484
0.0,3,0.333637
0.0,15,0.334138
0.0,3,0.334291
0.0,2,0.334419
0.0,13,0.334869
0.0,19,0.33549
0.0,13,0.335939
0.0,14,0.336405
0.0,12,0.336814
0.0,7,0.33709
0.0,6,0.337327
0.0,3,0.33748
0.0,10,0.337838
0.0,5,0.338061
0.0,7,0.338342
0.0,1,0.338434
0.0,2,0.338557
0.0,8,0.338848
0.0,10,0.339217
1.0,16,0.339743
0.0,2,0.339879
0.0,7,0.340146
0.0,4,0.340326
0.0,4,0.340516
0.0,5,0.340733
0.0,24,0.341491
0.0,2,0.341616
0.0,9,0.341948
0.0,4,0.342128
0.0,3,0.342278
0.0,1,0.342368
0.0,2,0.34249
0.0,6,0.342724
0.0,13,0.343186
1.0,11,0.343563
0.0,1,0.343653
0.0,11,0.344063
0.0,3,0.344217
0.0,1,0.344307
0.0,2,0.34443
0.0,9,0.34475
0.0,9,0.34509
0.0,10,0.345436
0.0,15,0.345943
0.0,13,0.346388
0.0,6,0.346629
0.0,13,0.347076
0.0,2,0.347206
0.0,23,0.347932
0.0,7,0.348194
0.0,11,0.348577
0.0,10,0.348946
0.0,12,0.349365
0.0,6,0.349614
0.0,3,0.349766
0.0,13,0.350213
0.0,14,0.350686
0.0,2,0.350809
0.0,15,0.3513
