#{"t_start": 1522228338.1304145, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,22,0.003775
0.0,100,0.006184
0.0,52,0.007517
0.0,100,0.009979
0.0,100,0.012403
0.0,100,0.014833
0.0,64,0.016392
1.0,10,0.016692
1.0,19,0.017211
0.0,100,0.019739
0.0,60,0.021207
0.0,32,0.022022
0.0,6,0.022229
0.0,33,0.023065
0.0,9,0.023347
0.0,38,0.024291
0.0,53,0.025612
0.0,36,0.026516
0.0,100,0.028926
0.0,10,0.029223
1.0,38,0.030156
0.0,61,0.031655
0.0,100,0.034043
1.0,24,0.034684
1.0,26,0.035365
1.0,79,0.037284
0.0,7,0.037511
0.0,62,0.039014
0.0,57,0.040416
0.0,55,0.041774
0.0,100,0.044201
0.0,100,0.046682
0.0,19,0.047194
0.0,84,0.049212
0.0,100,0.051641
0.0,21,0.052197
1.0,37,0.053133
0.0,31,0.053926
0.0,48,0.055123
0.0,32,0.055938
0.0,3,0.056071
0.0,11,0.056403
0.0,44,0.057513
0.0,2,0.057617
1.0,58,0.059025
1.0,36,0.059928
0.0,13,0.060302
0.0,32,0.061101
0.0,6,0.061311
0.0,100,0.063715
0.0,13,0.064085
0.0,58,0.065501
0.0,88,0.067655
0.0,34,0.068515
0.0,54,0.069824
0.0,78,0.071698
0.0,78,0.07359
1.0,44,0.074678
1.0,40,0.075669
1.0,17,0.076119
0.0,52,0.077414
1.0,22,0.077988
0.0,42,0.079023
1.0,93,0.081305
0.0,12,0.08166
0.0,29,0.082404
0.0,98,0.084748
0.0,44,0.08585
1.0,19,0.086372
0.0,36,0.087295
0.0,53,0.088598
1.0,81,0.090562
0.0,32,0.091379
1.0,33,0.092221
1.0,37,0.093138
0.0,29,0.093893
1.0,47,0.095064
1.0,38,0.096035
1.0,17,0.096498
1.0,33,0.097348
1.0,22,0.097911
1.0,37,0.098829
1.0,23,0.09944
0.0,94,0.10173
0.0,7,0.101955
0.0,43,0.10303
1.0,14,0.103427
1.0,13,0.103848
1.0,90,0.106002
0.0,9,0.106294
0.0,23,0.106898
0.0,82,0.108889
0.0,42,0.109951
1.0,15,0.110363
0.0,11,0.110687
1.0,32,0.111516
0.0,2,0.111618
1.0,48,0.112824
0.0,39,0.113806
1.0,31,0.114598
1.0,25,0.11524
1.0,68,0.116879
1.0,45,0.117993
0.0,23,0.118601
0.0,58,0.120015
0.0,60,0.121504
1.0,11,0.12183
0.0,43,0.1229
0.0,16,0.123351
1.0,35,0.124221
1.0,16,0.124653
1.0,95,0.126953
1.0,42,0.128009
0.0,17,0.128474
0.0,83,0.130496
0.0,55,0.13186
0.0,23,0.132487
0.0,32,0.133301
0.0,53,0.134602
0.0,21,0.135142
1.0,50,0.136392
0.0,2,0.136496
0.0,5,0.136669
1.0,7,0.136894
0.0,73,0.138719
1.0,63,0.140368
0.0,91,0.142615
0.0,13,0.143031
0.0,17,0.143526
1.0,47,0.144699
0.0,51,0.145984
0.0,7,0.146216
1.0,31,0.147011
0.0,20,0.147544
1.0,36,0.148447
1.0,52,0.149718
0.0,38,0.150674
1.0,43,0.151756
0.0,44,0.152839
1.0,38,0.153847
1.0,18,0.15433
1.0,51,0.15561
1.0,31,0.15641
1.0,48,0.157603
0.0,45,0.15873
1.0,80,0.160675
0.0,13,0.161041
1.0,9,0.161324
1.0,6,0.161527
1.0,15,0.161942
1.0,42,0.163
1.0,71,0.164738
1.0,16,0.165175
0.0,31,0.165979
1.0,10,0.166284
0.0,2,0.166391
1.0,38,0.167362
1.0,8,0.167607
1.0,13,0.167969
0.0,13,0.168342
0.0,11,0.168665
1.0,15,0.16908
0.0,80,0.171026
1.0,12,0.171376
0.0,8,0.171623
1.0,29,0.172376
1.0,15,0.172789
0.0,24,0.173427
0.0,17,0.173897
0.0,54,0.175226
0.0,12,0.175574
0.0,15,0.175989
0.0,16,0.176435
1.0,11,0.176752
0.0,21,0.177317
1.0,23,0.17792
1.0,33,0.178747
0.0,13,0.179111
1.0,18,0.179604
0.0,80,0.181528
1.0,74,0.18334
1.0,23,0.183941
0.0,22,0.184526
0.0,23,0.185133
0.0,16,0.185571
0.0,20,0.186102
1.0,16,0.186542
1.0,45,0.187728
0.0,8,0.187983
0.0,11,0.18831
0.0,17,0.188766
0.0,100,0.191175
0.0,14,0.191575
1.0,83,0.193628
0.0,54,0.194954
0.0,6,0.195156
1.0,29,0.195904
0.0,13,0.196281
0.0,28,0.197005
1.0,52,0.198299
1.0,40,0.199295
1.0,33,0.200137
0.0,4,0.200297
0.0,12,0.200635
0.0,100,0.203039
0.0,45,0.204204
0.0,54,0.205607
1.0,18,0.206105
0.0,2,0.206207
0.0,8,0.206459
0.0,16,0.206903
1.0,88,0.209043
1.0,17,0.209549
1.0,23,0.210147
1.0,56,0.211536
1.0,14,0.211922
0.0,100,0.214344
0.0,57,0.21574
0.0,27,0.216456
0.0,16,0.216889
0.0,51,0.218141
0.0,23,0.218765
0.0,60,0.220239
0.0,79,0.222168
1.0,13,0.222544
0.0,27,0.223239
1.0,37,0.224165
0.0,32,0.22497
0.0,100,0.22739
0.0,68,0.22904
0.0,10,0.229348
0.0,12,0.229681
0.0,5,0.229851
0.0,14,0.230237
1.0,29,0.230986
1.0,28,0.231705
0.0,19,0.232212
0.0,11,0.232538
0.0,48,0.23374
0.0,4,0.23389
0.0,27,0.234611
0.0,39,0.235596
1.0,75,0.237425
0.0,10,0.237717
0.0,19,0.238236
1.0,27,0.238933
1.0,72,0.240692
0.0,46,0.241852
1.0,38,0.242825
1.0,76,0.244656
1.0,78,0.246541
1.0,20,0.247066
0.0,61,0.248574
1.0,11,0.248894
0.0,8,0.249152
1.0,8,0.249411
1.0,18,0.249904
0.0,9,0.25017
0.0,50,0.251411
1.0,44,0.252496
1.0,83,0.254498
0.0,17,0.254965
0.0,46,0.256123
1.0,51,0.257391
0.0,21,0.257934
1.0,10,0.258232
1.0,10,0.258535
1.0,12,0.258871
1.0,47,0.260039
0.0,15,0.260463
1.0,7,0.2607
1.0,19,0.261206
0.0,16,0.261651
0.0,21,0.262217
0.0,26,0.262897
0.0,30,0.263681
1.0,8,0.263932
1.0,13,0.264313
1.0,16,0.264755
1.0,12,0.2651
0.0,17,0.265558
1.0,11,0.265882
1.0,50,0.267162
1.0,20,0.267696
1.0,53,0.268998
1.0,11,0.269325
1.0,12,0.269672
0.0,30,0.27043
0.0,28,0.271135
1.0,56,0.272507
0.0,2,0.27261
0.0,79,0.274523
0.0,57,0.275928
1.0,45,0.277056
0.0,4,0.277212
0.0,73,0.278986
0.0,3,0.279117
1.0,67,0.280761
0.0,5,0.280944
0.0,20,0.281474
0.0,32,0.2823
0.0,77,0.284165
1.0,21,0.28472
0.0,43,0.285839
1.0,30,0.286612
1.0,13,0.286986
0.0,24,0.287612
0.0,14,0.28801
0.0,13,0.288384
1.0,31,0.289179
0.0,2,0.289298
0.0,5,0.289475
0.0,30,0.290239
0.0,94,0.292547
1.0,9,0.292817
1.0,27,0.293521
0.0,62,0.29503
0.0,8,0.295304
1.0,56,0.296772
0.0,22,0.297421
1.0,21,0.297983
0.0,14,0.298383
1.0,57,0.299798
1.0,99,0.302182
0.0,75,0.304171
0.0,12,0.304525
0.0,47,0.305756
0.0,63,0.307338
0.0,35,0.308212
0.0,61,0.309711
0.0,49,0.310935
0.0,60,0.312406
0.0,11,0.31273
0.0,42,0.313776
0.0,69,0.315488
0.0,9,0.315765
0.0,64,0.317325
1.0,22,0.317913
1.0,33,0.318754
0.0,6,0.318956
1.0,58,0.320375
0.0,29,0.321113
0.0,51,0.322385
0.0,86,0.324452
1.0,11,0.324768
1.0,17,0.325215
1.0,43,0.326282
0.0,41,0.327297
0.0,77,0.329145
1.0,76,0.330992
1.0,10,0.331297
1.0,44,0.332387
1.0,85,0.334432
1.0,19,0.334936
0.0,54,0.336264
0.0,24,0.33689
1.0,15,0.337304
0.0,72,0.339033
0.0,18,0.339535
0.0,30,0.340308
0.0,100,0.342705
0.0,20,0.343232
1.0,26,0.343904
0.0,97,0.346267
0.0,43,0.347326
0.0,25,0.347968
1.0,25,0.348617
0.0,61,0.350124
0.0,85,0.352153
0.0,61,0.353661
0.0,30,0.354436
1.0,26,0.355105
1.0,66,0.356709
1.0,40,0.357715
0.0,30,0.358474
1.0,30,0.359219
0.0,69,0.360896
1.0,6,0.3611
1.0,21,0.361666
0.0,82,0.363644
0.0,22,0.364212
0.0,32,0.365011
1.0,22,0.365602
1.0,65,0.36718
0.0,66,0.368774
0.0,10,0.369068
0.0,8,0.369324
1.0,76,0.371166
0.0,5,0.371347
1.0,33,0.372166
0.0,34,0.373013
0.0,29,0.373767
1.0,14,0.374162
1.0,64,0.375716
0.0,22,0.376299
1.0,43,0.377352
1.0,35,0.378237
0.0,22,0.378825
1.0,28,0.379531
0.0,7,0.379757
1.0,38,0.380709
1.0,31,0.381513
1.0,73,0.383293
0.0,14,0.383693
0.0,15,0.384094
1.0,40,0.385084
0.0,11,0.385414
0.0,60,0.386878
1.0,26,0.387565
1.0,46,0.388698
0.0,73,0.390475
1.0,38,0.391424
0.0,42,0.39247
0.0,3,0.392598
1.0,15,0.393009
0.0,58,0.394429
0.0,40,0.395447
0.0,6,0.395656
1.0,60,0.397122
1.0,20,0.397669
0.0,54,0.398994
1.0,29,0.399731
0.0,56,0.4011
1.0,8,0.401357
1.0,14,0.401736
1.0,73,0.403509
1.0,57,0.404918
0.0,58,0.406419
0.0,29,0.407173
