#{"t_start": 1522231403.327522, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,41,0.006939
0.0,32,0.007744
0.0,29,0.008465
0.0,5,0.008647
0.0,100,0.010845
0.0,10,0.011139
0.0,18,0.011598
0.0,54,0.012843
0.0,100,0.015086
0.0,11,0.015403
0.0,8,0.015643
0.0,11,0.015942
0.0,27,0.016629
1.0,28,0.01732
0.0,25,0.01793
1.0,20,0.01843
1.0,44,0.019451
0.0,44,0.02047
0.0,15,0.020861
0.0,42,0.021848
0.0,12,0.022181
1.0,13,0.022522
0.0,18,0.022983
0.0,14,0.023343
1.0,17,0.023772
0.0,16,0.024193
0.0,12,0.024515
1.0,12,0.02484
0.0,18,0.025306
1.0,27,0.025934
0.0,33,0.026713
0.0,46,0.027769
0.0,6,0.027962
0.0,15,0.028378
0.0,23,0.028943
0.0,38,0.029825
1.0,46,0.03089
0.0,15,0.0313
0.0,100,0.033571
0.0,28,0.034257
0.0,11,0.034564
0.0,7,0.034783
0.0,4,0.034939
0.0,9,0.035215
0.0,12,0.035542
0.0,10,0.035815
0.0,46,0.036876
0.0,12,0.037207
0.0,73,0.038853
1.0,28,0.039556
1.0,7,0.039777
0.0,37,0.04065
1.0,24,0.041233
0.0,25,0.041822
1.0,23,0.042399
0.0,32,0.04318
1.0,22,0.043724
0.0,60,0.045066
0.0,12,0.04539
0.0,4,0.045545
0.0,55,0.046782
1.0,6,0.046981
1.0,66,0.048474
0.0,43,0.049485
0.0,26,0.050124
0.0,43,0.051127
1.0,23,0.051704
1.0,33,0.052486
0.0,12,0.052814
0.0,36,0.053652
0.0,34,0.054451
1.0,12,0.054777
1.0,35,0.055591
0.0,15,0.055972
1.0,13,0.056319
0.0,26,0.056948
0.0,52,0.058166
1.0,35,0.058977
0.0,6,0.059175
0.0,33,0.059941
1.0,24,0.060518
0.0,10,0.060802
1.0,38,0.061673
1.0,45,0.062704
0.0,12,0.063044
0.0,21,0.063554
1.0,6,0.063751
0.0,54,0.064998
1.0,54,0.066236
1.0,48,0.067342
0.0,19,0.067823
1.0,21,0.068349
1.0,18,0.068795
0.0,64,0.070256
0.0,8,0.070502
0.0,22,0.071109
0.0,26,0.071716
0.0,8,0.071947
0.0,10,0.072236
0.0,8,0.072471
1.0,41,0.073418
1.0,15,0.073803
0.0,23,0.074359
0.0,14,0.074726
0.0,59,0.076069
0.0,15,0.076464
0.0,50,0.077611
0.0,12,0.077941
1.0,7,0.078172
1.0,7,0.078392
0.0,30,0.07912
0.0,18,0.079562
