#{"t_start": 1523135030.8232577, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,11,0.006463
0.0,10,0.006792
0.0,3,0.006938
0.0,28,0.0077
0.0,13,0.008079
0.0,6,0.008301
0.0,6,0.008512
0.0,15,0.00897
0.0,4,0.009145
0.0,9,0.009437
0.0,8,0.009705
0.0,30,0.010507
0.0,5,0.010707
0.0,10,0.011009
0.0,12,0.011368
1.0,20,0.011912
0.0,7,0.012142
0.0,38,0.013099
0.0,64,0.014706
0.0,15,0.015125
0.0,5,0.015326
0.0,23,0.015951
0.0,7,0.016183
0.0,13,0.016583
0.0,19,0.017115
0.0,23,0.01774
0.0,6,0.017953
0.0,13,0.018334
0.0,51,0.01964
0.0,5,0.019828
0.0,10,0.020125
0.0,17,0.020621
0.0,10,0.020957
0.0,9,0.021257
0.0,10,0.021583
0.0,10,0.021894
0.0,15,0.022317
0.0,41,0.023378
0.0,6,0.023606
0.0,9,0.023887
0.0,20,0.024438
0.0,21,0.025005
0.0,8,0.02527
0.0,14,0.025685
0.0,5,0.02587
0.0,9,0.026154
0.0,26,0.026856
0.0,31,0.027687
0.0,6,0.027895
0.0,19,0.028416
0.0,20,0.028955
0.0,14,0.029356
0.0,17,0.029844
0.0,17,0.030333
0.0,5,0.030519
0.0,12,0.030876
0.0,3,0.031015
0.0,8,0.031275
0.0,5,0.031487
0.0,4,0.031674
0.0,5,0.031873
0.0,11,0.032195
0.0,5,0.032378
0.0,8,0.032651
0.0,23,0.033276
0.0,7,0.033519
0.0,19,0.034051
0.0,34,0.034943
0.0,6,0.035161
0.0,10,0.035473
0.0,22,0.036071
0.0,6,0.036286
0.0,13,0.036673
0.0,11,0.037016
0.0,9,0.037303
0.0,19,0.037848
0.0,13,0.038231
0.0,8,0.038494
0.0,14,0.038894
0.0,29,0.039665
0.0,9,0.039944
0.0,8,0.040208
0.0,13,0.040607
0.0,5,0.040822
0.0,16,0.041281
0.0,9,0.041565
0.0,14,0.041966
0.0,7,0.042197
0.0,4,0.042354
0.0,10,0.042677
0.0,13,0.043058
0.0,10,0.043367
0.0,4,0.043527
0.0,8,0.043801
0.0,5,0.043994
1.0,13,0.044389
0.0,2,0.044503
0.0,4,0.044673
0.0,80,0.046629
0.0,13,0.047014
0.0,4,0.047183
1.0,29,0.047967
0.0,19,0.048493
0.0,23,0.04911
0.0,41,0.050194
0.0,11,0.050554
0.0,24,0.0512
0.0,24,0.051865
1.0,18,0.052371
0.0,31,0.053211
0.0,6,0.053429
0.0,11,0.053764
0.0,6,0.053985
0.0,13,0.054353
1.0,11,0.054685
0.0,15,0.055102
1.0,14,0.055503
0.0,13,0.055894
0.0,6,0.056105
0.0,3,0.056248
0.0,19,0.056786
0.0,29,0.057546
0.0,16,0.058014
0.0,10,0.058324
0.0,3,0.058461
0.0,8,0.058723
0.0,9,0.058997
0.0,24,0.059628
0.0,12,0.059999
0.0,21,0.060549
0.0,12,0.06091
0.0,22,0.061495
0.0,31,0.062313
0.0,47,0.063516
0.0,12,0.063871
0.0,31,0.064686
0.0,5,0.064872
0.0,3,0.065008
1.0,33,0.065867
0.0,11,0.066191
0.0,24,0.066857
0.0,34,0.067728
1.0,29,0.068479
0.0,16,0.068937
0.0,8,0.06919
0.0,24,0.069828
0.0,5,0.070012
0.0,40,0.071034
0.0,6,0.071244
0.0,13,0.071639
0.0,16,0.072098
0.0,12,0.072455
0.0,13,0.072844
0.0,7,0.073075
0.0,22,0.073676
1.0,17,0.07414
0.0,33,0.07499
1.0,21,0.075566
0.0,12,0.075933
0.0,8,0.076205
1.0,9,0.076482
0.0,75,0.078345
0.0,23,0.078977
0.0,16,0.079442
0.0,20,0.079997
0.0,25,0.080702
0.0,24,0.081332
1.0,19,0.081895
0.0,25,0.082563
0.0,20,0.083109
0.0,68,0.084788
0.0,22,0.085388
0.0,15,0.085831
0.0,13,0.08622
0.0,54,0.087571
1.0,19,0.088099
0.0,15,0.088509
0.0,25,0.089204
0.0,10,0.089515
0.0,8,0.089788
0.0,30,0.090579
0.0,7,0.090819
0.0,6,0.091027
0.0,20,0.091578
0.0,8,0.091844
0.0,26,0.09253
0.0,3,0.092679
0.0,2,0.092791
0.0,10,0.093089
0.0,12,0.093454
0.0,8,0.093726
0.0,7,0.093958
0.0,3,0.094094
1.0,12,0.094447
0.0,9,0.094733
0.0,4,0.094894
1.0,14,0.095295
0.0,6,0.095509
0.0,10,0.095837
0.0,13,0.096205
0.0,10,0.096505
0.0,4,0.096672
1.0,25,0.097353
0.0,8,0.097619
0.0,19,0.09814
0.0,4,0.098301
0.0,19,0.098826
0.0,5,0.099012
1.0,16,0.099477
0.0,6,0.099694
0.0,17,0.100167
0.0,2,0.100282
1.0,17,0.10076
0.0,33,0.101623
0.0,29,0.102388
1.0,8,0.102684
0.0,9,0.102984
0.0,4,0.103146
0.0,10,0.103456
0.0,6,0.103685
0.0,5,0.103886
1.0,21,0.104461
0.0,21,0.105057
0.0,32,0.105899
0.0,8,0.106166
0.0,16,0.106721
0.0,4,0.106878
0.0,7,0.107096
0.0,23,0.107685
0.0,60,0.109104
0.0,14,0.109495
1.0,11,0.109811
0.0,8,0.110061
0.0,9,0.110324
0.0,7,0.110562
0.0,7,0.110782
0.0,9,0.111052
0.0,27,0.111734
0.0,6,0.111931
0.0,5,0.112103
1.0,14,0.112481
0.0,18,0.112946
0.0,33,0.113746
0.0,3,0.113889
0.0,16,0.114338
0.0,5,0.114524
0.0,15,0.114979
0.0,8,0.11523
0.0,28,0.115949
0.0,9,0.116233
0.0,6,0.116431
0.0,7,0.11666
0.0,20,0.117185
0.0,7,0.117403
0.0,3,0.117538
0.0,18,0.118025
0.0,22,0.118604
0.0,14,0.119003
0.0,3,0.119142
0.0,10,0.119425
0.0,9,0.119712
0.0,44,0.120776
0.0,18,0.121259
0.0,20,0.121799
0.0,9,0.122081
0.0,44,0.123146
0.0,46,0.124258
0.0,11,0.124603
0.0,10,0.124901
0.0,4,0.125053
0.0,6,0.125278
0.0,14,0.125675
0.0,19,0.126177
0.0,4,0.12633
0.0,20,0.126872
0.0,15,0.127283
0.0,13,0.127652
1.0,30,0.128393
0.0,49,0.129565
0.0,9,0.129832
0.0,10,0.130114
0.0,16,0.130528
0.0,10,0.130839
0.0,10,0.13113
0.0,5,0.131305
0.0,3,0.131433
0.0,25,0.132061
1.0,26,0.132715
0.0,29,0.133436
0.0,23,0.134038
0.0,19,0.134539
1.0,66,0.136097
0.0,7,0.136322
0.0,60,0.13778
0.0,17,0.138247
1.0,22,0.138853
0.0,33,0.13971
0.0,99,0.142061
0.0,12,0.142401
0.0,6,0.142625
0.0,18,0.14311
0.0,17,0.143597
0.0,3,0.143744
0.0,7,0.143974
0.0,7,0.144204
0.0,3,0.144344
0.0,10,0.144677
0.0,18,0.145155
0.0,11,0.145467
0.0,8,0.145721
0.0,3,0.145868
0.0,11,0.146197
0.0,13,0.146568
0.0,8,0.146821
