#{"t_start": 1523135461.8451521, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.006893
0.0,16,0.00735
0.0,10,0.007641
0.0,7,0.0079
0.0,7,0.008133
0.0,23,0.008715
0.0,59,0.010113
0.0,49,0.01131
0.0,54,0.012561
0.0,17,0.013024
0.0,74,0.014771
0.0,5,0.014957
0.0,5,0.015134
0.0,10,0.015438
0.0,36,0.01633
0.0,11,0.016643
0.0,27,0.017345
0.0,18,0.017825
0.0,6,0.018038
0.0,14,0.018421
0.0,100,0.020761
0.0,93,0.022949
0.0,14,0.023329
0.0,13,0.023705
0.0,30,0.024422
0.0,14,0.024828
0.0,31,0.025589
0.0,8,0.025876
0.0,26,0.026549
1.0,16,0.026975
0.0,19,0.02747
0.0,10,0.027774
0.0,19,0.02828
0.0,18,0.028809
0.0,5,0.028987
0.0,38,0.029927
0.0,21,0.030479
0.0,17,0.030934
0.0,2,0.031049
0.0,10,0.031343
1.0,17,0.031817
0.0,8,0.032087
0.0,4,0.032244
0.0,6,0.032452
0.0,28,0.033161
0.0,11,0.033486
0.0,70,0.035155
0.0,6,0.035356
0.0,11,0.035678
0.0,12,0.036018
0.0,89,0.038085
0.0,4,0.038241
0.0,18,0.038733
1.0,15,0.039172
0.0,4,0.039325
0.0,9,0.039596
0.0,2,0.039724
0.0,33,0.040529
0.0,9,0.040842
0.0,34,0.041677
0.0,21,0.042207
0.0,14,0.042593
0.0,37,0.043477
0.0,9,0.04378
0.0,23,0.044345
0.0,7,0.044566
0.0,19,0.045066
1.0,23,0.045645
0.0,15,0.046049
0.0,5,0.046231
0.0,27,0.046953
0.0,10,0.047248
0.0,11,0.047567
0.0,4,0.047732
0.0,19,0.048264
0.0,10,0.048558
0.0,82,0.050485
0.0,29,0.051217
0.0,21,0.051774
0.0,6,0.051982
0.0,2,0.0521
0.0,24,0.052718
0.0,28,0.053404
0.0,8,0.053673
0.0,14,0.054075
0.0,21,0.054603
0.0,10,0.054914
0.0,16,0.055336
0.0,21,0.055877
0.0,4,0.056032
0.0,2,0.056137
0.0,19,0.056622
0.0,28,0.057316
0.0,7,0.057547
0.0,18,0.058026
0.0,8,0.058274
0.0,10,0.058563
1.0,22,0.059121
0.0,47,0.060262
1.0,10,0.060566
0.0,10,0.060863
0.0,7,0.061093
0.0,14,0.061499
0.0,17,0.061969
0.0,24,0.06256
0.0,10,0.06287
0.0,16,0.063295
0.0,7,0.063515
1.0,39,0.064455
0.0,9,0.064737
0.0,10,0.065032
1.0,23,0.065619
0.0,13,0.065992
0.0,21,0.066539
0.0,45,0.067632
0.0,12,0.067979
0.0,67,0.069551
0.0,10,0.069858
0.0,45,0.07095
0.0,15,0.071361
0.0,5,0.071536
0.0,6,0.07175
0.0,7,0.071976
0.0,28,0.072673
0.0,38,0.073591
0.0,10,0.073899
0.0,25,0.074504
0.0,9,0.074806
0.0,16,0.075239
0.0,13,0.075608
0.0,28,0.076324
0.0,11,0.076643
0.0,71,0.07831
0.0,7,0.07853
0.0,9,0.078803
0.0,2,0.078911
0.0,89,0.08099
0.0,60,0.082431
1.0,6,0.08263
0.0,45,0.083745
0.0,4,0.0839
0.0,7,0.084119
0.0,6,0.084314
0.0,30,0.085058
0.0,15,0.085465
0.0,23,0.086046
0.0,16,0.086469
0.0,17,0.08693
0.0,4,0.087092
0.0,18,0.087564
1.0,11,0.087882
1.0,13,0.088229
0.0,12,0.088563
1.0,19,0.089067
0.0,42,0.090086
0.0,16,0.090528
0.0,27,0.091263
0.0,31,0.092022
0.0,10,0.092317
0.0,14,0.092716
0.0,29,0.093444
0.0,37,0.094389
0.0,12,0.09473
0.0,36,0.09561
0.0,26,0.096264
0.0,7,0.096491
0.0,22,0.097059
0.0,5,0.097249
0.0,12,0.097576
1.0,27,0.098284
0.0,12,0.098613
0.0,5,0.098802
0.0,26,0.099468
0.0,37,0.100371
1.0,12,0.100715
0.0,5,0.10089
0.0,9,0.101149
0.0,17,0.101599
1.0,32,0.102403
0.0,22,0.102976
0.0,7,0.103201
0.0,10,0.103499
0.0,19,0.103996
0.0,26,0.104654
0.0,30,0.105402
0.0,18,0.105898
0.0,33,0.106714
0.0,29,0.107502
0.0,85,0.109473
0.0,32,0.110255
0.0,2,0.110365
0.0,38,0.111297
0.0,12,0.111635
0.0,30,0.112402
0.0,6,0.112612
0.0,27,0.113299
0.0,8,0.11355
0.0,6,0.113765
0.0,9,0.114036
0.0,22,0.114609
1.0,16,0.115047
0.0,25,0.115693
0.0,5,0.115881
0.0,27,0.116555
0.0,11,0.116878
0.0,5,0.117054
0.0,30,0.117807
0.0,6,0.118003
0.0,8,0.118247
0.0,10,0.118546
0.0,20,0.119056
0.0,23,0.119639
0.0,8,0.119892
0.0,26,0.120546
0.0,4,0.120709
0.0,15,0.121125
0.0,6,0.12133
0.0,8,0.121578
0.0,18,0.122059
1.0,15,0.122474
0.0,7,0.122704
0.0,32,0.123494
0.0,8,0.123755
0.0,8,0.124003
1.0,58,0.125381
0.0,11,0.125707
0.0,16,0.126148
0.0,23,0.126725
0.0,22,0.127282
0.0,57,0.128666
0.0,15,0.129061
0.0,29,0.129814
0.0,12,0.130155
0.0,4,0.130318
0.0,9,0.130593
0.0,43,0.131623
0.0,13,0.132009
0.0,26,0.132654
0.0,7,0.132886
0.0,22,0.13345
0.0,15,0.13387
0.0,48,0.134994
0.0,39,0.135945
0.0,6,0.13616
0.0,18,0.136656
0.0,28,0.137364
0.0,3,0.137496
0.0,26,0.138146
0.0,30,0.138897
0.0,27,0.139579
0.0,6,0.139798
0.0,10,0.140085
0.0,32,0.140879
0.0,22,0.141446
0.0,22,0.142013
0.0,31,0.142805
0.0,8,0.143048
0.0,8,0.143312
0.0,27,0.144009
0.0,31,0.144775
0.0,7,0.144995
0.0,8,0.145234
0.0,80,0.147118
0.0,12,0.147455
1.0,19,0.147967
0.0,33,0.14879
0.0,7,0.14901
0.0,21,0.149547
0.0,21,0.150103
0.0,28,0.150798
1.0,20,0.151317
0.0,41,0.152325
0.0,8,0.152567
0.0,17,0.153025
0.0,97,0.15527
0.0,24,0.155894
0.0,21,0.156437
0.0,12,0.156783
0.0,12,0.157122
0.0,6,0.157317
1.0,11,0.157619
0.0,23,0.158212
0.0,3,0.158352
0.0,26,0.159021
0.0,56,0.160354
0.0,55,0.161666
0.0,39,0.162599
0.0,24,0.163201
0.0,4,0.163357
0.0,62,0.164837
0.0,21,0.165369
1.0,7,0.165596
0.0,11,0.165919
0.0,44,0.166975
0.0,7,0.167209
0.0,39,0.168173
0.0,9,0.168435
0.0,4,0.168586
0.0,35,0.169442
1.0,24,0.170078
0.0,3,0.170209
0.0,26,0.170851
1.0,6,0.171049
0.0,90,0.173163
0.0,29,0.173891
0.0,11,0.174211
0.0,26,0.174852
0.0,42,0.175873
0.0,4,0.176039
0.0,17,0.176483
0.0,16,0.17693
0.0,39,0.177878
0.0,52,0.17912
0.0,46,0.180229
0.0,48,0.181385
1.0,32,0.18219
1.0,10,0.18249
0.0,4,0.182659
0.0,4,0.182814
0.0,3,0.182945
0.0,49,0.184117
0.0,2,0.184232
0.0,2,0.18434
0.0,34,0.185175
0.0,3,0.185313
0.0,16,0.185765
1.0,33,0.186584
0.0,18,0.187069
0.0,6,0.187278
0.0,7,0.187497
1.0,21,0.188048
0.0,4,0.18821
0.0,26,0.188879
0.0,36,0.18977
0.0,17,0.190223
0.0,19,0.190728
0.0,21,0.191266
0.0,15,0.191681
0.0,19,0.192179
0.0,6,0.192376
1.0,36,0.19324
0.0,5,0.193415
0.0,72,0.195132
0.0,6,0.195339
0.0,11,0.19567
0.0,70,0.19731
1.0,17,0.197778
0.0,12,0.198106
0.0,25,0.198746
0.0,18,0.199216
0.0,2,0.199326
0.0,7,0.199546
0.0,13,0.199918
0.0,62,0.201382
1.0,20,0.201897
0.0,9,0.20217
0.0,19,0.202671
1.0,28,0.203359
0.0,3,0.203501
0.0,33,0.204316
0.0,15,0.204747
0.0,49,0.2059
0.0,100,0.208247
0.0,20,0.208857
0.0,6,0.209073
0.0,23,0.209665
0.0,7,0.209885
0.0,11,0.210188
0.0,10,0.210478
0.0,3,0.210608
0.0,40,0.211585
0.0,13,0.211948
0.0,6,0.212158
0.0,4,0.212311
0.0,31,0.213074
0.0,25,0.213719
0.0,11,0.214037
0.0,7,0.214266
0.0,7,0.214484
0.0,18,0.214949
0.0,6,0.215143
0.0,4,0.215303
0.0,23,0.215898
0.0,7,0.216128
0.0,7,0.216358
0.0,7,0.216583
0.0,17,0.217057
0.0,21,0.217595
1.0,11,0.217919
0.0,9,0.218187
0.0,3,0.218324
1.0,22,0.218897
0.0,10,0.21919
0.0,4,0.219347
0.0,15,0.219765
0.0,11,0.220082
