#{"t_start": 1522230823.867616, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,24,0.018442
0.0,7,0.019034
0.0,3,0.019335
0.0,8,0.019935
0.0,30,0.021311
0.0,9,0.021781
0.0,11,0.022328
0.0,9,0.022804
0.0,33,0.024304
0.0,9,0.024774
0.0,2,0.024933
0.0,35,0.026521
0.0,27,0.027777
0.0,16,0.028539
0.0,18,0.029392
1.0,21,0.030385
0.0,10,0.030901
0.0,14,0.031575
0.0,15,0.032302
0.0,10,0.032817
0.0,16,0.033583
0.0,13,0.034228
0.0,16,0.035005
0.0,15,0.035739
0.0,8,0.036159
0.0,17,0.036967
0.0,2,0.037127
0.0,23,0.0382
0.0,42,0.040112
0.0,11,0.040671
0.0,39,0.042432
0.0,10,0.04295
0.0,12,0.043542
0.0,53,0.045925
0.0,14,0.046604
0.0,60,0.049282
0.0,8,0.049721
0.0,17,0.050527
0.0,22,0.051555
0.0,13,0.052199
0.0,13,0.052843
0.0,10,0.053347
0.0,20,0.054291
0.0,23,0.05536
0.0,15,0.056118
0.0,21,0.057102
0.0,4,0.057349
0.0,12,0.057959
0.0,20,0.058904
0.0,20,0.05985
0.0,3,0.060054
0.0,21,0.061039
0.0,8,0.061455
0.0,7,0.061839
0.0,7,0.062212
0.0,20,0.063198
0.0,3,0.063401
0.0,7,0.063783
0.0,7,0.064158
0.0,22,0.065196
0.0,4,0.065442
0.0,7,0.065828
0.0,12,0.066418
0.0,3,0.066619
0.0,7,0.066998
0.0,4,0.06724
0.0,5,0.067525
0.0,30,0.068903
0.0,17,0.069726
0.0,2,0.069885
0.0,11,0.070429
0.0,39,0.072209
0.0,13,0.072853
0.0,10,0.073356
0.0,11,0.073915
0.0,8,0.07433
0.0,18,0.075184
0.0,15,0.075918
0.0,5,0.076204
0.0,8,0.076619
0.0,16,0.077385
0.0,14,0.078068
0.0,21,0.079061
0.0,8,0.079477
0.0,25,0.080645
0.0,8,0.081063
0.0,10,0.081563
0.0,10,0.082077
0.0,100,0.086486
0.0,4,0.086747
0.0,24,0.087865
0.0,11,0.088412
0.0,12,0.089011
0.0,5,0.089298
0.0,6,0.089625
0.0,85,0.093381
0.0,41,0.095241
0.0,29,0.096568
0.0,10,0.097076
0.0,12,0.097672
0.0,39,0.099428
0.0,26,0.100633
0.0,8,0.101063
0.0,19,0.101967
0.0,6,0.1023
0.0,15,0.103031
0.0,42,0.104925
0.0,30,0.106307
0.0,16,0.10708
0.0,25,0.108238
0.0,2,0.108395
0.0,11,0.108953
1.0,23,0.110034
0.0,9,0.110495
1.0,36,0.112131
0.0,7,0.112504
1.0,14,0.113187
0.0,8,0.113599
1.0,28,0.114894
0.0,4,0.11514
0.0,13,0.115782
0.0,29,0.117114
0.0,65,0.120072
0.0,7,0.120448
0.0,33,0.121963
0.0,45,0.123982
0.0,24,0.125102
0.0,13,0.125746
0.0,11,0.12629
0.0,22,0.127313
0.0,11,0.127867
0.0,8,0.128285
0.0,22,0.129308
0.0,26,0.13051
1.0,16,0.13128
0.0,15,0.132012
0.0,16,0.132787
0.0,8,0.133202
0.0,27,0.134439
0.0,38,0.136168
0.0,19,0.137075
0.0,3,0.137276
0.0,22,0.138299
0.0,19,0.139198
0.0,4,0.139439
0.0,13,0.140084
0.0,27,0.141324
0.0,23,0.142395
0.0,24,0.143511
0.0,38,0.145239
0.0,27,0.146488
0.0,31,0.147913
0.0,12,0.148506
0.0,2,0.148672
0.0,23,0.149746
0.0,8,0.150162
0.0,3,0.15036
0.0,5,0.150654
0.0,13,0.151286
0.0,9,0.151755
0.0,16,0.152522
0.0,24,0.153643
0.0,13,0.154276
0.0,10,0.154791
0.0,67,0.157772
0.0,40,0.159571
0.0,16,0.160347
0.0,7,0.160735
0.0,27,0.161986
1.0,100,0.166393
0.0,6,0.166731
0.0,15,0.167448
0.0,8,0.167873
0.0,19,0.168772
0.0,22,0.169804
0.0,14,0.170475
0.0,12,0.171077
1.0,9,0.171533
0.0,7,0.171919
0.0,37,0.173584
0.0,3,0.173795
0.0,9,0.174254
0.0,23,0.175321
0.0,2,0.17548
0.0,5,0.175775
0.0,11,0.176324
0.0,14,0.177004
