#{"t_start": 1523136101.3835957, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,9,0.03592
0.0,8,0.036563
0.0,10,0.037326
0.0,7,0.037907
0.0,6,0.038401
0.0,15,0.039503
0.0,22,0.041058
0.0,42,0.043903
0.0,100,0.04834
0.0,19,0.049249
0.0,83,0.05292
0.0,7,0.053293
1.0,46,0.055348
0.0,65,0.058235
0.0,5,0.058525
0.0,55,0.060982
0.0,63,0.063771
0.0,41,0.065618
0.0,32,0.067085
0.0,16,0.067853
0.0,29,0.069171
1.0,9,0.069628
0.0,4,0.069882
0.0,67,0.072858
1.0,77,0.076251
0.0,8,0.076662
0.0,5,0.076957
0.0,9,0.077415
0.0,10,0.077925
0.0,7,0.078297
0.0,54,0.080702
0.0,7,0.081082
0.0,7,0.081456
0.0,20,0.082394
0.0,20,0.08333
0.0,12,0.083932
0.0,21,0.084924
0.0,61,0.087625
0.0,16,0.088392
0.0,12,0.088989
0.0,100,0.093378
0.0,24,0.094501
1.0,33,0.096002
0.0,33,0.097492
0.0,11,0.098047
0.0,34,0.099589
0.0,18,0.100443
0.0,7,0.100818
1.0,36,0.102446
0.0,54,0.104866
0.0,17,0.105664
0.0,28,0.106956
0.0,15,0.107671
0.0,32,0.10914
0.0,6,0.109471
0.0,25,0.110627
1.0,46,0.11268
0.0,16,0.113441
0.0,20,0.114381
1.0,24,0.115495
0.0,46,0.117552
0.0,53,0.119922
0.0,19,0.120814
0.0,40,0.122623
0.0,25,0.123776
0.0,17,0.124592
0.0,71,0.127731
0.0,25,0.128895
0.0,9,0.129353
0.0,3,0.12955
0.0,9,0.130015
1.0,11,0.130559
0.0,100,0.134937
1.0,18,0.135774
0.0,22,0.136859
1.0,31,0.13826
0.0,42,0.140157
0.0,4,0.140404
1.0,92,0.14446
0.0,25,0.145617
0.0,8,0.146043
0.0,24,0.147156
0.0,26,0.148343
0.0,15,0.149072
0.0,27,0.150309
1.0,32,0.151762
0.0,53,0.154128
0.0,14,0.154797
0.0,7,0.155178
0.0,17,0.155987
0.0,34,0.157518
0.0,39,0.159276
0.0,23,0.160344
0.0,43,0.162275
0.0,49,0.164465
0.0,54,0.166873
1.0,22,0.167902
0.0,5,0.168189
0.0,54,0.170579
0.0,14,0.171259
0.0,5,0.171545
0.0,13,0.17219
1.0,24,0.173293
0.0,18,0.174153
0.0,27,0.17539
0.0,6,0.175716
1.0,34,0.177257
0.0,71,0.180397
1.0,17,0.181206
1.0,29,0.182525
0.0,2,0.18268
1.0,13,0.183316
0.0,4,0.183555
0.0,5,0.183858
1.0,19,0.184736
0.0,22,0.185754
0.0,21,0.186729
0.0,11,0.187281
1.0,19,0.188168
0.0,9,0.188625
0.0,78,0.192056
1.0,25,0.193196
0.0,38,0.19491
0.0,31,0.196317
0.0,62,0.199059
0.0,5,0.199344
0.0,16,0.200106
0.0,49,0.202292
0.0,31,0.2037
0.0,8,0.204137
0.0,92,0.208175
1.0,39,0.209932
1.0,41,0.211763
0.0,10,0.212271
0.0,7,0.212645
0.0,9,0.213113
1.0,14,0.21378
0.0,41,0.215628
0.0,18,0.216472
0.0,62,0.219226
0.0,56,0.221711
1.0,14,0.22239
0.0,27,0.223631
1.0,26,0.224847
1.0,40,0.226632
0.0,7,0.227018
0.0,27,0.228248
0.0,35,0.229838
0.0,11,0.230382
0.0,100,0.234737
0.0,50,0.236969
0.0,52,0.239339
0.0,4,0.239584
0.0,21,0.240572
0.0,42,0.242464
0.0,9,0.242929
0.0,29,0.244254
1.0,38,0.245967
0.0,5,0.246253
0.0,15,0.246974
1.0,17,0.247766
0.0,26,0.248964
1.0,34,0.250496
1.0,12,0.251093
0.0,29,0.252421
0.0,85,0.256172
0.0,26,0.257365
0.0,9,0.257832
0.0,42,0.259717
0.0,10,0.260224
0.0,100,0.264621
1.0,53,0.266988
0.0,20,0.267925
0.0,3,0.268126
0.0,37,0.26979
0.0,15,0.270508
0.0,100,0.274915
0.0,7,0.275285
0.0,18,0.276138
0.0,8,0.27655
0.0,22,0.277565
0.0,31,0.278992
0.0,5,0.279279
0.0,25,0.280432
0.0,6,0.280763
1.0,86,0.284554
0.0,34,0.286099
0.0,12,0.286685
0.0,34,0.288232
0.0,13,0.28887
0.0,6,0.289196
0.0,17,0.290002
1.0,37,0.291663
0.0,4,0.291914
0.0,16,0.292673
1.0,6,0.29301
1.0,39,0.294768
1.0,30,0.296137
0.0,37,0.297805
0.0,18,0.298659
1.0,36,0.300286
0.0,15,0.301018
0.0,16,0.301779
0.0,3,0.301989
1.0,67,0.304948
0.0,42,0.306833
1.0,12,0.307416
0.0,13,0.308055
0.0,6,0.308384
0.0,10,0.308896
1.0,68,0.311901
1.0,28,0.313185
0.0,29,0.314512
0.0,26,0.315707
1.0,16,0.316478
0.0,53,0.318838
1.0,21,0.319808
0.0,4,0.320063
0.0,7,0.320439
0.0,40,0.322233
0.0,7,0.322609
0.0,13,0.323248
0.0,3,0.323446
0.0,26,0.324642
0.0,41,0.326495
0.0,20,0.327437
0.0,3,0.327639
1.0,46,0.329691
1.0,48,0.331834
0.0,15,0.332555
0.0,15,0.33328
0.0,26,0.334482
0.0,3,0.334684
0.0,25,0.335846
1.0,30,0.33722
0.0,30,0.338641
0.0,53,0.341004
0.0,34,0.34255
0.0,51,0.344837
0.0,5,0.345124
0.0,30,0.346479
0.0,77,0.3499
1.0,20,0.350852
0.0,44,0.352813
0.0,22,0.353847
1.0,27,0.355082
1.0,21,0.356057
0.0,11,0.356595
0.0,33,0.358089
0.0,44,0.360067
0.0,47,0.362163
0.0,30,0.363534
0.0,6,0.363878
1.0,20,0.364798
0.0,17,0.3656
1.0,18,0.36645
0.0,10,0.366959
0.0,32,0.368416
0.0,27,0.369657
0.0,17,0.37047
1.0,27,0.371701
0.0,100,0.376096
0.0,19,0.376998
0.0,100,0.381369
0.0,19,0.382266
0.0,6,0.382591
0.0,4,0.382842
0.0,12,0.383423
0.0,7,0.383792
0.0,19,0.384678
0.0,48,0.386831
0.0,23,0.387902
0.0,18,0.388742
0.0,62,0.39148
0.0,50,0.393704
0.0,5,0.39401
0.0,17,0.3948
0.0,25,0.395959
0.0,30,0.397327
0.0,42,0.399206
0.0,3,0.399403
1.0,16,0.400167
1.0,40,0.401958
0.0,3,0.402159
0.0,20,0.403093
1.0,13,0.403719
0.0,35,0.405321
0.0,24,0.406427
1.0,21,0.40741
1.0,19,0.408308
0.0,12,0.408899
0.0,13,0.409523
0.0,65,0.412402
0.0,63,0.41521
0.0,11,0.415755
0.0,9,0.416224
1.0,23,0.417283
0.0,20,0.418217
0.0,26,0.419409
1.0,93,0.423489
0.0,25,0.424657
0.0,6,0.424996
0.0,4,0.425237
1.0,13,0.425877
0.0,8,0.426288
0.0,7,0.426662
1.0,7,0.427043
0.0,10,0.427544
0.0,8,0.427975
1.0,29,0.429299
0.0,7,0.429683
0.0,26,0.430887
0.0,13,0.431515
0.0,4,0.431756
0.0,12,0.432354
0.0,8,0.432775
0.0,23,0.433856
0.0,2,0.434014
1.0,17,0.434804
0.0,21,0.435784
1.0,87,0.43959
1.0,67,0.442626
0.0,14,0.443313
0.0,27,0.444561
0.0,22,0.445585
0.0,15,0.446307
0.0,14,0.446986
0.0,19,0.447881
0.0,10,0.44838
0.0,29,0.449695
0.0,23,0.450758
0.0,22,0.451773
0.0,9,0.452241
0.0,38,0.453971
0.0,11,0.454514
0.0,21,0.45549
0.0,55,0.457937
1.0,67,0.460899
0.0,22,0.461922
0.0,7,0.462294
0.0,25,0.463446
0.0,14,0.464137
1.0,13,0.46476
0.0,7,0.46514
0.0,9,0.465598
0.0,13,0.466242
0.0,47,0.468348
1.0,41,0.470195
0.0,16,0.470961
0.0,24,0.47207
0.0,10,0.472566
0.0,59,0.475188
1.0,40,0.476986
0.0,6,0.477315
0.0,18,0.47817
0.0,16,0.47894
0.0,46,0.480994
0.0,13,0.481627
0.0,58,0.484207
0.0,20,0.485151
1.0,14,0.48582
0.0,15,0.48654
0.0,53,0.488907
0.0,45,0.490916
0.0,9,0.491379
0.0,18,0.492229
1.0,18,0.493076
0.0,10,0.493576
0.0,5,0.493878
0.0,27,0.495133
0.0,12,0.495721
0.0,13,0.496361
0.0,21,0.497356
1.0,52,0.49969
0.0,13,0.500336
0.0,15,0.501062
0.0,17,0.501871
0.0,29,0.503192
0.0,24,0.504308
0.0,35,0.505896
0.0,40,0.507699
1.0,19,0.50859
1.0,16,0.509358
0.0,12,0.509955
0.0,23,0.511025
0.0,4,0.511267
1.0,21,0.512242
1.0,7,0.512614
0.0,13,0.51325
0.0,5,0.513534
0.0,3,0.513731
0.0,12,0.514334
1.0,34,0.515888
1.0,28,0.517168
0.0,46,0.519224
0.0,100,0.523612
0.0,31,0.525036
0.0,18,0.525882
0.0,25,0.527033
0.0,8,0.527449
0.0,40,0.529249
0.0,22,0.530275
0.0,20,0.531211
0.0,24,0.532316
0.0,28,0.533593
0.0,28,0.534898
0.0,5,0.535185
0.0,60,0.537858
0.0,17,0.53866
0.0,11,0.53922
0.0,30,0.540577
0.0,13,0.541271
