#{"t_start": 1523135087.1219912, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.035317
0.0,4,0.035712
0.0,8,0.036126
0.0,24,0.037253
0.0,50,0.039517
0.0,8,0.039935
0.0,8,0.040349
0.0,53,0.042727
0.0,32,0.044181
0.0,30,0.04557
0.0,59,0.048186
0.0,100,0.052603
0.0,27,0.053847
0.0,45,0.055884
0.0,100,0.06028
0.0,44,0.062246
0.0,70,0.065349
1.0,25,0.066521
0.0,63,0.069301
0.0,19,0.070202
0.0,17,0.071019
0.0,33,0.072527
0.0,45,0.074537
0.0,96,0.078761
0.0,24,0.07988
0.0,8,0.080295
0.0,16,0.081061
0.0,19,0.081961
1.0,21,0.08294
0.0,3,0.083138
0.0,4,0.08338
0.0,12,0.083968
0.0,13,0.084616
0.0,12,0.085199
0.0,18,0.086054
0.0,34,0.087606
0.0,11,0.088153
0.0,41,0.090004
0.0,6,0.090337
0.0,78,0.093772
1.0,18,0.094629
0.0,27,0.095873
0.0,4,0.096114
0.0,38,0.097831
0.0,3,0.098034
0.0,11,0.098586
0.0,26,0.099792
0.0,9,0.10025
0.0,34,0.101812
0.0,8,0.102228
0.0,16,0.102992
0.0,51,0.105274
0.0,7,0.105669
0.0,24,0.106774
0.0,10,0.107281
0.0,11,0.107835
0.0,29,0.109152
0.0,15,0.109874
0.0,34,0.111412
0.0,2,0.111582
0.0,28,0.112861
0.0,5,0.113145
0.0,30,0.11451
0.0,3,0.114713
0.0,15,0.115445
0.0,2,0.115602
0.0,20,0.116544
0.0,22,0.117571
0.0,32,0.119024
0.0,50,0.121257
1.0,54,0.12368
0.0,9,0.124137
0.0,10,0.124647
0.0,10,0.125151
1.0,13,0.125793
0.0,17,0.126602
0.0,19,0.127494
0.0,28,0.128773
0.0,12,0.129358
0.0,16,0.130125
0.0,4,0.13037
0.0,82,0.133974
0.0,38,0.135698
1.0,24,0.136883
0.0,5,0.13717
0.0,43,0.139098
0.0,12,0.139695
0.0,18,0.140547
0.0,26,0.141731
0.0,4,0.141977
0.0,7,0.142344
0.0,6,0.142681
0.0,9,0.14314
0.0,97,0.147381
0.0,3,0.147589
1.0,10,0.148085
0.0,16,0.148844
0.0,33,0.150339
0.0,39,0.152089
0.0,33,0.153579
0.0,6,0.153903
0.0,60,0.156559
0.0,46,0.15861
1.0,61,0.161304
0.0,13,0.161942
0.0,30,0.163302
0.0,8,0.163726
1.0,56,0.16622
0.0,50,0.168454
0.0,4,0.168696
0.0,58,0.17126
0.0,2,0.171418
0.0,43,0.173344
0.0,17,0.174158
0.0,2,0.174314
0.0,33,0.175818
0.0,6,0.176151
0.0,14,0.176831
0.0,20,0.177768
1.0,22,0.178793
1.0,22,0.179815
0.0,15,0.180539
0.0,4,0.180783
0.0,13,0.181406
0.0,5,0.181702
0.0,4,0.181941
0.0,8,0.18235
0.0,18,0.183207
0.0,7,0.18359
1.0,27,0.184824
0.0,3,0.185021
0.0,7,0.185391
0.0,15,0.186112
0.0,5,0.186399
0.0,5,0.18669
0.0,13,0.187315
0.0,11,0.187865
0.0,25,0.189013
0.0,32,0.190466
1.0,20,0.19139
1.0,19,0.192278
0.0,7,0.192658
1.0,11,0.193201
