#{"t_start": 1523136480.7512655, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.007565
0.0,4,0.007909
0.0,15,0.008762
0.0,6,0.009168
0.0,34,0.010924
0.0,11,0.011579
0.0,36,0.01338
0.0,30,0.014799
0.0,16,0.015625
0.0,5,0.015968
0.0,14,0.016689
0.0,22,0.017767
0.0,6,0.018158
0.0,14,0.018904
0.0,12,0.019572
0.0,42,0.021549
0.0,12,0.022207
0.0,23,0.023322
0.0,4,0.023603
0.0,5,0.02391
0.0,14,0.02462
0.0,27,0.025844
0.0,5,0.02617
0.0,12,0.026778
0.0,19,0.027662
0.0,29,0.028963
0.0,6,0.029344
0.0,16,0.030121
0.0,27,0.031353
1.0,26,0.032544
0.0,13,0.033158
0.0,13,0.033776
0.0,27,0.034947
1.0,26,0.036055
0.0,9,0.036522
0.0,16,0.037268
1.0,13,0.037867
0.0,15,0.038567
0.0,2,0.038742
0.0,9,0.039193
0.0,20,0.040059
0.0,3,0.040292
0.0,14,0.040921
0.0,30,0.042181
0.0,10,0.042708
0.0,10,0.043172
0.0,11,0.04368
0.0,7,0.044038
1.0,17,0.044779
1.0,13,0.045363
0.0,5,0.045648
0.0,20,0.046491
1.0,11,0.046978
0.0,7,0.047336
0.0,19,0.04812
0.0,10,0.048585
0.0,12,0.049126
0.0,6,0.049447
0.0,26,0.050509
0.0,12,0.051049
0.0,4,0.051312
0.0,51,0.053277
0.0,2,0.053437
0.0,6,0.05374
0.0,12,0.05424
0.0,21,0.055058
0.0,3,0.055265
0.0,4,0.055503
1.0,27,0.056554
0.0,27,0.057569
0.0,4,0.057794
0.0,11,0.058284
0.0,5,0.058562
0.0,9,0.058982
0.0,22,0.059847
0.0,18,0.060571
0.0,8,0.060934
0.0,61,0.063134
0.0,32,0.064307
0.0,4,0.064536
0.0,5,0.064794
1.0,19,0.065511
1.0,11,0.065967
0.0,37,0.067296
1.0,13,0.067816
0.0,27,0.068798
0.0,16,0.06943
0.0,12,0.06993
0.0,15,0.070524
0.0,17,0.07119
0.0,5,0.071465
0.0,21,0.072257
0.0,39,0.073646
0.0,8,0.073989
0.0,34,0.075157
0.0,37,0.076448
0.0,11,0.076894
0.0,8,0.077254
0.0,7,0.077572
0.0,12,0.078043
0.0,13,0.078545
0.0,14,0.079063
0.0,9,0.079438
0.0,4,0.079644
0.0,16,0.080242
1.0,28,0.08121
0.0,6,0.081496
0.0,2,0.081651
0.0,6,0.081936
0.0,28,0.082923
1.0,22,0.08368
0.0,15,0.084212
0.0,11,0.084627
0.0,9,0.08498
0.0,19,0.085643
0.0,35,0.086787
0.0,13,0.087271
1.0,39,0.088553
1.0,24,0.089371
0.0,2,0.089517
0.0,45,0.090954
0.0,27,0.091857
0.0,66,0.093916
0.0,8,0.094238
0.0,21,0.094931
0.0,15,0.095462
0.0,11,0.095863
0.0,12,0.096308
0.0,17,0.096879
0.0,11,0.097288
0.0,15,0.097798
0.0,5,0.098025
0.0,4,0.098227
0.0,15,0.098746
0.0,12,0.099172
0.0,11,0.099579
0.0,13,0.100039
0.0,25,0.100846
0.0,10,0.101206
0.0,13,0.101663
0.0,45,0.103037
0.0,34,0.104067
0.0,13,0.104516
0.0,5,0.104735
0.0,12,0.105139
0.0,26,0.105936
0.0,16,0.106466
0.0,5,0.106686
1.0,14,0.107143
1.0,22,0.107903
0.0,29,0.108812
0.0,30,0.109732
1.0,30,0.110654
0.0,55,0.112257
0.0,11,0.112643
0.0,12,0.113002
1.0,58,0.11435
0.0,20,0.114848
0.0,5,0.115022
0.0,6,0.115218
0.0,8,0.115465
0.0,14,0.115834
0.0,11,0.116147
0.0,40,0.117103
0.0,24,0.11772
0.0,9,0.117977
0.0,11,0.118284
1.0,26,0.118917
0.0,4,0.119076
0.0,46,0.120158
0.0,13,0.120524
0.0,21,0.121043
1.0,43,0.122051
0.0,14,0.12243
0.0,10,0.122728
0.0,74,0.124425
0.0,18,0.124884
0.0,69,0.126477
1.0,66,0.128021
0.0,44,0.129059
0.0,26,0.129699
0.0,19,0.130179
0.0,4,0.130367
0.0,8,0.130609
0.0,50,0.13176
0.0,12,0.132093
1.0,53,0.133373
0.0,5,0.133552
0.0,21,0.134075
1.0,11,0.134388
1.0,32,0.135149
0.0,11,0.135458
0.0,5,0.135648
0.0,37,0.136601
1.0,42,0.137614
0.0,36,0.138513
0.0,11,0.138829
0.0,2,0.138938
0.0,20,0.139484
0.0,20,0.139986
0.0,9,0.14026
0.0,14,0.140656
0.0,16,0.141064
0.0,6,0.141275
1.0,73,0.143003
0.0,34,0.143849
0.0,12,0.144207
0.0,7,0.144435
0.0,4,0.144589
0.0,28,0.145291
0.0,6,0.145508
0.0,22,0.146055
0.0,29,0.146766
0.0,22,0.147323
0.0,13,0.147683
0.0,23,0.148267
0.0,3,0.14841
0.0,43,0.149428
1.0,9,0.149693
0.0,13,0.150046
0.0,11,0.150367
1.0,17,0.1508
0.0,2,0.150907
1.0,7,0.151129
0.0,6,0.151352
1.0,69,0.152987
0.0,48,0.154121
0.0,38,0.155077
0.0,17,0.155518
0.0,11,0.155818
0.0,14,0.156194
0.0,21,0.156729
0.0,14,0.157102
0.0,26,0.157825
0.0,6,0.158025
0.0,37,0.159046
0.0,13,0.159458
0.0,14,0.159838
0.0,17,0.160298
0.0,28,0.161024
0.0,17,0.161471
0.0,8,0.161706
0.0,9,0.161962
0.0,26,0.162628
0.0,46,0.163762
0.0,14,0.164131
0.0,15,0.164544
0.0,5,0.164716
1.0,28,0.165413
0.0,28,0.166097
0.0,19,0.166607
1.0,10,0.166886
0.0,18,0.167355
0.0,51,0.168558
1.0,45,0.169667
0.0,14,0.170032
1.0,13,0.170385
0.0,30,0.17109
0.0,11,0.171402
1.0,64,0.1729
0.0,21,0.173447
0.0,16,0.173876
0.0,12,0.174217
0.0,66,0.175803
0.0,54,0.177076
0.0,14,0.177459
0.0,18,0.177927
1.0,21,0.178496
0.0,11,0.178805
0.0,2,0.178914
0.0,7,0.179137
0.0,4,0.179317
