#{"t_start": 1523136266.7730806, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,74,0.112459
0.0,15,0.1134
0.0,41,0.115281
0.0,23,0.116359
0.0,41,0.118216
0.0,39,0.120229
0.0,43,0.122428
1.0,41,0.124376
0.0,100,0.128918
0.0,18,0.129816
0.0,21,0.130826
0.0,5,0.131135
0.0,44,0.133323
0.0,6,0.133864
0.0,4,0.134143
0.0,9,0.134633
0.0,2,0.134833
0.0,4,0.135099
0.0,3,0.135335
0.0,2,0.135503
0.0,10,0.136096
0.0,24,0.137377
0.0,23,0.147097
0.0,54,0.152915
0.0,59,0.163928
0.0,41,0.16597
0.0,9,0.166449
0.0,68,0.169557
1.0,44,0.173662
0.0,9,0.175221
0.0,32,0.178794
0.0,27,0.182199
0.0,45,0.186432
0.0,5,0.186793
0.0,19,0.187705
0.0,22,0.190858
0.0,10,0.191422
0.0,2,0.191582
0.0,45,0.195714
0.0,2,0.203131
0.0,9,0.203623
0.0,5,0.203952
0.0,10,0.20447
0.0,21,0.205475
0.0,23,0.20658
0.0,95,0.213225
0.0,19,0.218327
0.0,17,0.219495
0.0,13,0.220298
0.0,44,0.229784
0.0,6,0.230288
0.0,29,0.235965
0.0,11,0.236602
0.0,4,0.236861
0.0,19,0.243222
0.0,15,0.244771
0.0,19,0.245691
0.0,30,0.252108
0.0,18,0.253057
0.0,6,0.253399
0.0,17,0.25881
1.0,43,0.265668
0.0,6,0.266425
0.0,34,0.267991
0.0,2,0.268151
0.0,25,0.272991
0.0,2,0.273185
0.0,10,0.273686
0.0,29,0.276441
0.0,20,0.27739
0.0,21,0.278389
0.0,23,0.279484
0.0,58,0.286881
0.0,3,0.287261
0.0,18,0.288214
1.0,18,0.294423
1.0,22,0.29564
0.0,4,0.295992
1.0,41,0.298013
1.0,8,0.298533
1.0,35,0.305514
0.0,19,0.306587
0.0,4,0.306954
1.0,8,0.307425
0.0,25,0.313119
0.0,78,0.317593
0.0,14,0.319196
0.0,16,0.319978
0.0,11,0.320524
0.0,11,0.321093
0.0,13,0.321725
0.0,12,0.322322
0.0,2,0.322479
0.0,3,0.32268
0.0,5,0.322982
0.0,3,0.32319
0.0,25,0.32438
0.0,5,0.324673
0.0,26,0.325915
0.0,3,0.326123
0.0,7,0.326502
0.0,15,0.327258
0.0,11,0.327826
0.0,76,0.331283
0.0,6,0.331622
0.0,12,0.332218
0.0,32,0.333678
0.0,22,0.334742
0.0,8,0.335184
0.0,2,0.335344
0.0,15,0.336087
0.0,3,0.336292
0.0,47,0.338454
0.0,2,0.338617
0.0,11,0.339191
0.0,23,0.34029
0.0,8,0.340713
0.0,17,0.341527
0.0,50,0.343777
0.0,24,0.3449
0.0,8,0.345315
0.0,4,0.345558
0.0,10,0.346068
0.0,14,0.346739
0.0,18,0.347597
0.0,44,0.349583
0.0,4,0.349838
1.0,57,0.356602
0.0,11,0.358191
0.0,11,0.359859
0.0,19,0.361698
0.0,7,0.362087
1.0,17,0.363996
1.0,21,0.365907
0.0,9,0.366366
0.0,18,0.368595
1.0,14,0.370644
0.0,12,0.372456
0.0,15,0.374235
0.0,13,0.375827
0.0,8,0.376284
1.0,11,0.37815
0.0,8,0.37874
0.0,16,0.38217
1.0,30,0.385776
1.0,10,0.386315
1.0,20,0.388362
0.0,89,0.397811
0.0,35,0.400643
1.0,30,0.404083
0.0,82,0.410766
0.0,2,0.410944
0.0,3,0.411146
1.0,23,0.414318
0.0,67,0.419318
0.0,32,0.423245
0.0,10,0.42518
0.0,17,0.426631
0.0,22,0.427683
0.0,2,0.429253
0.0,10,0.430383
0.0,17,0.431208
0.0,4,0.431449
1.0,40,0.435284
0.0,19,0.437576
1.0,53,0.442614
1.0,60,0.44681
0.0,11,0.447372
0.0,33,0.448927
0.0,6,0.449269
0.0,44,0.45128
0.0,5,0.451569
0.0,36,0.453292
0.0,2,0.453534
1.0,35,0.455391
0.0,6,0.455909
0.0,8,0.456387
0.0,7,0.456825
0.0,5,0.457148
1.0,39,0.459119
0.0,2,0.459407
0.0,33,0.46109
0.0,12,0.461787
1.0,20,0.462745
0.0,7,0.463136
1.0,30,0.464546
0.0,12,0.465163
1.0,24,0.466302
0.0,11,0.466872
0.0,6,0.467211
1.0,18,0.468093
0.0,11,0.468656
1.0,46,0.470795
0.0,43,0.47297
0.0,23,0.474377
0.0,6,0.474884
1.0,25,0.476164
1.0,14,0.476978
0.0,5,0.477304
0.0,39,0.479125
0.0,11,0.479678
1.0,28,0.480985
1.0,10,0.481507
1.0,12,0.482115
1.0,23,0.483213
0.0,4,0.483462
0.0,18,0.484356
1.0,15,0.485106
0.0,8,0.485533
1.0,42,0.487468
0.0,7,0.487862
0.0,12,0.488465
0.0,18,0.489344
0.0,52,0.491705
0.0,5,0.492005
0.0,7,0.492377
0.0,8,0.4928
0.0,22,0.493827
1.0,14,0.494494
0.0,13,0.495133
1.0,47,0.497238
1.0,39,0.498998
0.0,4,0.499243
0.0,6,0.499568
1.0,45,0.501601
0.0,13,0.502252
0.0,34,0.503854
0.0,5,0.504148
0.0,12,0.504754
0.0,5,0.505053
1.0,25,0.506229
0.0,9,0.506699
0.0,31,0.508155
0.0,14,0.508856
0.0,16,0.509635
0.0,12,0.510248
0.0,8,0.510672
1.0,9,0.511142
1.0,21,0.512116
0.0,20,0.513061
0.0,37,0.514741
0.0,28,0.51603
0.0,58,0.518607
1.0,20,0.519585
0.0,7,0.520146
1.0,9,0.520608
1.0,25,0.521803
1.0,13,0.522451
1.0,10,0.522976
0.0,14,0.523667
0.0,31,0.525131
1.0,16,0.525931
1.0,33,0.527472
0.0,25,0.528651
0.0,10,0.529183
1.0,55,0.531674
1.0,21,0.532653
1.0,9,0.533128
0.0,16,0.533942
1.0,64,0.537148
0.0,12,0.537968
0.0,4,0.538297
0.0,5,0.538607
0.0,14,0.539371
0.0,20,0.540454
1.0,14,0.541243
1.0,34,0.54286
0.0,2,0.543024
0.0,5,0.543316
0.0,15,0.54408
1.0,25,0.545269
0.0,12,0.545886
0.0,53,0.548321
0.0,5,0.548615
0.0,40,0.550473
0.0,27,0.551854
0.0,5,0.552272
0.0,30,0.553847
0.0,75,0.557709
0.0,23,0.559027
0.0,18,0.559917
0.0,11,0.560465
0.0,10,0.560987
0.0,4,0.561239
0.0,14,0.561939
0.0,4,0.562188
0.0,5,0.562484
0.0,38,0.564267
0.0,21,0.565282
0.0,16,0.566074
0.0,77,0.569589
1.0,15,0.570335
0.0,35,0.571948
0.0,2,0.572107
0.0,3,0.572307
0.0,23,0.573375
0.0,26,0.574579
0.0,14,0.575268
0.0,7,0.575641
0.0,5,0.57594
1.0,34,0.577481
0.0,9,0.577954
0.0,7,0.578325
0.0,27,0.579565
1.0,68,0.582647
1.0,15,0.583408
0.0,2,0.583568
0.0,3,0.583791
0.0,8,0.584219
0.0,3,0.584423
0.0,9,0.584901
0.0,2,0.585058
0.0,2,0.585212
0.0,9,0.58567
0.0,4,0.585929
0.0,12,0.586518
1.0,16,0.587286
0.0,43,0.589241
