#{"t_start": 1523136042.5279906, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,21,0.040665
0.0,100,0.046047
0.0,4,0.046493
0.0,28,0.047952
0.0,3,0.048286
0.0,10,0.055857
0.0,35,0.05816
0.0,2,0.0585
0.0,17,0.059428
0.0,13,0.060208
0.0,10,0.06079
0.0,47,0.063188
0.0,3,0.063603
0.0,8,0.064104
0.0,3,0.064349
1.0,32,0.07635
0.0,39,0.078583
1.0,58,0.081722
0.0,30,0.083489
0.0,72,0.097509
1.0,33,0.099468
1.0,20,0.100691
0.0,4,0.101093
0.0,12,0.10177
0.0,14,0.102585
0.0,20,0.103716
0.0,5,0.10415
0.0,38,0.116325
1.0,24,0.11758
1.0,28,0.118916
0.0,16,0.119715
0.0,43,0.121731
1.0,10,0.122285
1.0,43,0.124322
0.0,3,0.124553
0.0,24,0.125721
1.0,48,0.138366
1.0,30,0.139997
1.0,34,0.148671
0.0,4,0.149043
0.0,2,0.149203
0.0,73,0.152461
0.0,3,0.152674
1.0,14,0.153369
1.0,41,0.155221
1.0,26,0.16663
0.0,9,0.167217
0.0,54,0.169653
0.0,44,0.171643
0.0,32,0.173114
0.0,4,0.173359
0.0,11,0.173915
0.0,20,0.174862
0.0,12,0.175452
0.0,6,0.175783
0.0,8,0.184436
0.0,3,0.184726
0.0,19,0.185644
1.0,23,0.186718
0.0,12,0.187327
1.0,13,0.18797
0.0,8,0.188385
0.0,19,0.196466
1.0,96,0.200858
0.0,24,0.20199
1.0,23,0.203057
0.0,21,0.20404
1.0,13,0.204677
0.0,16,0.205443
0.0,9,0.216102
0.0,24,0.217338
0.0,11,0.2179
0.0,9,0.218361
0.0,2,0.218525
0.0,12,0.219137
0.0,19,0.220043
0.0,3,0.220246
0.0,7,0.220617
0.0,16,0.221391
1.0,22,0.22242
0.0,8,0.222849
1.0,34,0.224391
0.0,10,0.224902
1.0,16,0.225661
0.0,3,0.229977
0.0,30,0.231499
0.0,2,0.231662
0.0,8,0.232091
1.0,10,0.232594
0.0,64,0.235451
0.0,19,0.236356
0.0,6,0.236686
0.0,10,0.249491
0.0,6,0.250199
0.0,4,0.250467
0.0,3,0.250683
1.0,42,0.252676
0.0,3,0.252945
0.0,19,0.253846
0.0,10,0.254353
0.0,10,0.254865
0.0,13,0.255496
0.0,5,0.255779
1.0,45,0.2578
0.0,70,0.268031
1.0,25,0.276376
0.0,12,0.277046
1.0,22,0.278082
0.0,42,0.279987
1.0,16,0.280756
1.0,29,0.282091
