#{"t_start": 1523135608.2637014, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,13,0.034082
0.0,21,0.035322
0.0,19,0.03622
0.0,7,0.036602
0.0,21,0.037573
0.0,10,0.038083
0.0,16,0.038846
1.0,33,0.040338
0.0,42,0.042231
0.0,3,0.042435
0.0,33,0.043933
0.0,4,0.044177
0.0,19,0.045079
0.0,4,0.045323
0.0,8,0.045745
0.0,18,0.046604
0.0,3,0.046805
0.0,6,0.047135
0.0,16,0.047908
0.0,37,0.049572
0.0,6,0.049911
0.0,9,0.050364
0.0,5,0.050659
0.0,11,0.051197
0.0,6,0.051523
0.0,3,0.051734
0.0,15,0.052454
0.0,18,0.053308
0.0,11,0.053863
0.0,3,0.054063
0.0,19,0.054964
0.0,5,0.055257
0.0,17,0.056069
0.0,7,0.056443
0.0,11,0.057003
0.0,5,0.057288
0.0,25,0.058442
0.0,9,0.05891
0.0,21,0.05989
0.0,10,0.060391
0.0,16,0.061153
0.0,15,0.061877
0.0,11,0.062422
0.0,7,0.062805
0.0,27,0.064042
0.0,9,0.064498
0.0,5,0.064804
0.0,12,0.065387
0.0,3,0.065595
0.0,11,0.06614
0.0,3,0.066342
1.0,14,0.067024
0.0,20,0.067963
0.0,4,0.06821
0.0,34,0.069759
0.0,25,0.070915
0.0,11,0.071466
1.0,23,0.072536
0.0,8,0.072962
0.0,8,0.073382
0.0,4,0.073635
0.0,20,0.074568
0.0,29,0.075912
0.0,6,0.076244
0.0,3,0.076447
0.0,38,0.078153
1.0,20,0.079094
0.0,10,0.079604
0.0,10,0.080102
0.0,12,0.080698
0.0,34,0.082225
0.0,30,0.083601
0.0,6,0.083931
0.0,5,0.084225
0.0,2,0.084381
0.0,35,0.08596
0.0,10,0.086462
0.0,16,0.087229
0.0,6,0.087557
0.0,21,0.08854
0.0,32,0.089987
0.0,10,0.090492
0.0,22,0.09151
0.0,7,0.091896
0.0,9,0.092351
0.0,9,0.092824
0.0,9,0.093287
0.0,6,0.093624
0.0,13,0.094255
0.0,25,0.095406
0.0,12,0.096002
0.0,13,0.096644
0.0,9,0.097106
0.0,8,0.097518
0.0,14,0.098201
0.0,10,0.098715
