#{"t_start": 1523136050.0016851, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.034993
0.0,6,0.035512
0.0,8,0.036092
0.0,40,0.037898
0.0,12,0.038486
0.0,28,0.03977
0.0,7,0.040145
0.0,13,0.040779
0.0,33,0.042272
0.0,9,0.042741
0.0,21,0.043715
0.0,8,0.044138
0.0,6,0.044466
0.0,9,0.044936
0.0,7,0.045304
0.0,9,0.045778
0.0,7,0.046146
0.0,11,0.046682
0.0,2,0.046844
0.0,4,0.047085
0.0,6,0.047414
0.0,12,0.048009
0.0,12,0.048595
0.0,4,0.048849
0.0,5,0.049133
0.0,4,0.049374
0.0,21,0.050351
0.0,48,0.052492
0.0,9,0.052962
0.0,19,0.053856
1.0,22,0.054877
0.0,12,0.055464
0.0,2,0.055618
0.0,21,0.056601
0.0,2,0.056768
0.0,13,0.057393
0.0,6,0.057722
0.0,20,0.058655
0.0,10,0.059163
0.0,17,0.059983
0.0,14,0.060655
0.0,4,0.060905
0.0,9,0.061358
0.0,46,0.063414
0.0,13,0.064058
0.0,20,0.064998
0.0,19,0.065907
0.0,4,0.066153
0.0,5,0.066439
0.0,10,0.066945
0.0,2,0.067104
0.0,6,0.067435
0.0,16,0.068202
1.0,10,0.068698
0.0,11,0.069242
0.0,9,0.069701
0.0,5,0.069994
0.0,23,0.071054
0.0,7,0.071426
0.0,14,0.072108
0.0,16,0.072881
0.0,15,0.073585
0.0,11,0.074131
0.0,5,0.074416
0.0,9,0.074883
0.0,9,0.07534
0.0,40,0.077137
0.0,6,0.077469
0.0,7,0.077852
0.0,23,0.078917
0.0,6,0.079247
0.0,13,0.079886
0.0,3,0.080089
0.0,3,0.080292
0.0,5,0.080576
0.0,24,0.081679
0.0,4,0.081935
0.0,6,0.082264
1.0,12,0.08286
0.0,4,0.083104
0.0,11,0.083639
0.0,2,0.083803
0.0,13,0.084422
0.0,19,0.085319
0.0,4,0.08556
0.0,4,0.085822
0.0,16,0.086573
0.0,24,0.087677
0.0,2,0.087843
0.0,6,0.088171
0.0,5,0.088454
0.0,10,0.08896
0.0,14,0.089631
0.0,3,0.089844
0.0,6,0.090173
0.0,4,0.090412
0.0,2,0.090568
0.0,9,0.091034
0.0,21,0.092015
0.0,12,0.092593
0.0,13,0.093228
0.0,25,0.094383
0.0,36,0.096022
0.0,16,0.096785
0.0,20,0.097708
0.0,8,0.09813
0.0,11,0.09867
0.0,9,0.099138
0.0,22,0.100157
0.0,28,0.101424
0.0,9,0.101898
0.0,14,0.102571
0.0,3,0.102782
0.0,16,0.10354
0.0,6,0.103881
0.0,9,0.104338
0.0,8,0.10476
0.0,2,0.104915
0.0,10,0.105411
0.0,4,0.105654
0.0,4,0.105916
0.0,10,0.106418
0.0,20,0.107354
0.0,2,0.107513
0.0,9,0.107982
0.0,6,0.108312
0.0,4,0.108551
0.0,4,0.108804
0.0,12,0.109388
0.0,7,0.109766
0.0,4,0.110009
0.0,28,0.111283
0.0,12,0.111881
0.0,6,0.112211
0.0,3,0.112411
0.0,8,0.112831
0.0,8,0.113247
0.0,4,0.113493
0.0,9,0.11396
0.0,2,0.114115
0.0,17,0.114919
0.0,18,0.115775
0.0,4,0.116016
0.0,8,0.116428
0.0,10,0.11694
0.0,8,0.117349
0.0,7,0.117714
0.0,8,0.118135
0.0,5,0.118421
0.0,3,0.118618
0.0,18,0.119468
0.0,10,0.119979
0.0,4,0.120219
0.0,4,0.120459
0.0,13,0.121094
0.0,16,0.121862
0.0,4,0.122103
0.0,8,0.12251
0.0,9,0.122972
0.0,2,0.123131
0.0,9,0.123586
0.0,10,0.12409
0.0,15,0.124824
0.0,15,0.12554
1.0,7,0.125927
0.0,2,0.126082
0.0,2,0.126238
0.0,14,0.126911
0.0,4,0.127155
0.0,26,0.128354
0.0,4,0.128599
0.0,6,0.128935
0.0,4,0.129175
0.0,19,0.130067
0.0,4,0.130311
0.0,21,0.131279
0.0,3,0.131478
0.0,14,0.132161
0.0,3,0.13236
0.0,12,0.132948
1.0,22,0.133978
0.0,11,0.134514
0.0,8,0.134999
0.0,4,0.135239
0.0,17,0.136043
0.0,12,0.136623
0.0,25,0.137777
0.0,3,0.137979
0.0,9,0.138436
0.0,22,0.139461
0.0,5,0.139754
0.0,28,0.141031
0.0,2,0.141186
0.0,10,0.141683
0.0,10,0.142191
1.0,40,0.143981
0.0,3,0.144177
0.0,2,0.144333
0.0,2,0.144485
0.0,7,0.144861
0.0,4,0.1451
0.0,8,0.14551
0.0,20,0.146449
0.0,7,0.146837
0.0,7,0.147205
0.0,7,0.147574
1.0,18,0.148417
0.0,14,0.149095
0.0,13,0.149724
0.0,7,0.150099
0.0,8,0.150511
1.0,19,0.1514
0.0,26,0.152588
0.0,11,0.15314
0.0,20,0.154072
0.0,11,0.154607
0.0,8,0.155025
0.0,34,0.156546
0.0,10,0.157057
0.0,7,0.157428
0.0,16,0.158195
0.0,6,0.158527
1.0,8,0.158952
0.0,4,0.15919
0.0,12,0.159777
1.0,28,0.161049
0.0,20,0.16199
0.0,2,0.162146
0.0,2,0.162298
0.0,24,0.1634
0.0,11,0.163954
0.0,2,0.164113
0.0,2,0.164265
0.0,4,0.164507
0.0,17,0.165316
0.0,3,0.165514
0.0,22,0.166538
0.0,14,0.167216
0.0,5,0.167506
0.0,8,0.167939
0.0,12,0.168524
0.0,9,0.168986
0.0,19,0.169878
0.0,23,0.170936
0.0,8,0.171352
0.0,13,0.171997
0.0,4,0.172243
0.0,6,0.172588
0.0,5,0.172885
0.0,5,0.17317
0.0,4,0.173409
0.0,6,0.173742
0.0,5,0.174026
0.0,16,0.174792
0.0,7,0.175165
0.0,2,0.17532
0.0,25,0.17647
0.0,8,0.176896
0.0,8,0.177316
0.0,8,0.177728
0.0,14,0.178408
0.0,15,0.179135
1.0,15,0.179854
0.0,11,0.18039
0.0,8,0.180813
0.0,4,0.181058
0.0,19,0.181951
0.0,20,0.182885
0.0,13,0.183517
0.0,21,0.184492
0.0,10,0.185008
0.0,18,0.185869
0.0,11,0.186405
1.0,33,0.187912
0.0,12,0.188496
0.0,10,0.189003
0.0,19,0.189893
0.0,30,0.191262
0.0,10,0.191778
0.0,10,0.192281
0.0,21,0.193262
0.0,9,0.193719
0.0,34,0.195265
0.0,14,0.195956
0.0,3,0.196159
0.0,8,0.196577
0.0,6,0.196916
0.0,4,0.197157
0.0,5,0.197438
0.0,22,0.198455
0.0,13,0.199091
0.0,9,0.199548
0.0,3,0.199762
0.0,6,0.200093
0.0,9,0.200544
0.0,4,0.200801
0.0,6,0.201132
0.0,5,0.201417
0.0,2,0.201575
0.0,7,0.201954
0.0,9,0.202411
0.0,45,0.204426
0.0,6,0.204769
0.0,9,0.205225
0.0,17,0.206045
0.0,7,0.206414
0.0,4,0.206657
0.0,10,0.20717
0.0,8,0.207582
0.0,2,0.207744
0.0,3,0.207949
0.0,12,0.20853
0.0,8,0.208957
0.0,10,0.209454
0.0,9,0.209919
0.0,10,0.21042
0.0,11,0.211009
0.0,9,0.21147
0.0,70,0.214561
1.0,27,0.215819
0.0,4,0.216064
1.0,31,0.217479
0.0,31,0.218885
1.0,32,0.220327
0.0,25,0.221471
