#{"t_start": 1522231382.0825663, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,25,0.020692
0.0,5,0.021148
0.0,57,0.023998
0.0,3,0.024201
0.0,100,0.028578
0.0,3,0.028781
0.0,12,0.029374
0.0,10,0.029884
0.0,4,0.030126
0.0,3,0.030326
0.0,4,0.030568
0.0,17,0.031379
0.0,27,0.032625
0.0,6,0.032968
0.0,24,0.034085
0.0,3,0.034287
0.0,14,0.034967
0.0,2,0.035127
0.0,2,0.035282
0.0,3,0.035482
0.0,8,0.035908
0.0,15,0.036627
0.0,55,0.039082
1.0,23,0.040151
1.0,39,0.041919
1.0,26,0.043118
0.0,37,0.044775
1.0,47,0.046875
0.0,36,0.048496
1.0,15,0.049234
0.0,24,0.050335
0.0,7,0.050708
0.0,14,0.051389
1.0,77,0.054778
0.0,47,0.05689
1.0,34,0.058419
0.0,63,0.06121
1.0,20,0.062156
1.0,21,0.063133
1.0,36,0.064758
0.0,7,0.065142
1.0,12,0.065722
1.0,42,0.067597
0.0,3,0.067796
0.0,2,0.067962
0.0,21,0.068945
0.0,11,0.069483
1.0,22,0.070503
1.0,15,0.071227
0.0,8,0.07164
0.0,11,0.072196
0.0,34,0.073735
0.0,18,0.074592
1.0,17,0.075395
0.0,5,0.075681
0.0,16,0.076447
0.0,15,0.077168
1.0,40,0.07896
0.0,36,0.080571
0.0,12,0.081172
0.0,28,0.082457
1.0,15,0.083184
0.0,22,0.084203
0.0,6,0.084527
0.0,18,0.085371
0.0,13,0.086012
1.0,21,0.086985
0.0,3,0.087182
0.0,47,0.08928
1.0,37,0.090956
0.0,38,0.092667
0.0,6,0.093006
0.0,8,0.093421
0.0,25,0.09457
0.0,5,0.094857
0.0,6,0.095198
0.0,17,0.096011
0.0,4,0.096255
0.0,6,0.096582
1.0,17,0.097391
0.0,3,0.097588
0.0,12,0.098183
1.0,11,0.098726
0.0,84,0.102423
1.0,37,0.104098
0.0,54,0.106488
1.0,24,0.107586
0.0,5,0.107879
0.0,16,0.108638
0.0,21,0.109615
0.0,4,0.109856
1.0,50,0.112088
0.0,17,0.112896
0.0,9,0.113353
1.0,46,0.115388
0.0,41,0.117232
0.0,26,0.118426
0.0,20,0.119365
0.0,8,0.119844
1.0,24,0.120968
0.0,8,0.12138
0.0,10,0.121892
0.0,26,0.123075
1.0,41,0.124902
0.0,18,0.125739
0.0,15,0.126456
0.0,22,0.127475
1.0,20,0.128414
0.0,20,0.129351
0.0,8,0.129765
0.0,3,0.129975
0.0,10,0.130474
0.0,42,0.132353
0.0,8,0.132767
1.0,30,0.134134
0.0,6,0.134459
0.0,2,0.134613
0.0,21,0.135595
0.0,4,0.135839
0.0,11,0.13639
0.0,12,0.136986
1.0,13,0.137612
0.0,4,0.137851
0.0,5,0.138144
0.0,25,0.139292
0.0,20,0.140226
1.0,27,0.141455
1.0,24,0.142573
0.0,2,0.14273
0.0,5,0.143028
0.0,20,0.143967
1.0,16,0.144718
0.0,11,0.14527
0.0,41,0.147099
0.0,75,0.150359
0.0,14,0.151035
0.0,4,0.151279
0.0,6,0.151606
0.0,6,0.15195
0.0,7,0.15232
0.0,21,0.153292
0.0,10,0.153791
0.0,10,0.154301
0.0,27,0.155536
1.0,7,0.155915
0.0,17,0.156708
0.0,7,0.157094
1.0,14,0.157763
0.0,34,0.15931
0.0,12,0.159906
0.0,22,0.160922
0.0,3,0.161126
0.0,10,0.161623
0.0,21,0.162608
0.0,7,0.162992
1.0,15,0.163701
0.0,17,0.164513
0.0,58,0.167078
0.0,16,0.167827
0.0,17,0.168629
0.0,18,0.169479
1.0,47,0.171556
0.0,2,0.171713
0.0,12,0.172312
1.0,9,0.172771
0.0,8,0.173195
0.0,16,0.173969
0.0,9,0.174427
0.0,3,0.174628
1.0,52,0.176944
0.0,20,0.177874
0.0,2,0.17803
0.0,12,0.178611
0.0,13,0.179251
1.0,22,0.180274
0.0,2,0.180429
0.0,5,0.180717
1.0,15,0.181441
0.0,27,0.182682
0.0,17,0.183485
0.0,37,0.185151
1.0,22,0.186161
1.0,42,0.18804
0.0,10,0.188539
0.0,5,0.188822
1.0,73,0.192038
0.0,4,0.192284
0.0,15,0.193005
0.0,2,0.193161
0.0,6,0.193487
0.0,48,0.195616
0.0,9,0.196087
0.0,18,0.196941
0.0,58,0.19949
0.0,4,0.199732
0.0,2,0.199897
0.0,9,0.200359
1.0,9,0.200814
0.0,2,0.200979
0.0,36,0.2026
1.0,15,0.20332
0.0,17,0.204128
0.0,16,0.20489
0.0,32,0.206336
0.0,3,0.206538
0.0,5,0.20682
0.0,56,0.209299
0.0,10,0.209796
0.0,4,0.210047
0.0,20,0.210976
0.0,21,0.211958
0.0,3,0.212161
0.0,33,0.213643
1.0,41,0.215473
0.0,31,0.216888
0.0,2,0.217044
0.0,12,0.21763
0.0,32,0.219089
0.0,5,0.219374
0.0,7,0.219801
0.0,13,0.220437
1.0,61,0.223129
0.0,39,0.224866
0.0,9,0.225321
1.0,7,0.225688
0.0,10,0.226193
1.0,35,0.227756
0.0,5,0.228052
0.0,42,0.229916
0.0,32,0.23136
0.0,3,0.231557
0.0,5,0.231836
0.0,31,0.233252
0.0,31,0.234653
0.0,4,0.234905
0.0,39,0.236633
0.0,19,0.23752
1.0,16,0.238277
0.0,3,0.238475
0.0,38,0.24019
0.0,10,0.240685
0.0,3,0.240891
0.0,3,0.241089
0.0,2,0.241245
1.0,19,0.242153
1.0,15,0.242872
0.0,15,0.243576
0.0,11,0.244127
0.0,5,0.244411
1.0,16,0.245167
0.0,9,0.245619
1.0,21,0.246589
1.0,28,0.247853
0.0,8,0.24828
1.0,21,0.24925
0.0,7,0.249624
1.0,18,0.250469
0.0,7,0.250841
1.0,17,0.251641
0.0,14,0.252331
0.0,33,0.253808
1.0,22,0.254818
0.0,26,0.256009
0.0,5,0.256293
0.0,13,0.256923
0.0,10,0.25742
1.0,11,0.257973
0.0,16,0.25873
1.0,40,0.260515
0.0,8,0.260936
0.0,6,0.261266
1.0,43,0.263193
1.0,35,0.264758
1.0,17,0.265569
0.0,27,0.266793
0.0,6,0.267135
0.0,11,0.267676
0.0,6,0.268014
1.0,30,0.269376
0.0,19,0.270268
0.0,27,0.271503
0.0,37,0.273176
1.0,23,0.274237
0.0,7,0.274611
0.0,21,0.275592
0.0,19,0.276471
1.0,29,0.277782
1.0,11,0.27833
1.0,35,0.279903
1.0,38,0.281603
1.0,36,0.283237
0.0,5,0.283522
0.0,5,0.283807
0.0,3,0.284018
0.0,2,0.284173
0.0,2,0.284327
0.0,2,0.284479
