#{"t_start": 1523126930.4166873, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,74,0.013939
0.0,10,0.014646
0.0,47,0.016886
0.0,100,0.021515
0.0,12,0.022132
1.0,28,0.023477
1.0,39,0.025696
0.0,11,0.026473
1.0,11,0.027246
0.0,12,0.028055
0.0,46,0.03095
0.0,7,0.031507
1.0,21,0.032864
0.0,6,0.033347
0.0,3,0.03363
0.0,3,0.033902
0.0,10,0.034622
0.0,2,0.034838
0.0,5,0.035259
0.0,2,0.035473
1.0,15,0.036491
1.0,19,0.037727
0.0,19,0.03896
0.0,4,0.03932
1.0,26,0.040967
0.0,8,0.04157
0.0,9,0.042217
1.0,37,0.044498
1.0,12,0.045325
0.0,7,0.045831
0.0,9,0.046487
0.0,30,0.048359
0.0,44,0.051092
0.0,26,0.052774
1.0,22,0.054203
0.0,36,0.056455
0.0,11,0.057228
0.0,5,0.057624
0.0,8,0.05821
0.0,4,0.058553
0.0,3,0.058824
0.0,13,0.059688
0.0,20,0.060969
1.0,30,0.062856
0.0,10,0.063563
1.0,22,0.064962
0.0,14,0.06594
1.0,21,0.067387
1.0,15,0.06878
1.0,37,0.072049
1.0,27,0.074485
0.0,13,0.075703
0.0,7,0.076394
0.0,2,0.076611
1.0,40,0.079101
1.0,21,0.080492
0.0,35,0.082702
0.0,5,0.083102
0.0,25,0.084717
0.0,9,0.085392
0.0,25,0.086972
0.0,23,0.088474
0.0,34,0.090615
1.0,17,0.091732
0.0,53,0.094988
0.0,11,0.095756
1.0,13,0.096647
0.0,41,0.098931
0.0,5,0.099262
0.0,3,0.099478
0.0,3,0.099703
0.0,7,0.100093
0.0,4,0.100364
0.0,5,0.100674
1.0,16,0.101508
0.0,3,0.101724
1.0,29,0.10313
0.0,9,0.103624
0.0,30,0.10508
0.0,43,0.10713
0.0,35,0.108844
1.0,74,0.112429
0.0,6,0.112786
0.0,52,0.115278
0.0,23,0.116446
0.0,2,0.116623
0.0,2,0.116792
0.0,6,0.117136
0.0,33,0.118753
0.0,6,0.119107
0.0,3,0.119361
1.0,66,0.122431
0.0,31,0.123937
0.0,8,0.124397
0.0,6,0.124749
0.0,4,0.125006
0.0,11,0.125627
1.0,12,0.126275
0.0,9,0.126781
0.0,4,0.127039
0.0,37,0.130208
0.0,42,0.13388
0.0,25,0.13614
0.0,11,0.137181
0.0,11,0.138273
