#{"t_start": 1523122164.010977, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.00141
0.0,1,0.001504
0.0,1,0.001598
0.0,12,0.001931
0.0,8,0.002186
0.0,20,0.002726
0.0,11,0.003045
0.0,6,0.003245
0.0,3,0.003371
0.0,6,0.003582
0.0,7,0.003814
0.0,7,0.004037
0.0,20,0.004549
0.0,2,0.00466
0.0,3,0.004787
0.0,17,0.005222
0.0,9,0.005491
0.0,7,0.005723
0.0,1,0.005808
0.0,9,0.006074
0.0,12,0.006408
0.0,5,0.006589
0.0,6,0.006782
0.0,10,0.007072
0.0,11,0.007379
0.0,5,0.007567
0.0,10,0.007857
0.0,9,0.008114
0.0,15,0.008502
0.0,5,0.008682
0.0,7,0.008897
0.0,1,0.008974
0.0,15,0.009374
0.0,1,0.009453
0.0,16,0.009891
0.0,7,0.010107
0.0,8,0.010353
0.0,23,0.010932
0.0,4,0.011083
0.0,6,0.011275
0.0,17,0.011765
0.0,38,0.012688
0.0,17,0.013138
0.0,12,0.013473
0.0,20,0.013989
0.0,8,0.014228
0.0,11,0.014545
0.0,4,0.014698
0.0,7,0.014919
0.0,2,0.015026
0.0,3,0.015152
0.0,6,0.015345
0.0,7,0.015576
0.0,3,0.015704
0.0,10,0.01599
0.0,5,0.016162
0.0,4,0.01631
0.0,13,0.016667
0.0,5,0.016838
0.0,5,0.017018
0.0,6,0.017217
0.0,1,0.017295
0.0,16,0.017733
0.0,8,0.017982
0.0,2,0.018091
0.0,30,0.018827
0.0,10,0.019115
0.0,6,0.019315
0.0,16,0.019738
0.0,25,0.02036
0.0,23,0.020945
0.0,6,0.021145
0.0,8,0.021381
0.0,33,0.022192
0.0,3,0.022321
0.0,6,0.022512
0.0,20,0.023036
0.0,3,0.023167
0.0,9,0.023433
0.0,1,0.023516
0.0,5,0.023703
0.0,8,0.023951
0.0,21,0.024473
0.0,17,0.024927
0.0,32,0.025728
0.0,1,0.025808
0.0,18,0.026273
0.0,11,0.026587
0.0,4,0.026736
0.0,12,0.027071
0.0,19,0.027575
0.0,4,0.027732
0.0,2,0.027835
0.0,22,0.028387
0.0,10,0.028684
0.0,11,0.028993
0.0,5,0.029171
0.0,1,0.029248
0.0,3,0.029374
0.0,5,0.029558
0.0,10,0.029839
0.0,10,0.030119
0.0,9,0.030383
0.0,20,0.030894
0.0,11,0.031208
0.0,8,0.031449
0.0,41,0.032429
0.0,8,0.032687
0.0,12,0.033022
0.0,17,0.033463
0.0,7,0.033687
0.0,10,0.033974
0.0,13,0.034328
0.0,5,0.034504
0.0,4,0.03466
0.0,15,0.035061
0.0,14,0.035435
0.0,2,0.035547
0.0,17,0.035982
0.0,10,0.036261
0.0,31,0.037019
0.0,2,0.037129
0.0,35,0.037995
0.0,2,0.038101
0.0,18,0.038589
0.0,9,0.038855
0.0,11,0.039163
0.0,5,0.039346
0.0,2,0.039449
0.0,4,0.039614
0.0,1,0.039693
0.0,10,0.039974
0.0,28,0.04067
0.0,5,0.040843
0.0,14,0.041215
0.0,18,0.041696
0.0,5,0.04187
1.0,13,0.042226
0.0,12,0.042568
0.0,23,0.043152
0.0,15,0.043569
0.0,18,0.044032
0.0,13,0.04438
0.0,6,0.044591
0.0,19,0.04508
0.0,5,0.045252
0.0,39,0.046193
0.0,11,0.046502
0.0,19,0.046995
1.0,7,0.047218
0.0,34,0.048074
0.0,5,0.048251
0.0,26,0.048912
0.0,1,0.048998
0.0,4,0.049149
0.0,4,0.049297
0.0,10,0.049599
0.0,8,0.04984
0.0,6,0.050035
0.0,9,0.0503
0.0,2,0.050404
0.0,1,0.050481
0.0,2,0.050598
0.0,19,0.051088
0.0,3,0.051221
0.0,5,0.051397
0.0,10,0.051689
0.0,28,0.052372
0.0,1,0.052454
0.0,26,0.053111
1.0,9,0.053377
0.0,2,0.053479
0.0,7,0.053712
0.0,1,0.053795
0.0,8,0.05405
0.0,1,0.054133
0.0,11,0.054442
0.0,9,0.054714
0.0,3,0.054846
0.0,3,0.054974
0.0,20,0.055472
0.0,1,0.055562
0.0,2,0.055673
0.0,4,0.055823
0.0,12,0.056155
0.0,8,0.056391
0.0,4,0.056547
0.0,2,0.056659
0.0,12,0.056988
0.0,6,0.057182
0.0,11,0.057494
0.0,2,0.057608
0.0,5,0.05778
0.0,6,0.057973
0.0,4,0.058126
0.0,4,0.058273
0.0,2,0.058375
0.0,18,0.058856
0.0,1,0.058936
0.0,6,0.059129
0.0,14,0.059503
0.0,6,0.059705
0.0,9,0.059965
0.0,2,0.060072
0.0,4,0.060222
0.0,6,0.060421
0.0,6,0.060625
0.0,4,0.060774
0.0,3,0.060898
0.0,12,0.061238
0.0,4,0.061388
0.0,5,0.061573
0.0,3,0.061701
0.0,21,0.062232
0.0,2,0.062334
0.0,4,0.062482
0.0,11,0.062807
0.0,15,0.0632
0.0,9,0.063465
0.0,1,0.063557
0.0,7,0.063777
0.0,5,0.063952
0.0,5,0.064129
0.0,7,0.064343
0.0,1,0.06442
0.0,1,0.064497
0.0,11,0.064822
0.0,3,0.064955
0.0,9,0.065218
0.0,11,0.065519
0.0,1,0.065612
0.0,1,0.065695
0.0,5,0.065872
0.0,17,0.066304
0.0,5,0.066484
0.0,11,0.066801
0.0,8,0.067045
0.0,4,0.067193
0.0,12,0.067524
0.0,3,0.067662
0.0,4,0.067816
0.0,1,0.067894
0.0,2,0.067997
0.0,2,0.068098
0.0,5,0.068268
0.0,6,0.068466
0.0,14,0.068864
0.0,3,0.068991
0.0,4,0.069146
0.0,22,0.069705
0.0,3,0.069839
0.0,5,0.070015
0.0,28,0.070705
0.0,5,0.070877
0.0,3,0.071003
0.0,1,0.07108
0.0,8,0.071325
1.0,10,0.071621
0.0,3,0.071748
0.0,2,0.071852
0.0,4,0.072011
0.0,9,0.072274
0.0,4,0.072424
0.0,7,0.072654
0.0,4,0.072811
0.0,5,0.072982
0.0,2,0.07309
0.0,5,0.073262
0.0,10,0.073559
0.0,2,0.073664
0.0,1,0.073745
0.0,10,0.074028
0.0,5,0.074197
0.0,5,0.074374
0.0,11,0.074689
0.0,26,0.075335
0.0,4,0.075492
0.0,3,0.075627
0.0,10,0.075917
0.0,9,0.076176
0.0,22,0.07673
0.0,14,0.077097
0.0,45,0.078171
0.0,31,0.078947
0.0,5,0.079128
0.0,3,0.079255
0.0,10,0.079554
0.0,4,0.079713
0.0,6,0.079908
0.0,6,0.080101
0.0,7,0.080318
0.0,11,0.080633
0.0,15,0.081038
0.0,9,0.081304
1.0,17,0.081757
0.0,9,0.082023
0.0,1,0.082101
0.0,5,0.082278
0.0,1,0.082356
1.0,15,0.082767
0.0,6,0.082967
0.0,1,0.083046
0.0,8,0.083283
0.0,5,0.083457
0.0,4,0.083623
0.0,1,0.083704
0.0,6,0.083897
0.0,28,0.084589
0.0,4,0.08474
0.0,10,0.085022
0.0,15,0.085416
0.0,10,0.085712
0.0,7,0.085929
0.0,2,0.086037
0.0,8,0.086283
0.0,1,0.086366
0.0,1,0.086445
0.0,4,0.086612
0.0,2,0.086716
0.0,1,0.086794
0.0,2,0.086897
0.0,6,0.087091
0.0,5,0.087259
0.0,3,0.087389
0.0,6,0.087597
0.0,2,0.087701
0.0,21,0.088234
0.0,2,0.088337
0.0,2,0.088444
0.0,8,0.088692
0.0,8,0.088929
0.0,2,0.089031
0.0,2,0.089132
0.0,10,0.089411
0.0,10,0.089703
0.0,1,0.089786
0.0,14,0.090154
0.0,22,0.09071
0.0,22,0.091264
0.0,12,0.091612
0.0,13,0.091968
0.0,7,0.092201
0.0,13,0.092559
0.0,1,0.092639
0.0,3,0.092771
0.0,4,0.092921
0.0,13,0.093274
0.0,16,0.09371
0.0,2,0.093815
0.0,23,0.094393
0.0,21,0.09495
0.0,8,0.095196
0.0,6,0.095389
0.0,32,0.096173
