#{"t_start": 1522229423.9129655, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.004654
0.0,4,0.004893
0.0,1,0.004998
0.0,56,0.00644
0.0,21,0.007064
0.0,10,0.007373
0.0,4,0.007528
0.0,12,0.007862
0.0,9,0.008114
0.0,8,0.008368
0.0,1,0.008456
0.0,7,0.008683
0.0,15,0.009056
0.0,27,0.009739
0.0,13,0.010072
0.0,30,0.010818
1.0,13,0.011151
0.0,29,0.011867
0.0,38,0.012807
0.0,59,0.014246
0.0,8,0.014484
0.0,6,0.014673
0.0,16,0.015063
0.0,41,0.015988
0.0,15,0.016375
0.0,22,0.016902
0.0,16,0.017307
0.0,19,0.017796
0.0,10,0.018059
0.0,10,0.018366
0.0,11,0.018684
0.0,7,0.018888
0.0,12,0.019192
0.0,13,0.019538
0.0,3,0.019663
0.0,1,0.01974
0.0,4,0.019885
0.0,8,0.020111
0.0,4,0.020262
0.0,8,0.020502
0.0,34,0.021274
0.0,11,0.021665
0.0,6,0.02185
1.0,10,0.02213
0.0,1,0.022208
0.0,12,0.02254
0.0,1,0.02262
0.0,1,0.022703
0.0,33,0.023474
0.0,5,0.023647
0.0,21,0.02414
0.0,7,0.024367
0.0,6,0.024554
0.0,16,0.024952
0.0,1,0.02503
0.0,20,0.025522
1.0,19,0.025973
0.0,32,0.02673
0.0,6,0.026928
0.0,8,0.027156
0.0,7,0.027402
0.0,23,0.027967
0.0,16,0.028373
0.0,29,0.02904
0.0,22,0.029558
0.0,56,0.030788
0.0,13,0.03112
0.0,9,0.031388
1.0,26,0.031996
0.0,8,0.032227
1.0,23,0.032819
0.0,16,0.033215
0.0,35,0.034077
0.0,7,0.034302
0.0,11,0.034606
0.0,12,0.034925
0.0,12,0.03523
0.0,8,0.035503
0.0,7,0.03573
0.0,25,0.036319
0.0,23,0.036854
0.0,2,0.03696
0.0,1,0.037041
0.0,9,0.037292
0.0,40,0.038188
0.0,20,0.038679
0.0,7,0.038889
0.0,52,0.040044
0.0,12,0.04037
0.0,2,0.040476
0.0,8,0.040709
0.0,29,0.041385
0.0,8,0.041621
0.0,4,0.041765
0.0,2,0.041867
0.0,14,0.042216
0.0,15,0.042602
0.0,1,0.042681
0.0,11,0.042968
0.0,8,0.043192
1.0,8,0.043428
0.0,21,0.043933
0.0,8,0.044163
0.0,11,0.044468
0.0,4,0.044617
0.0,6,0.044807
0.0,43,0.045764
0.0,53,0.046921
0.0,1,0.047001
0.0,10,0.047274
0.0,4,0.047434
0.0,8,0.047666
0.0,15,0.048041
0.0,15,0.048433
0.0,23,0.048975
0.0,12,0.049282
0.0,13,0.049645
0.0,4,0.049808
0.0,5,0.049973
0.0,4,0.050116
0.0,8,0.05038
0.0,24,0.051003
0.0,10,0.051277
0.0,47,0.052365
0.0,4,0.052511
0.0,24,0.053076
0.0,17,0.053514
0.0,7,0.053731
0.0,14,0.054087
0.0,3,0.054214
0.0,9,0.054505
0.0,9,0.054803
0.0,11,0.055086
1.0,13,0.055453
0.0,1,0.05554
0.0,6,0.055749
0.0,6,0.05594
0.0,8,0.056178
0.0,7,0.056401
0.0,2,0.056509
0.0,29,0.057169
0.0,15,0.05755
0.0,12,0.05786
0.0,42,0.058819
0.0,7,0.059031
0.0,4,0.059173
0.0,14,0.05956
0.0,2,0.059685
0.0,9,0.059931
1.0,15,0.06031
0.0,1,0.060394
0.0,15,0.060775
1.0,12,0.06109
0.0,30,0.061792
0.0,9,0.062047
0.0,5,0.062217
0.0,10,0.062492
0.0,2,0.062599
1.0,18,0.063026
0.0,3,0.063151
0.0,11,0.063459
1.0,11,0.063747
1.0,19,0.064208
0.0,1,0.064289
0.0,20,0.064794
0.0,13,0.065133
0.0,34,0.065932
0.0,2,0.066036
0.0,1,0.066114
0.0,17,0.06655
0.0,9,0.066801
1.0,26,0.067451
0.0,3,0.067582
0.0,8,0.067828
1.0,54,0.069098
0.0,1,0.069177
0.0,4,0.06935
1.0,36,0.070192
0.0,4,0.070347
0.0,3,0.070476
0.0,7,0.070686
0.0,38,0.071538
0.0,12,0.071854
0.0,8,0.07208
0.0,4,0.072227
0.0,21,0.072791
1.0,9,0.073055
0.0,30,0.073799
0.0,3,0.073928
0.0,6,0.074124
0.0,8,0.074398
0.0,8,0.074657
0.0,17,0.07508
0.0,23,0.075668
0.0,19,0.076131
0.0,12,0.076456
0.0,23,0.076997
0.0,11,0.077301
0.0,7,0.07753
0.0,18,0.077979
0.0,6,0.078168
0.0,2,0.078274
0.0,5,0.078485
0.0,12,0.07882
0.0,4,0.078962
0.0,1,0.079039
0.0,4,0.079184
0.0,18,0.079651
0.0,3,0.079774
0.0,4,0.079917
0.0,7,0.080128
0.0,5,0.080305
0.0,5,0.08047
0.0,5,0.080634
0.0,19,0.081091
0.0,9,0.081358
0.0,2,0.081461
0.0,9,0.081708
0.0,3,0.08183
0.0,3,0.081951
0.0,4,0.082092
0.0,5,0.082259
0.0,24,0.082819
0.0,2,0.082922
0.0,8,0.083148
0.0,20,0.08364
0.0,13,0.083977
0.0,6,0.084161
0.0,5,0.084344
0.0,5,0.084534
0.0,4,0.084698
0.0,24,0.085254
0.0,10,0.085557
0.0,22,0.086103
0.0,10,0.086419
0.0,1,0.086503
0.0,9,0.086785
0.0,10,0.087058
0.0,7,0.087261
0.0,26,0.087881
0.0,3,0.088006
0.0,10,0.088277
0.0,11,0.088578
0.0,16,0.088977
0.0,17,0.089413
0.0,19,0.089871
0.0,12,0.090183
0.0,3,0.090335
0.0,25,0.090926
0.0,9,0.091174
0.0,23,0.091727
0.0,6,0.091919
0.0,8,0.092151
0.0,4,0.092292
0.0,6,0.092486
0.0,15,0.092867
0.0,18,0.093327
0.0,1,0.093407
0.0,19,0.09386
0.0,30,0.094556
0.0,3,0.094681
0.0,3,0.094808
0.0,11,0.095103
0.0,7,0.095324
0.0,29,0.09599
0.0,42,0.096918
0.0,5,0.097082
0.0,10,0.09737
0.0,7,0.097575
0.0,9,0.09782
0.0,8,0.098046
0.0,29,0.098714
0.0,25,0.099301
0.0,13,0.099681
0.0,1,0.099761
0.0,13,0.100097
0.0,35,0.100883
0.0,35,0.101681
0.0,9,0.101928
0.0,14,0.102303
0.0,12,0.102622
0.0,19,0.103077
0.0,27,0.103716
0.0,2,0.10382
0.0,17,0.10423
0.0,6,0.104426
0.0,1,0.104505
0.0,20,0.10498
0.0,46,0.106116
0.0,15,0.106511
0.0,22,0.107033
0.0,5,0.107203
0.0,10,0.107483
0.0,49,0.108609
0.0,12,0.108923
0.0,10,0.109187
1.0,25,0.109775
0.0,17,0.11018
0.0,5,0.110355
0.0,6,0.110544
0.0,7,0.110755
0.0,18,0.111189
0.0,14,0.11156
0.0,30,0.112246
0.0,14,0.112609
0.0,22,0.113131
0.0,23,0.113691
0.0,19,0.114161
0.0,4,0.114327
0.0,7,0.114539
0.0,3,0.114669
0.0,9,0.114928
0.0,11,0.115213
0.0,26,0.115812
0.0,11,0.116106
0.0,4,0.116253
0.0,14,0.116623
0.0,7,0.116829
0.0,32,0.117583
0.0,8,0.11781
0.0,12,0.118129
0.0,6,0.118329
0.0,6,0.118516
0.0,10,0.118788
0.0,5,0.118952
0.0,22,0.119483
0.0,17,0.119935
0.0,23,0.120516
1.0,7,0.120742
0.0,3,0.120868
0.0,17,0.1213
0.0,1,0.121382
0.0,4,0.121531
0.0,14,0.121886
0.0,25,0.122473
0.0,6,0.122664
0.0,7,0.122874
1.0,37,0.12372
0.0,3,0.123843
1.0,14,0.124206
0.0,13,0.124559
0.0,5,0.12473
0.0,2,0.124835
1.0,27,0.125468
0.0,1,0.125546
0.0,7,0.125761
0.0,5,0.125931
0.0,7,0.126136
0.0,20,0.126616
0.0,26,0.127217
0.0,5,0.127394
0.0,18,0.12782
0.0,21,0.128341
0.0,16,0.12873
0.0,9,0.128972
0.0,17,0.129399
0.0,23,0.129943
0.0,25,0.130541
0.0,1,0.130621
0.0,9,0.130868
0.0,15,0.131243
0.0,15,0.13163
0.0,9,0.131881
0.0,2,0.131987
1.0,6,0.132172
0.0,4,0.132324
0.0,28,0.132975
0.0,3,0.133102
0.0,11,0.133414
0.0,2,0.133518
1.0,8,0.133745
0.0,31,0.13446
0.0,11,0.134788
0.0,9,0.135035
0.0,4,0.135183
0.0,19,0.135699
0.0,30,0.136389
0.0,10,0.136656
0.0,2,0.136756
0.0,6,0.13694
0.0,10,0.137218
0.0,2,0.13733
0.0,18,0.137768
1.0,22,0.138287
0.0,10,0.138571
0.0,22,0.139104
0.0,12,0.139431
0.0,4,0.139586
1.0,12,0.139908
0.0,6,0.140097
0.0,60,0.141431
0.0,5,0.141606
0.0,1,0.141684
0.0,23,0.142221
0.0,8,0.142464
0.0,16,0.142865
0.0,37,0.143698
0.0,9,0.143953
0.0,3,0.144076
0.0,3,0.144205
0.0,9,0.144475
0.0,15,0.144859
0.0,15,0.145245
0.0,7,0.145466
0.0,1,0.145545
0.0,4,0.145694
0.0,6,0.145889
0.0,11,0.146179
0.0,40,0.147146
0.0,3,0.147281
0.0,11,0.147638
0.0,10,0.147915
1.0,12,0.148221
0.0,17,0.14865
1.0,18,0.149121
0.0,8,0.149398
0.0,14,0.149818
0.0,7,0.150046
0.0,11,0.150369
0.0,19,0.150892
0.0,17,0.151313
0.0,9,0.151567
0.0,4,0.151719
0.0,3,0.151846
0.0,17,0.152269
0.0,5,0.15245
0.0,9,0.152706
0.0,22,0.153228
0.0,26,0.153843
0.0,6,0.154035
0.0,13,0.154381
0.0,17,0.154808
0.0,33,0.15556
0.0,4,0.155706
0.0,3,0.155828
0.0,17,0.15625
0.0,3,0.156404
0.0,2,0.156517
0.0,19,0.157006
0.0,30,0.1577
0.0,13,0.158036
0.0,15,0.158414
0.0,13,0.158751
0.0,37,0.15958
0.0,9,0.159836
0.0,24,0.160398
0.0,14,0.160744
0.0,4,0.160897
0.0,5,0.161063
0.0,10,0.161357
0.0,8,0.161618
0.0,5,0.161787
0.0,10,0.162061
0.0,10,0.16235
0.0,12,0.162658
0.0,14,0.163014
0.0,3,0.163136
1.0,24,0.163707
0.0,5,0.163872
0.0,9,0.164121
0.0,16,0.164538
0.0,2,0.164645
0.0,1,0.164723
0.0,21,0.165229
0.0,25,0.165819
0.0,3,0.165943
0.0,27,0.166587
0.0,10,0.166859
0.0,14,0.16721
0.0,4,0.167368
0.0,1,0.167447
0.0,74,0.169036
0.0,12,0.169367
0.0,1,0.169446
0.0,1,0.169525
0.0,20,0.170006
0.0,5,0.170176
0.0,10,0.17049
0.0,4,0.170662
0.0,19,0.171124
0.0,1,0.171205
0.0,8,0.171452
0.0,4,0.171605
0.0,14,0.171972
0.0,6,0.172157
0.0,6,0.172354
0.0,3,0.172478
0.0,9,0.172727
0.0,17,0.173146
0.0,1,0.173224
0.0,6,0.173421
0.0,5,0.173587
0.0,4,0.173729
0.0,12,0.174041
0.0,9,0.174306
0.0,2,0.17441
0.0,8,0.174657
1.0,9,0.174904
0.0,3,0.175029
0.0,3,0.175151
0.0,9,0.175414
0.0,1,0.175498
0.0,3,0.175628
0.0,9,0.17588
0.0,4,0.176029
0.0,9,0.176282
0.0,1,0.176389
0.0,2,0.176504
0.0,14,0.176888
0.0,4,0.177038
0.0,4,0.177189
0.0,11,0.177499
0.0,57,0.178736
0.0,15,0.17911
0.0,21,0.179623
0.0,11,0.179909
0.0,4,0.180055
1.0,7,0.180258
0.0,7,0.180477
0.0,8,0.180707
0.0,53,0.18186
0.0,9,0.182106
0.0,13,0.18244
0.0,8,0.182663
0.0,15,0.183035
0.0,10,0.183315
0.0,21,0.183816
0.0,4,0.183961
0.0,10,0.18423
1.0,11,0.184533
0.0,38,0.185411
0.0,9,0.185694
0.0,18,0.186127
0.0,78,0.187793
0.0,3,0.187918
0.0,1,0.187995
0.0,4,0.188139
0.0,7,0.188353
0.0,10,0.188623
0.0,9,0.188874
0.0,1,0.188952
0.0,21,0.189462
0.0,10,0.189736
0.0,6,0.189919
0.0,9,0.190169
0.0,3,0.190307
0.0,13,0.190647
0.0,36,0.191465
0.0,7,0.19167
0.0,15,0.192046
0.0,11,0.192352
0.0,11,0.192646
0.0,25,0.193217
0.0,24,0.193786
0.0,17,0.194197
0.0,4,0.194361
0.0,30,0.195043
0.0,5,0.195205
0.0,2,0.195322
0.0,14,0.195684
0.0,2,0.195786
1.0,18,0.196217
0.0,5,0.196395
0.0,12,0.196707
0.0,6,0.196896
0.0,4,0.197044
0.0,18,0.197506
0.0,6,0.197693
0.0,29,0.198377
0.0,19,0.198833
0.0,1,0.198912
0.0,2,0.199013
0.0,10,0.199279
0.0,2,0.199394
1.0,28,0.20004
1.0,8,0.200264
0.0,9,0.200555
0.0,2,0.200676
0.0,44,0.201667
0.0,23,0.20221
0.0,7,0.202431
0.0,78,0.204101
0.0,5,0.204276
0.0,8,0.204525
0.0,5,0.204691
0.0,29,0.205374
0.0,3,0.205562
0.0,7,0.2058
1.0,10,0.206089
0.0,25,0.206679
0.0,3,0.206807
0.0,6,0.207002
0.0,9,0.207248
1.0,36,0.208062
0.0,1,0.208145
0.0,7,0.208369
0.0,7,0.208575
0.0,19,0.20904
0.0,3,0.209162
0.0,8,0.209403
0.0,5,0.209566
0.0,24,0.210124
0.0,4,0.210273
0.0,11,0.210579
0.0,3,0.210706
0.0,5,0.210872
0.0,6,0.211066
0.0,18,0.211514
0.0,3,0.211643
0.0,6,0.211827
0.0,28,0.21248
0.0,10,0.21275
0.0,24,0.21331
0.0,40,0.214188
0.0,5,0.214366
0.0,25,0.214941
0.0,12,0.215249
0.0,6,0.215443
0.0,4,0.215591
0.0,22,0.216115
0.0,16,0.216517
0.0,12,0.216828
0.0,2,0.216928
0.0,28,0.217579
0.0,12,0.217899
0.0,7,0.218102
1.0,12,0.218418
0.0,2,0.218525
0.0,2,0.218631
0.0,3,0.218761
1.0,14,0.21912
0.0,26,0.219723
0.0,2,0.219826
0.0,12,0.220136
0.0,75,0.221735
0.0,7,0.221939
0.0,22,0.222471
0.0,14,0.222829
0.0,3,0.222955
0.0,6,0.223138
0.0,29,0.223799
0.0,8,0.224035
1.0,9,0.224279
0.0,8,0.224525
0.0,21,0.225013
1.0,9,0.225267
0.0,5,0.225439
0.0,4,0.225582
0.0,8,0.225808
0.0,11,0.2261
