#{"t_start": 1522229797.0080204, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.01313
0.0,6,0.013663
0.0,1,0.013832
0.0,14,0.014856
0.0,14,0.015875
0.0,17,0.0171
0.0,22,0.018655
0.0,28,0.020562
0.0,11,0.02111
0.0,6,0.021449
0.0,7,0.021825
0.0,2,0.021981
0.0,6,0.022325
0.0,33,0.023822
0.0,13,0.024467
0.0,18,0.025329
0.0,3,0.025531
0.0,20,0.026476
0.0,4,0.026721
0.0,12,0.02732
0.0,4,0.027569
0.0,10,0.028068
0.0,2,0.028224
0.0,13,0.028866
0.0,15,0.029597
0.0,5,0.029886
0.0,6,0.030215
0.0,3,0.03043
0.0,7,0.030807
0.0,8,0.031221
0.0,6,0.031566
0.0,19,0.032466
0.0,1,0.032583
0.0,6,0.032912
0.0,7,0.033298
0.0,3,0.033502
0.0,11,0.034055
0.0,9,0.034525
0.0,37,0.036202
0.0,10,0.036718
0.0,5,0.03701
0.0,12,0.037607
0.0,4,0.037852
0.0,7,0.038224
0.0,7,0.038604
0.0,20,0.039551
0.0,7,0.039927
0.0,6,0.04026
0.0,9,0.040741
0.0,6,0.041071
0.0,10,0.04159
0.0,9,0.042049
0.0,12,0.042653
0.0,4,0.042898
0.0,8,0.043325
0.0,21,0.044315
0.0,8,0.044737
0.0,2,0.044893
0.0,36,0.046546
0.0,3,0.046751
0.0,6,0.047084
0.0,17,0.047896
0.0,11,0.048465
0.0,1,0.048578
0.0,12,0.049165
0.0,8,0.0496
0.0,6,0.049933
0.0,10,0.050457
0.0,4,0.050708
0.0,10,0.051211
0.0,3,0.051421
0.0,4,0.051666
0.0,1,0.051776
0.0,3,0.05198
0.0,18,0.05284
0.0,6,0.053174
0.0,2,0.053343
0.0,7,0.053716
0.0,4,0.053959
0.0,3,0.054158
0.0,3,0.05437
0.0,2,0.05453
0.0,13,0.055162
0.0,7,0.05555
0.0,7,0.055929
0.0,5,0.056219
0.0,6,0.056557
0.0,3,0.056762
0.0,6,0.057096
0.0,5,0.057398
0.0,20,0.058344
0.0,12,0.058936
0.0,10,0.05945
0.0,7,0.059825
0.0,20,0.060786
0.0,10,0.0613
0.0,13,0.061938
0.0,2,0.062095
0.0,1,0.062206
0.0,5,0.062509
0.0,4,0.062754
0.0,19,0.063664
0.0,3,0.063866
0.0,5,0.064151
0.0,4,0.064411
0.0,12,0.065004
0.0,2,0.065161
0.0,5,0.065464
0.0,21,0.066453
0.0,7,0.066828
0.0,14,0.067515
0.0,20,0.068462
0.0,16,0.069224
0.0,11,0.069784
0.0,10,0.070311
0.0,1,0.070424
0.0,24,0.071548
0.0,4,0.071794
0.0,6,0.072127
0.0,6,0.072469
0.0,4,0.072717
0.0,2,0.072875
0.0,11,0.073433
0.0,5,0.073725
0.0,18,0.074578
0.0,18,0.075443
0.0,12,0.076038
0.0,11,0.076599
0.0,1,0.076714
0.0,23,0.07778
0.0,3,0.077984
0.0,4,0.078227
0.0,8,0.07865
0.0,7,0.07903
0.0,18,0.079883
0.0,9,0.080363
0.0,4,0.080607
0.0,6,0.080938
0.0,2,0.081095
0.0,5,0.08139
0.0,2,0.081547
0.0,21,0.082528
0.0,28,0.083815
0.0,3,0.084019
0.0,6,0.084365
0.0,16,0.085123
0.0,3,0.085334
0.0,9,0.085795
0.0,2,0.085951
0.0,7,0.086334
0.0,14,0.087009
0.0,1,0.087121
0.0,18,0.087974
0.0,13,0.088615
0.0,2,0.088775
0.0,3,0.088974
0.0,2,0.089128
0.0,12,0.089726
0.0,5,0.090015
0.0,3,0.090214
0.0,20,0.091166
0.0,3,0.091379
0.0,2,0.091537
0.0,3,0.091739
0.0,8,0.092155
0.0,4,0.09241
0.0,8,0.092828
0.0,12,0.093424
0.0,4,0.093673
0.0,10,0.094176
0.0,5,0.094473
0.0,4,0.09472
0.0,6,0.095047
0.0,6,0.095389
0.0,10,0.095894
0.0,1,0.096007
0.0,14,0.096685
0.0,9,0.097148
0.0,6,0.097493
0.0,3,0.097697
0.0,6,0.098027
0.0,13,0.098664
0.0,8,0.099082
0.0,6,0.099422
0.0,3,0.099627
0.0,4,0.099869
0.0,4,0.100111
0.0,25,0.101285
0.0,3,0.101489
0.0,7,0.10186
0.0,10,0.102374
0.0,14,0.10306
0.0,1,0.103171
0.0,10,0.103684
0.0,9,0.104147
0.0,18,0.105
0.0,7,0.105386
0.0,9,0.105846
0.0,28,0.107125
0.0,6,0.107468
0.0,10,0.107971
0.0,8,0.108397
0.0,5,0.108692
0.0,5,0.108983
0.0,1,0.109094
0.0,10,0.109608
0.0,7,0.10998
0.0,10,0.110496
0.0,24,0.111619
0.0,4,0.111869
0.0,8,0.112304
0.0,1,0.112417
0.0,3,0.112619
0.0,8,0.113033
0.0,5,0.113394
0.0,10,0.113895
0.0,5,0.114185
0.0,11,0.114751
0.0,15,0.11548
0.0,5,0.11577
0.0,4,0.116016
0.0,6,0.116362
0.0,10,0.116866
0.0,7,0.117237
0.0,2,0.117405
0.0,1,0.117517
0.0,5,0.117804
0.0,5,0.118091
0.0,4,0.118346
0.0,1,0.118457
0.0,4,0.118701
0.0,5,0.118989
0.0,1,0.119099
0.0,17,0.119914
0.0,11,0.120479
0.0,13,0.121112
0.0,11,0.121664
0.0,8,0.122078
0.0,2,0.122236
0.0,10,0.122743
0.0,7,0.123112
0.0,7,0.123498
0.0,20,0.12444
0.0,6,0.124768
0.0,4,0.125009
0.0,25,0.126157
0.0,5,0.126456
0.0,4,0.126702
