#{"t_start": 1523124954.3280349, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.00827
0.0,1,0.008432
0.0,6,0.008761
0.0,1,0.008888
0.0,18,0.009719
0.0,10,0.010241
0.0,22,0.011345
0.0,4,0.01159
0.0,2,0.011746
0.0,8,0.012169
0.0,9,0.012622
0.0,9,0.013082
0.0,12,0.01366
0.0,10,0.014165
0.0,8,0.014581
0.0,17,0.015386
0.0,3,0.015589
0.0,8,0.016009
0.0,1,0.016122
0.0,5,0.016404
0.0,4,0.016642
0.0,4,0.016893
0.0,11,0.017425
0.0,1,0.017535
0.0,21,0.026899
0.0,24,0.028432
0.0,13,0.029278
0.0,9,0.029849
0.0,2,0.030045
0.0,7,0.030467
0.0,7,0.03092
0.0,8,0.0314
0.0,3,0.031645
0.0,1,0.031767
0.0,6,0.032154
0.0,10,0.032696
0.0,12,0.033355
0.0,1,0.033491
0.0,6,0.033863
0.0,12,0.034498
0.0,25,0.035676
0.0,4,0.046082
0.0,4,0.046414
0.0,4,0.046655
0.0,5,0.046957
0.0,13,0.047576
0.0,4,0.04784
0.0,18,0.048671
0.0,8,0.049104
0.0,20,0.05003
0.0,8,0.050444
0.0,8,0.050864
0.0,7,0.051233
1.0,8,0.051643
0.0,39,0.053382
0.0,17,0.05419
0.0,6,0.054518
0.0,6,0.054854
0.0,6,0.055181
0.0,5,0.055469
0.0,2,0.055626
0.0,7,0.066309
0.0,12,0.067136
0.0,8,0.067635
0.0,10,0.068194
0.0,5,0.068526
0.0,4,0.068786
0.0,8,0.069326
1.0,26,0.070704
0.0,23,0.07201
0.0,6,0.072474
1.0,14,0.073246
0.0,20,0.07434
0.0,10,0.074996
0.0,1,0.075129
1.0,8,0.075582
0.0,5,0.086064
0.0,4,0.086425
0.0,2,0.086582
0.0,5,0.086889
1.0,20,0.087817
0.0,2,0.087976
0.0,21,0.088956
0.0,4,0.089199
0.0,10,0.089695
0.0,5,0.089993
0.0,5,0.090276
1.0,7,0.090644
0.0,1,0.090752
0.0,8,0.091181
0.0,3,0.091382
0.0,1,0.091491
0.0,1,0.091599
0.0,12,0.092187
0.0,8,0.092598
1.0,12,0.093192
0.0,14,0.093871
0.0,4,0.094111
0.0,3,0.09431
0.0,20,0.095246
0.0,2,0.095404
0.0,2,0.095557
0.0,8,0.106304
0.0,3,0.106701
0.0,11,0.107327
0.0,11,0.107963
0.0,24,0.109243
1.0,10,0.110065
0.0,7,0.110486
0.0,20,0.111539
0.0,18,0.112591
0.0,35,0.114447
0.0,26,0.126096
0.0,8,0.12664
0.0,10,0.127161
0.0,6,0.127492
0.0,3,0.127688
0.0,3,0.127894
0.0,4,0.128133
0.0,7,0.128497
1.0,21,0.129478
0.0,9,0.129942
0.0,9,0.130401
0.0,16,0.131156
0.0,16,0.13191
0.0,11,0.132443
0.0,17,0.133247
0.0,23,0.134309
0.0,13,0.134948
0.0,4,0.13519
0.0,27,0.146868
0.0,8,0.147527
1.0,49,0.149999
0.0,14,0.150901
0.0,14,0.151679
0.0,5,0.15203
1.0,8,0.152473
0.0,11,0.153109
0.0,11,0.153744
0.0,13,0.154468
0.0,16,0.155358
0.0,9,0.16618
0.0,8,0.166755
1.0,6,0.167134
0.0,2,0.167291
0.0,6,0.167613
0.0,6,0.167952
0.0,10,0.168444
0.0,7,0.16883
0.0,9,0.169291
1.0,10,0.169784
0.0,5,0.170075
0.0,1,0.170185
0.0,8,0.170594
0.0,6,0.170935
0.0,6,0.171265
0.0,6,0.171587
0.0,5,0.171883
0.0,5,0.172168
0.0,39,0.173908
0.0,36,0.175509
1.0,17,0.186517
0.0,10,0.18714
0.0,4,0.187386
0.0,5,0.187668
1.0,13,0.188298
0.0,10,0.188811
0.0,12,0.189388
0.0,2,0.18954
0.0,2,0.189694
0.0,3,0.189904
0.0,17,0.190696
0.0,3,0.190909
0.0,4,0.191157
0.0,1,0.191273
0.0,4,0.191514
0.0,17,0.192318
0.0,28,0.193717
0.0,7,0.194268
0.0,3,0.194504
0.0,8,0.195022
0.0,10,0.195573
0.0,5,0.206252
0.0,9,0.206998
0.0,5,0.207374
0.0,9,0.207906
0.0,9,0.208437
0.0,12,0.209126
0.0,11,0.209739
0.0,4,0.21021
0.0,12,0.210878
0.0,21,0.212048
0.0,2,0.212314
0.0,3,0.212533
0.0,2,0.212699
0.0,7,0.213127
0.0,1,0.213252
0.0,1,0.213372
0.0,6,0.213723
0.0,1,0.21386
0.0,3,0.21408
0.0,8,0.214522
0.0,3,0.214744
0.0,7,0.215156
0.0,7,0.215528
0.0,1,0.215637
0.0,7,0.216017
0.0,14,0.216682
0.0,1,0.225809
0.0,2,0.226364
0.0,11,0.226944
1.0,12,0.227533
0.0,5,0.227854
0.0,2,0.22801
0.0,5,0.228291
0.0,4,0.228532
0.0,8,0.236217
1.0,14,0.23706
0.0,12,0.237638
0.0,15,0.238364
0.0,26,0.239571
0.0,3,0.239771
0.0,20,0.240693
0.0,6,0.241032
0.0,18,0.241982
1.0,11,0.242661
0.0,5,0.243028
0.0,20,0.244078
0.0,7,0.24457
0.0,25,0.256125
0.0,10,0.257101
0.0,13,0.25787
0.0,7,0.258316
0.0,16,0.259201
0.0,14,0.260038
0.0,9,0.260595
0.0,12,0.261305
0.0,5,0.261652
1.0,11,0.262279
1.0,12,0.262943
0.0,17,0.263836
0.0,12,0.264443
0.0,21,0.265418
0.0,7,0.265785
0.0,18,0.276448
0.0,19,0.277576
0.0,10,0.278236
0.0,1,0.278417
0.0,3,0.278685
0.0,3,0.278944
0.0,4,0.279216
0.0,7,0.279637
0.0,3,0.279892
0.0,1,0.280017
0.0,24,0.281287
0.0,1,0.28151
0.0,14,0.282278
0.0,15,0.283171
0.0,3,0.283448
0.0,4,0.283718
0.0,7,0.284149
0.0,11,0.284769
0.0,13,0.285519
0.0,9,0.296289
0.0,11,0.297022
1.0,10,0.297552
0.0,11,0.298137
0.0,6,0.298487
1.0,8,0.298952
1.0,13,0.299611
0.0,12,0.300252
0.0,22,0.301332
0.0,8,0.301773
