#{"t_start": 1522233373.4765782, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.00791
0.0,4,0.008124
0.0,3,0.008283
0.0,12,0.008651
0.0,1,0.00874
0.0,10,0.009089
0.0,10,0.009427
0.0,5,0.009644
0.0,11,0.010031
0.0,12,0.010438
0.0,42,0.011646
0.0,8,0.011948
0.0,3,0.012101
0.0,14,0.012557
0.0,4,0.012735
0.0,7,0.013003
0.0,5,0.01321
0.0,7,0.013469
0.0,2,0.013598
0.0,2,0.013725
0.0,9,0.014063
0.0,1,0.014161
0.0,16,0.014664
0.0,16,0.01521
0.0,22,0.015882
0.0,26,0.016659
0.0,1,0.016757
0.0,14,0.017218
0.0,3,0.01738
0.0,3,0.017534
0.0,3,0.017686
0.0,10,0.018036
0.0,5,0.018255
0.0,6,0.018491
0.0,3,0.018642
0.0,6,0.018881
1.0,40,0.020009
0.0,2,0.020138
0.0,9,0.020451
0.0,5,0.020659
0.0,24,0.021355
0.0,24,0.022063
0.0,8,0.022339
0.0,1,0.022431
0.0,9,0.022752
0.0,14,0.023211
0.0,1,0.023307
0.0,2,0.023427
0.0,7,0.023689
0.0,17,0.024217
0.0,21,0.02483
0.0,2,0.024966
0.0,16,0.02547
0.0,7,0.025722
0.0,19,0.026295
0.0,9,0.026607
0.0,3,0.026755
0.0,9,0.027067
0.0,10,0.027394
0.0,3,0.02755
0.0,7,0.027802
0.0,3,0.027957
0.0,5,0.028158
0.0,8,0.028432
0.0,3,0.028579
0.0,2,0.028699
0.0,8,0.028987
0.0,1,0.029085
0.0,19,0.029637
0.0,36,0.030593
0.0,24,0.031273
0.0,8,0.031538
0.0,26,0.032256
0.0,2,0.032382
0.0,15,0.032834
0.0,6,0.033072
0.0,9,0.033373
0.0,2,0.033489
0.0,5,0.033679
0.0,27,0.03443
1.0,13,0.034839
0.0,6,0.035069
0.0,3,0.035213
0.0,3,0.035355
0.0,1,0.035443
0.0,1,0.03553
0.0,4,0.035697
0.0,4,0.035865
0.0,13,0.036268
0.0,5,0.036468
0.0,38,0.037493
0.0,2,0.037611
0.0,3,0.037751
0.0,2,0.037864
0.0,1,0.037958
0.0,26,0.038672
0.0,13,0.039082
0.0,20,0.039571
0.0,12,0.039864
0.0,8,0.040085
0.0,11,0.040363
0.0,10,0.04061
0.0,10,0.040875
0.0,8,0.041095
0.0,5,0.04128
0.0,11,0.041547
0.0,8,0.041756
0.0,4,0.041898
0.0,2,0.042002
0.0,1,0.042074
0.0,1,0.042145
0.0,13,0.042456
0.0,6,0.042627
0.0,14,0.04297
0.0,8,0.043191
0.0,3,0.043313
0.0,6,0.043495
0.0,11,0.043769
0.0,9,0.044013
0.0,8,0.044231
0.0,13,0.044539
0.0,7,0.044739
0.0,6,0.044921
0.0,11,0.045207
0.0,2,0.0453
0.0,5,0.045453
0.0,1,0.045523
0.0,2,0.045625
0.0,12,0.04593
1.0,12,0.046221
0.0,4,0.046359
0.0,9,0.046591
1.0,11,0.046865
0.0,4,0.047005
0.0,15,0.047363
0.0,1,0.047435
0.0,5,0.047596
0.0,4,0.047739
0.0,15,0.048102
0.0,12,0.0484
0.0,9,0.048639
0.0,1,0.048711
0.0,12,0.04901
0.0,5,0.04917
0.0,9,0.049402
0.0,11,0.049674
0.0,7,0.049874
0.0,8,0.050104
0.0,16,0.050483
0.0,3,0.050602
