#{"t_start": 1522232437.9527776, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.006723
0.0,1,0.006818
0.0,1,0.006903
0.0,1,0.006992
0.0,15,0.007411
0.0,2,0.007527
0.0,18,0.008
0.0,7,0.008225
0.0,17,0.008696
0.0,1,0.008796
0.0,13,0.009144
0.0,4,0.009336
0.0,7,0.009584
0.0,6,0.009782
0.0,14,0.010203
0.0,3,0.010372
0.0,5,0.010543
0.0,9,0.010805
0.0,18,0.01126
0.0,3,0.011396
0.0,6,0.011589
0.0,10,0.011878
0.0,10,0.012163
0.0,4,0.012333
0.0,3,0.012475
0.0,5,0.012644
0.0,7,0.012856
0.0,3,0.012988
0.0,13,0.013352
0.0,11,0.013662
0.0,18,0.014124
0.0,3,0.01425
0.0,2,0.014361
0.0,9,0.014618
0.0,17,0.015065
0.0,4,0.015213
0.0,4,0.015388
0.0,20,0.015912
0.0,4,0.016062
0.0,3,0.016191
0.0,6,0.016402
0.0,21,0.016938
0.0,26,0.017599
0.0,9,0.017865
1.0,12,0.018194
1.0,8,0.018467
0.0,2,0.018583
0.0,28,0.019248
0.0,6,0.019453
0.0,26,0.020178
0.0,14,0.020568
0.0,9,0.02083
0.0,13,0.021188
0.0,9,0.021491
0.0,1,0.02157
0.0,1,0.021648
0.0,11,0.021948
0.0,20,0.022468
0.0,5,0.022639
0.0,8,0.02288
0.0,8,0.023113
0.0,4,0.023265
0.0,3,0.0234
0.0,16,0.02382
0.0,2,0.023935
0.0,6,0.024142
0.0,1,0.024218
0.0,6,0.024453
0.0,24,0.025071
0.0,6,0.025269
0.0,9,0.025543
0.0,1,0.025627
0.0,3,0.025754
0.0,5,0.025931
0.0,1,0.026012
0.0,5,0.026188
0.0,6,0.026391
0.0,6,0.026589
0.0,1,0.026685
0.0,12,0.027024
0.0,3,0.027154
0.0,6,0.027378
0.0,17,0.027834
0.0,9,0.028093
0.0,3,0.028217
0.0,4,0.028376
0.0,8,0.02862
0.0,3,0.028751
0.0,2,0.028853
