#{"t_start": 1523124262.7318156, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.008962
0.0,100,0.011397
0.0,57,0.012851
0.0,100,0.015277
0.0,100,0.017716
0.0,100,0.020144
0.0,100,0.022587
1.0,21,0.023164
0.0,100,0.025558
0.0,6,0.02577
0.0,100,0.028098
0.0,11,0.028418
0.0,32,0.029209
0.0,32,0.030017
1.0,17,0.030472
0.0,10,0.030774
1.0,34,0.031623
0.0,100,0.033964
1.0,33,0.034757
0.0,100,0.037037
0.0,23,0.03763
0.0,55,0.038926
0.0,9,0.039184
0.0,48,0.040345
1.0,14,0.040733
1.0,13,0.041088
1.0,16,0.041495
1.0,14,0.041882
1.0,15,0.042284
0.0,37,0.043175
1.0,46,0.044265
1.0,94,0.046356
0.0,100,0.048573
0.0,23,0.049135
1.0,29,0.049827
1.0,67,0.051325
1.0,29,0.052027
0.0,13,0.052383
1.0,26,0.05304
0.0,45,0.05408
0.0,3,0.054206
0.0,35,0.055039
0.0,5,0.055215
0.0,13,0.055586
0.0,17,0.056011
0.0,84,0.057894
0.0,5,0.058064
0.0,100,0.06029
0.0,100,0.062505
1.0,77,0.064229
1.0,34,0.065011
1.0,18,0.065477
0.0,84,0.06735
0.0,22,0.067904
1.0,6,0.068105
0.0,100,0.070316
0.0,100,0.07256
0.0,56,0.07385
0.0,7,0.07407
0.0,44,0.075078
0.0,100,0.077295
0.0,52,0.07849
1.0,11,0.07879
0.0,44,0.079799
0.0,22,0.080317
1.0,8,0.080558
1.0,35,0.081376
0.0,27,0.082032
1.0,55,0.083278
0.0,49,0.084416
1.0,14,0.084794
0.0,2,0.084902
1.0,7,0.085117
0.0,13,0.085469
1.0,56,0.086765
1.0,63,0.088207
1.0,31,0.088947
0.0,3,0.08908
0.0,55,0.090339
1.0,35,0.091176
1.0,62,0.092579
0.0,44,0.093591
1.0,15,0.093972
1.0,18,0.094409
1.0,18,0.094857
1.0,24,0.095435
0.0,100,0.097654
0.0,39,0.098596
