#{"t_start": 1523123742.095, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,23,0.001513
0.0,31,0.002273
0.0,7,0.002502
0.0,69,0.004125
0.0,9,0.00439
0.0,12,0.004733
0.0,100,0.006975
0.0,99,0.009271
0.0,99,0.011519
0.0,49,0.012673
0.0,100,0.014977
0.0,27,0.015647
0.0,4,0.015808
1.0,16,0.016244
0.0,10,0.01653
0.0,3,0.016661
0.0,27,0.017342
0.0,94,0.019455
0.0,100,0.021747
0.0,6,0.02195
0.0,23,0.022534
0.0,10,0.022814
0.0,3,0.022945
0.0,16,0.023368
0.0,54,0.024655
0.0,28,0.025337
0.0,16,0.025754
0.0,17,0.026197
1.0,20,0.026721
0.0,77,0.028484
1.0,20,0.028995
0.0,4,0.029162
1.0,23,0.029746
1.0,24,0.030354
1.0,18,0.030814
0.0,14,0.031191
0.0,19,0.031672
0.0,25,0.032292
0.0,10,0.032572
0.0,12,0.032909
0.0,57,0.034269
0.0,6,0.034466
0.0,9,0.034735
0.0,9,0.035012
0.0,3,0.035156
1.0,60,0.036575
0.0,24,0.03718
0.0,31,0.037939
0.0,29,0.038653
0.0,21,0.039196
0.0,11,0.039505
0.0,7,0.039726
0.0,14,0.040103
1.0,24,0.040703
1.0,13,0.041057
1.0,30,0.04179
1.0,21,0.042333
1.0,12,0.042662
1.0,14,0.043023
0.0,6,0.04323
1.0,36,0.04407
0.0,14,0.044456
1.0,14,0.044838
0.0,12,0.045184
1.0,11,0.045501
0.0,8,0.045739
0.0,10,0.04603
0.0,17,0.046478
0.0,19,0.046963
1.0,10,0.047261
1.0,9,0.047521
0.0,14,0.047893
1.0,8,0.04814
0.0,10,0.048443
0.0,10,0.048731
0.0,10,0.049017
0.0,26,0.049682
0.0,33,0.050513
1.0,48,0.051682
0.0,16,0.05211
1.0,11,0.052414
0.0,5,0.052593
1.0,20,0.053109
1.0,24,0.053707
1.0,40,0.054666
1.0,14,0.055031
0.0,27,0.05571
1.0,18,0.056184
0.0,37,0.05706
0.0,37,0.057977
