#{"t_start": 1522233420.6963935, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,22,0.007859
0.0,2,0.008012
0.0,23,0.008759
0.0,31,0.009727
0.0,64,0.011649
0.0,5,0.011879
0.0,51,0.013417
0.0,92,0.016112
0.0,42,0.017373
0.0,6,0.017581
0.0,24,0.018199
0.0,40,0.01917
0.0,6,0.019369
0.0,4,0.01952
1.0,19,0.020013
0.0,13,0.020384
0.0,19,0.02088
0.0,13,0.02125
0.0,3,0.02138
0.0,10,0.021673
0.0,9,0.021936
0.0,4,0.022084
0.0,15,0.022499
0.0,2,0.022607
0.0,8,0.022848
0.0,10,0.023154
0.0,27,0.023822
0.0,17,0.024272
0.0,70,0.026088
0.0,46,0.027203
0.0,2,0.027316
0.0,31,0.028069
0.0,15,0.028481
0.0,18,0.028953
0.0,4,0.029112
0.0,22,0.029681
0.0,4,0.029832
0.0,6,0.03004
0.0,13,0.030412
0.0,6,0.030608
0.0,19,0.031102
0.0,13,0.031461
0.0,14,0.031838
0.0,26,0.032503
0.0,2,0.03261
0.0,7,0.032825
0.0,17,0.033284
0.0,6,0.033484
0.0,6,0.033678
0.0,10,0.033966
0.0,11,0.03429
1.0,9,0.034559
0.0,7,0.034775
0.0,4,0.034924
0.0,4,0.035077
0.0,10,0.035373
0.0,4,0.035529
0.0,39,0.036494
0.0,27,0.037187
0.0,4,0.037345
0.0,20,0.037859
0.0,17,0.03832
0.0,22,0.038889
0.0,19,0.039392
0.0,15,0.039806
0.0,14,0.040201
0.0,28,0.040899
0.0,27,0.041579
0.0,4,0.041733
0.0,8,0.041971
0.0,5,0.042159
0.0,12,0.042495
0.0,18,0.042965
0.0,46,0.044074
0.0,16,0.044514
0.0,29,0.045248
0.0,13,0.045599
0.0,2,0.045702
0.0,16,0.04613
0.0,25,0.046763
0.0,4,0.046915
0.0,30,0.047658
0.0,5,0.047838
0.0,33,0.048667
0.0,6,0.048869
0.0,22,0.049433
0.0,26,0.050088
0.0,8,0.05034
0.0,16,0.050778
0.0,38,0.051712
0.0,8,0.051964
0.0,6,0.052189
0.0,11,0.052519
0.0,24,0.05313
0.0,11,0.053444
0.0,5,0.053618
0.0,6,0.053821
0.0,34,0.054652
0.0,7,0.054872
0.0,29,0.055624
0.0,29,0.056357
0.0,19,0.056854
0.0,25,0.057499
0.0,8,0.057739
0.0,9,0.05801
0.0,9,0.058281
0.0,44,0.059328
0.0,40,0.060308
0.0,7,0.060536
0.0,27,0.061217
0.0,2,0.061323
1.0,40,0.062287
0.0,35,0.063148
0.0,22,0.063702
0.0,5,0.06388
1.0,38,0.064804
0.0,11,0.065125
0.0,11,0.065441
0.0,22,0.066003
0.0,25,0.066637
0.0,6,0.066835
0.0,38,0.067801
0.0,11,0.06811
0.0,12,0.068455
0.0,40,0.069433
0.0,13,0.069792
0.0,4,0.069947
0.0,12,0.070296
0.0,44,0.07137
0.0,50,0.072571
0.0,6,0.07278
1.0,22,0.073387
0.0,41,0.074368
0.0,48,0.075518
0.0,11,0.075834
0.0,35,0.076691
0.0,13,0.077047
0.0,9,0.07733
0.0,6,0.077532
0.0,17,0.07798
0.0,46,0.079083
0.0,40,0.080054
0.0,13,0.080421
0.0,20,0.08093
0.0,4,0.081086
0.0,9,0.08136
0.0,14,0.081745
0.0,11,0.082054
0.0,23,0.082636
0.0,21,0.083192
0.0,7,0.08342
0.0,6,0.083622
0.0,14,0.083993
0.0,18,0.084474
0.0,3,0.084602
0.0,8,0.084841
0.0,41,0.085833
0.0,9,0.086096
0.0,6,0.086308
0.0,7,0.086529
0.0,6,0.086728
0.0,53,0.087967
0.0,19,0.088462
0.0,15,0.088863
0.0,10,0.089163
0.0,71,0.090834
0.0,4,0.090988
0.0,6,0.0912
0.0,21,0.091742
0.0,3,0.091874
0.0,2,0.091979
0.0,3,0.092106
0.0,4,0.092272
0.0,17,0.09272
0.0,6,0.092921
0.0,34,0.093758
0.0,11,0.094075
0.0,4,0.094241
0.0,63,0.095733
0.0,7,0.095953
0.0,12,0.096302
0.0,33,0.0971
0.0,8,0.097357
0.0,30,0.098094
0.0,17,0.098552
0.0,23,0.099138
0.0,14,0.099518
0.0,2,0.099622
0.0,6,0.099821
0.0,10,0.100106
0.0,14,0.100496
0.0,14,0.100875
0.0,14,0.101271
0.0,8,0.101517
0.0,8,0.101756
0.0,12,0.102084
0.0,5,0.102264
0.0,19,0.102751
0.0,8,0.102992
0.0,33,0.103802
0.0,12,0.104141
0.0,20,0.104662
0.0,22,0.105226
0.0,7,0.105451
0.0,4,0.105609
0.0,7,0.105833
0.0,4,0.10599
0.0,5,0.106188
1.0,11,0.10658
0.0,6,0.106781
0.0,4,0.10693
0.0,27,0.107601
0.0,12,0.108005
0.0,25,0.108644
0.0,7,0.108871
0.0,7,0.109086
0.0,7,0.109308
0.0,17,0.109754
0.0,4,0.109908
0.0,6,0.110101
0.0,23,0.110691
0.0,30,0.111444
0.0,18,0.111919
0.0,23,0.112504
0.0,21,0.113046
0.0,29,0.113782
0.0,6,0.113982
0.0,13,0.114357
0.0,36,0.11523
0.0,20,0.115744
0.0,22,0.116327
0.0,3,0.116458
0.0,39,0.117394
0.0,21,0.117939
0.0,10,0.118242
0.0,13,0.1186
0.0,19,0.119096
1.0,34,0.119929
0.0,4,0.120086
0.0,25,0.12072
0.0,12,0.121067
0.0,12,0.12141
0.0,2,0.121515
0.0,5,0.121685
0.0,35,0.122543
0.0,2,0.122661
0.0,20,0.123185
0.0,8,0.123436
1.0,8,0.123675
0.0,29,0.124401
0.0,39,0.125355
0.0,11,0.125663
