#{"t_start": 1523120272.0873775, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.006278
0.0,1,0.006373
0.0,1,0.006457
0.0,15,0.006869
0.0,9,0.007139
0.0,4,0.007297
0.0,7,0.007517
0.0,8,0.007765
0.0,5,0.007936
0.0,2,0.008045
0.0,4,0.008192
0.0,5,0.008357
0.0,3,0.008479
0.0,12,0.008807
0.0,3,0.008933
0.0,5,0.009099
0.0,16,0.009508
0.0,4,0.009662
0.0,5,0.009839
0.0,10,0.010115
0.0,9,0.010377
0.0,9,0.010638
0.0,2,0.010756
0.0,4,0.010903
0.0,12,0.011218
0.0,4,0.011368
0.0,3,0.011498
0.0,30,0.012223
0.0,18,0.012688
0.0,4,0.012851
0.0,1,0.012931
0.0,3,0.013055
0.0,23,0.013601
0.0,5,0.013788
0.0,1,0.013867
0.0,6,0.014055
0.0,8,0.014296
0.0,7,0.01451
0.0,6,0.014708
0.0,25,0.015297
0.0,4,0.015453
0.0,4,0.015599
0.0,1,0.015677
0.0,3,0.015816
0.0,15,0.016204
0.0,5,0.016376
0.0,7,0.016586
0.0,8,0.016832
0.0,3,0.016961
0.0,3,0.017086
0.0,10,0.017358
0.0,16,0.017783
0.0,10,0.018062
0.0,5,0.018231
0.0,3,0.01836
0.0,3,0.01849
0.0,25,0.019102
0.0,3,0.019229
0.0,11,0.019539
0.0,9,0.019816
0.0,18,0.02027
0.0,13,0.020614
0.0,23,0.021194
0.0,20,0.02171
0.0,8,0.021953
0.0,5,0.022129
0.0,6,0.022322
0.0,3,0.022453
0.0,14,0.022832
0.0,6,0.023023
0.0,23,0.023592
0.0,8,0.023839
0.0,12,0.024155
0.0,7,0.024367
0.0,4,0.024522
0.0,13,0.024871
0.0,17,0.025305
0.0,14,0.02568
0.0,4,0.025838
0.0,2,0.025939
1.0,24,0.026545
0.0,2,0.026651
0.0,8,0.026901
0.0,7,0.027112
0.0,14,0.027478
0.0,4,0.027623
0.0,2,0.027738
0.0,5,0.027906
0.0,4,0.028059
0.0,11,0.028356
0.0,6,0.028543
0.0,4,0.028687
0.0,5,0.028862
0.0,13,0.029205
0.0,12,0.029525
0.0,5,0.029693
0.0,16,0.030102
0.0,29,0.030793
0.0,14,0.031153
0.0,5,0.031322
0.0,2,0.031428
0.0,18,0.031896
0.0,31,0.032622
0.0,12,0.032952
0.0,6,0.033146
0.0,43,0.034156
0.0,7,0.034369
0.0,15,0.034772
0.0,2,0.034877
0.0,15,0.035277
0.0,1,0.035356
0.0,16,0.035767
0.0,7,0.035977
0.0,11,0.036281
0.0,9,0.036534
0.0,3,0.036657
0.0,9,0.036917
0.0,11,0.037211
0.0,10,0.03749
0.0,8,0.037744
0.0,1,0.037824
0.0,8,0.038055
0.0,9,0.038313
0.0,2,0.038421
0.0,13,0.038782
0.0,2,0.038891
0.0,15,0.039287
