#{"t_start": 1523120009.6922112, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.032644
0.0,1,0.032843
0.0,3,0.033149
0.0,10,0.03395
0.0,10,0.034724
0.0,9,0.035193
0.0,12,0.035805
0.0,10,0.036319
0.0,5,0.036625
0.0,18,0.0375
0.0,3,0.037703
0.0,9,0.038172
0.0,6,0.038517
0.0,12,0.039116
0.0,6,0.03946
0.0,4,0.039709
0.0,2,0.039866
0.0,11,0.040419
0.0,10,0.040939
0.0,3,0.041143
0.0,3,0.041344
0.0,5,0.041647
0.0,17,0.042475
0.0,15,0.043205
0.0,4,0.043466
0.0,6,0.0438
0.0,3,0.044002
0.0,1,0.044116
0.0,2,0.044273
0.0,20,0.045238
0.0,2,0.045399
0.0,11,0.045963
0.0,3,0.046165
0.0,1,0.046278
0.0,3,0.046494
0.0,1,0.046608
0.0,22,0.047657
0.0,31,0.049095
0.0,12,0.049709
0.0,1,0.049824
0.0,8,0.050245
0.0,8,0.050676
0.0,9,0.051146
0.0,12,0.051752
0.0,15,0.052494
0.0,10,0.053006
0.0,3,0.053207
0.0,3,0.05341
0.0,14,0.054107
0.0,9,0.054593
0.0,4,0.054841
0.0,8,0.055263
0.0,11,0.055832
0.0,7,0.056212
0.0,1,0.056323
0.0,4,0.05659
0.0,15,0.057325
0.0,18,0.058192
0.0,10,0.058712
0.0,11,0.059267
0.0,7,0.059653
0.0,9,0.060118
0.0,6,0.060459
0.0,26,0.061683
0.0,6,0.062017
0.0,27,0.063283
0.0,15,0.064021
0.0,5,0.06431
0.0,12,0.064923
0.0,6,0.065262
0.0,1,0.065373
0.0,8,0.065802
0.0,5,0.066095
0.0,6,0.066431
0.0,33,0.067969
0.0,5,0.068261
0.0,22,0.069305
0.0,11,0.06987
0.0,20,0.070829
0.0,8,0.071258
0.0,7,0.071646
0.0,22,0.072693
0.0,7,0.073072
0.0,1,0.073186
0.0,5,0.073485
0.0,5,0.073775
0.0,13,0.074416
0.0,13,0.075065
0.0,2,0.075225
0.0,9,0.075704
0.0,14,0.076392
0.0,12,0.077003
0.0,19,0.077921
0.0,8,0.078342
0.0,7,0.078732
0.0,17,0.079563
0.0,3,0.079769
0.0,7,0.080144
0.0,9,0.080623
0.0,6,0.080959
0.0,2,0.081115
0.0,2,0.081271
0.0,8,0.081706
0.0,16,0.082492
0.0,7,0.082875
0.0,12,0.083483
0.0,14,0.084173
0.0,11,0.084744
0.0,13,0.085383
0.0,4,0.085639
0.0,3,0.085841
0.0,6,0.086174
0.0,3,0.086378
0.0,3,0.086591
0.0,2,0.086752
0.0,11,0.087303
0.0,9,0.087778
0.0,8,0.088201
0.0,10,0.088722
0.0,26,0.089946
0.0,5,0.09024
0.0,4,0.090495
0.0,1,0.090607
0.0,5,0.090896
0.0,4,0.091143
0.0,5,0.091436
0.0,4,0.091693
0.0,16,0.092482
0.0,7,0.09286
0.0,9,0.093325
0.0,9,0.093804
0.0,9,0.094271
0.0,10,0.094797
0.0,9,0.095262
0.0,10,0.095784
0.0,37,0.097504
0.0,2,0.097663
0.0,11,0.098219
0.0,8,0.098652
0.0,8,0.099074
0.0,9,0.09955
0.0,11,0.100106
0.0,24,0.101242
0.0,3,0.101446
0.0,21,0.102441
0.0,8,0.102875
0.0,11,0.103428
0.0,2,0.103594
0.0,9,0.104057
0.0,3,0.104261
0.0,3,0.104476
0.0,1,0.104588
0.0,19,0.105501
0.0,8,0.105925
0.0,2,0.106084
0.0,12,0.106693
0.0,2,0.106851
1.0,10,0.10736
0.0,4,0.107617
0.0,19,0.108534
0.0,10,0.109045
0.0,11,0.109611
0.0,3,0.109816
0.0,5,0.110107
0.0,4,0.110352
0.0,8,0.110782
0.0,7,0.111161
0.0,4,0.111407
0.0,7,0.111795
0.0,7,0.112172
