#{"t_start": 1523126324.0253325, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.001452
0.0,18,0.002017
0.0,1,0.002114
0.0,6,0.002371
0.0,4,0.002559
0.0,5,0.002767
0.0,7,0.003034
0.0,7,0.003313
0.0,9,0.003623
0.0,19,0.004219
0.0,14,0.004682
0.0,5,0.004892
0.0,6,0.005131
0.0,10,0.00548
0.0,2,0.005603
0.0,1,0.005695
0.0,13,0.006127
0.0,5,0.006342
0.0,21,0.006978
0.0,15,0.007538
0.0,1,0.007632
0.0,4,0.007808
0.0,1,0.007899
0.0,14,0.008438
0.0,2,0.008567
0.0,18,0.009134
0.0,1,0.00925
0.0,11,0.00964
0.0,6,0.009877
0.0,8,0.010169
0.0,3,0.010331
0.0,1,0.010429
0.0,5,0.010646
0.0,11,0.011025
0.0,2,0.011153
0.0,23,0.011866
0.0,18,0.012426
0.0,15,0.012903
0.0,4,0.013088
0.0,2,0.013227
0.0,1,0.013325
0.0,10,0.01367
0.0,29,0.014579
0.0,19,0.015213
0.0,19,0.01585
0.0,6,0.016081
0.0,11,0.016469
0.0,2,0.0166
0.0,8,0.016892
0.0,3,0.017043
0.0,2,0.017171
0.0,16,0.017682
0.0,4,0.01786
0.0,2,0.017987
0.0,24,0.018706
0.0,9,0.019017
0.0,9,0.01935
0.0,12,0.019765
0.0,3,0.019918
0.0,3,0.020075
0.0,2,0.020205
0.0,20,0.020808
0.0,18,0.02138
0.0,23,0.022071
0.0,15,0.022564
0.0,1,0.022662
0.0,11,0.023033
0.0,15,0.023521
0.0,7,0.023778
0.0,4,0.023957
0.0,6,0.024187
0.0,15,0.024673
0.0,8,0.024953
0.0,2,0.025077
0.0,11,0.025454
0.0,5,0.025657
0.0,3,0.025811
0.0,10,0.026157
0.0,8,0.026471
0.0,1,0.026565
0.0,15,0.027039
0.0,10,0.027392
0.0,9,0.027706
0.0,6,0.027941
0.0,18,0.028515
0.0,5,0.028733
0.0,5,0.028942
0.0,5,0.029154
0.0,3,0.029315
