#{"t_start": 1523121861.1775677, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.003215
0.0,3,0.003534
0.0,2,0.00377
0.0,2,0.004005
0.0,2,0.00425
0.0,14,0.005279
0.0,17,0.006509
0.0,15,0.007599
0.0,5,0.008027
0.0,5,0.00848
0.0,14,0.009508
0.0,15,0.010599
0.0,12,0.011497
0.0,21,0.012805
0.0,18,0.013667
0.0,5,0.013952
0.0,5,0.014246
0.0,10,0.01475
0.0,6,0.015076
0.0,2,0.015244
0.0,8,0.015661
0.0,1,0.01577
0.0,22,0.016799
0.0,5,0.017087
0.0,3,0.017295
0.0,12,0.017878
0.0,12,0.018476
0.0,8,0.018889
0.0,6,0.01922
0.0,4,0.019477
0.0,18,0.020348
0.0,6,0.020684
0.0,3,0.020881
0.0,3,0.021077
0.0,4,0.021328
0.0,8,0.021746
0.0,14,0.022438
0.0,12,0.023026
0.0,5,0.023322
0.0,9,0.023788
0.0,8,0.024209
0.0,15,0.024933
0.0,16,0.025703
0.0,6,0.026036
0.0,11,0.026595
0.0,7,0.026966
0.0,1,0.027075
0.0,3,0.027286
0.0,15,0.028008
0.0,5,0.028307
0.0,1,0.028417
1.0,7,0.028787
0.0,5,0.029073
0.0,9,0.029546
0.0,17,0.030359
0.0,1,0.030472
0.0,1,0.030583
0.0,3,0.03078
0.0,3,0.030976
0.0,9,0.031445
0.0,12,0.032031
0.0,5,0.032335
0.0,4,0.032576
0.0,2,0.032732
0.0,3,0.032933
0.0,13,0.033576
0.0,11,0.03412
0.0,18,0.034979
0.0,6,0.035322
0.0,5,0.03561
0.0,11,0.036156
0.0,20,0.037097
0.0,13,0.037739
0.0,22,0.038787
0.0,18,0.039646
0.0,5,0.039931
0.0,1,0.040043
0.0,5,0.04034
0.0,3,0.040542
0.0,15,0.041268
0.0,8,0.041684
0.0,3,0.041882
0.0,17,0.042699
0.0,4,0.042939
0.0,4,0.043179
0.0,7,0.043557
0.0,17,0.044364
0.0,25,0.04552
0.0,6,0.04585
0.0,11,0.046403
0.0,16,0.047158
0.0,7,0.047541
0.0,3,0.047738
0.0,5,0.048025
0.0,2,0.048178
0.0,1,0.048299
1.0,10,0.048799
0.0,1,0.048907
0.0,9,0.049375
0.0,3,0.049577
0.0,20,0.050524
0.0,11,0.051076
0.0,8,0.051501
0.0,3,0.051699
0.0,2,0.051855
0.0,5,0.05214
0.0,8,0.052573
0.0,5,0.052864
0.0,4,0.053108
0.0,10,0.053623
0.0,4,0.053868
0.0,32,0.055339
0.0,14,0.056011
0.0,16,0.056783
0.0,5,0.057068
0.0,2,0.057227
0.0,6,0.057566
0.0,3,0.057767
0.0,7,0.058136
0.0,15,0.058867
0.0,10,0.059379
0.0,6,0.059711
0.0,14,0.060399
0.0,41,0.062256
0.0,4,0.062499
0.0,10,0.063002
0.0,4,0.063257
0.0,3,0.06346
0.0,6,0.063792
0.0,21,0.06478
0.0,6,0.065109
0.0,7,0.06549
0.0,4,0.065732
0.0,14,0.066418
1.0,6,0.066749
0.0,7,0.067116
0.0,4,0.06737
0.0,6,0.067702
0.0,3,0.067899
0.0,4,0.068144
0.0,4,0.068396
0.0,13,0.069024
0.0,3,0.06922
0.0,5,0.069518
0.0,7,0.069885
0.0,3,0.070086
0.0,6,0.070424
