#{"t_start": 1523126826.4310465, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.034292
0.0,1,0.034503
0.0,11,0.03531
0.0,8,0.035937
0.0,3,0.036231
0.0,17,0.037161
0.0,44,0.03911
0.0,4,0.039351
0.0,42,0.041213
0.0,3,0.041423
0.0,11,0.041956
0.0,14,0.042625
0.0,14,0.043287
0.0,31,0.04468
0.0,18,0.045521
0.0,6,0.045842
0.0,38,0.047533
0.0,5,0.047817
0.0,11,0.048352
0.0,1,0.048472
0.0,8,0.048881
0.0,6,0.049205
0.0,4,0.049456
0.0,2,0.049609
0.0,27,0.050829
0.0,13,0.051461
0.0,6,0.051785
0.0,8,0.052189
0.0,9,0.052652
0.0,21,0.053619
0.0,16,0.054363
0.0,9,0.054822
0.0,1,0.054933
0.0,11,0.055479
0.0,1,0.055589
0.0,1,0.0557
0.0,1,0.055808
0.0,6,0.05613
0.0,7,0.056519
0.0,5,0.0568
0.0,1,0.05691
0.0,1,0.057018
0.0,6,0.05734
0.0,10,0.057841
0.0,25,0.058977
0.0,14,0.059647
0.0,4,0.059886
0.0,12,0.060476
0.0,10,0.060969
0.0,22,0.061977
0.0,28,0.06325
0.0,7,0.063628
0.0,20,0.064558
0.0,26,0.065733
0.0,13,0.066354
0.0,9,0.066821
0.0,13,0.067455
0.0,16,0.068197
0.0,9,0.06866
0.0,3,0.068859
0.0,10,0.069352
0.0,15,0.070061
0.0,4,0.070302
0.0,8,0.070717
0.0,5,0.071001
0.0,6,0.071322
0.0,6,0.071656
0.0,4,0.071898
0.0,25,0.07303
0.0,9,0.073491
0.0,8,0.073901
0.0,1,0.074011
0.0,8,0.07443
1.0,25,0.075564
0.0,12,0.076141
0.0,32,0.077585
0.0,9,0.078036
0.0,11,0.078583
0.0,1,0.078694
0.0,4,0.078934
0.0,9,0.079392
0.0,10,0.079883
0.0,34,0.081406
0.0,12,0.081985
0.0,11,0.082531
1.0,9,0.082978
1.0,21,0.083944
0.0,19,0.08482
0.0,5,0.085103
0.0,8,0.085524
0.0,4,0.085765
0.0,3,0.085961
0.0,3,0.086155
0.0,4,0.086408
0.0,3,0.086606
0.0,3,0.086802
0.0,19,0.087682
0.0,3,0.087881
0.0,3,0.088075
0.0,9,0.088533
0.0,7,0.088899
0.0,3,0.089093
0.0,3,0.089289
0.0,2,0.089453
0.0,5,0.089734
0.0,17,0.090539
0.0,6,0.090861
1.0,42,0.092717
0.0,5,0.093001
0.0,8,0.093422
1.0,10,0.093918
0.0,3,0.094112
0.0,20,0.095038
0.0,12,0.09563
0.0,6,0.095954
1.0,17,0.096758
0.0,22,0.097771
0.0,15,0.098482
0.0,5,0.098764
0.0,8,0.099169
0.0,7,0.099544
0.0,2,0.0997
0.0,5,0.099978
0.0,4,0.100214
0.0,1,0.100322
0.0,11,0.100867
0.0,3,0.101063
0.0,4,0.101304
0.0,3,0.101509
0.0,1,0.10162
0.0,9,0.102067
0.0,7,0.10244
0.0,3,0.102639
0.0,3,0.102835
0.0,3,0.103029
1.0,26,0.104203
0.0,8,0.104623
0.0,1,0.104732
0.0,1,0.10484
0.0,25,0.105971
0.0,12,0.106562
0.0,9,0.107009
0.0,30,0.108355
0.0,38,0.110034
0.0,4,0.110272
0.0,1,0.11039
0.0,9,0.110842
0.0,4,0.111078
0.0,22,0.112083
0.0,12,0.112678
0.0,21,0.113649
0.0,13,0.114267
0.0,2,0.114432
0.0,2,0.114588
0.0,4,0.114825
0.0,1,0.114933
0.0,2,0.115087
0.0,7,0.115463
0.0,23,0.116516
0.0,9,0.116962
0.0,19,0.117841
0.0,8,0.11825
0.0,19,0.119136
0.0,9,0.119596
0.0,3,0.119792
0.0,8,0.120196
0.0,3,0.120404
0.0,6,0.120728
0.0,13,0.121346
0.0,11,0.121889
0.0,14,0.122563
0.0,18,0.123399
0.0,8,0.123806
0.0,7,0.124169
0.0,9,0.124635
0.0,2,0.124789
0.0,1,0.124897
0.0,1,0.125004
0.0,6,0.125325
0.0,11,0.125865
0.0,6,0.126189
0.0,1,0.126297
0.0,5,0.126594
0.0,6,0.12692
0.0,5,0.1272
0.0,7,0.127573
0.0,4,0.127812
0.0,5,0.128091
0.0,12,0.128675
0.0,1,0.128787
0.0,11,0.129318
0.0,29,0.130634
0.0,13,0.131251
0.0,3,0.131458
0.0,10,0.13195
