#{"t_start": 1523126144.5693626, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.007233
0.0,100,0.009481
0.0,13,0.009841
0.0,42,0.010737
0.0,56,0.012039
0.0,23,0.012576
0.0,27,0.013199
0.0,2,0.013306
0.0,100,0.015507
0.0,16,0.015917
0.0,27,0.016518
0.0,2,0.016622
0.0,2,0.016725
0.0,38,0.017605
0.0,100,0.019718
0.0,83,0.021429
0.0,91,0.023317
0.0,45,0.024297
1.0,63,0.025649
0.0,50,0.026768
0.0,100,0.028864
1.0,9,0.029117
1.0,29,0.029777
0.0,12,0.030081
0.0,86,0.031871
0.0,4,0.032018
1.0,22,0.032525
1.0,17,0.032932
0.0,21,0.033415
0.0,1,0.033491
0.0,11,0.033788
0.0,37,0.034587
1.0,16,0.03498
0.0,11,0.03526
0.0,11,0.035547
0.0,52,0.036633
1.0,30,0.037304
0.0,100,0.039414
1.0,71,0.040883
1.0,61,0.042141
1.0,14,0.042483
0.0,1,0.042561
0.0,12,0.042879
1.0,76,0.044434
0.0,19,0.044903
1.0,21,0.045369
0.0,22,0.045892
1.0,51,0.047034
1.0,22,0.04756
0.0,15,0.047965
1.0,34,0.048723
0.0,3,0.048849
1.0,48,0.049887
0.0,50,0.050966
1.0,46,0.051944
0.0,39,0.052797
0.0,6,0.053008
0.0,42,0.053956
1.0,61,0.055259
1.0,62,0.056625
1.0,16,0.057057
0.0,9,0.057318
1.0,32,0.058071
1.0,47,0.059111
0.0,7,0.059307
0.0,7,0.059508
0.0,95,0.061465
0.0,2,0.06157
1.0,11,0.06189
0.0,22,0.062415
1.0,34,0.063188
1.0,55,0.064369
1.0,70,0.065845
0.0,21,0.066333
0.0,47,0.067334
1.0,23,0.067874
0.0,12,0.068197
0.0,50,0.069256
1.0,93,0.071168
1.0,35,0.071944
1.0,19,0.072407
1.0,15,0.072776
0.0,5,0.072936
1.0,27,0.073549
0.0,15,0.073906
0.0,19,0.074354
1.0,33,0.0751
0.0,24,0.075641
0.0,6,0.075835
1.0,27,0.076427
0.0,13,0.076743
0.0,34,0.077546
0.0,1,0.077625
1.0,29,0.078323
0.0,25,0.078911
0.0,100,0.080969
0.0,2,0.081071
0.0,3,0.081196
0.0,2,0.081293
1.0,54,0.082437
0.0,30,0.083117
1.0,89,0.085009
1.0,31,0.085695
1.0,15,0.086067
0.0,4,0.086212
0.0,25,0.086818
0.0,100,0.088893
0.0,11,0.089177
0.0,52,0.090294
0.0,33,0.091032
0.0,4,0.091173
0.0,21,0.091659
0.0,63,0.093009
0.0,31,0.093686
0.0,12,0.094005
1.0,45,0.09498
0.0,10,0.095246
1.0,16,0.095626
0.0,46,0.096606
1.0,79,0.098306
0.0,1,0.098383
0.0,15,0.098756
0.0,6,0.09894
1.0,22,0.09944
0.0,100,0.10149
0.0,38,0.102319
0.0,33,0.103055
1.0,32,0.103775
0.0,33,0.104504
1.0,21,0.105027
1.0,59,0.106293
0.0,2,0.106395
1.0,16,0.106815
0.0,100,0.108915
0.0,15,0.109412
1.0,76,0.111166
0.0,4,0.111322
1.0,13,0.111658
1.0,33,0.112427
0.0,39,0.113341
1.0,60,0.114619
0.0,33,0.115346
0.0,15,0.115731
0.0,1,0.115832
0.0,7,0.116051
0.0,41,0.116991
1.0,27,0.117608
1.0,44,0.118565
0.0,6,0.118778
0.0,18,0.119247
1.0,14,0.119592
0.0,12,0.119931
0.0,4,0.120097
0.0,11,0.120377
0.0,49,0.121441
0.0,17,0.121891
0.0,40,0.122804
1.0,22,0.12333
0.0,3,0.123448
0.0,42,0.12436
0.0,29,0.125054
0.0,22,0.125572
0.0,29,0.126278
0.0,61,0.127552
0.0,4,0.127695
0.0,12,0.128041
0.0,22,0.128547
0.0,32,0.129297
1.0,58,0.130529
1.0,16,0.130944
0.0,4,0.131102
0.0,5,0.131264
0.0,16,0.131637
1.0,33,0.132411
0.0,46,0.133421
1.0,86,0.135203
0.0,30,0.135906
1.0,8,0.136126
1.0,23,0.136655
0.0,1,0.136734
0.0,58,0.137982
1.0,41,0.138871
1.0,41,0.139745
1.0,34,0.140481
0.0,5,0.140635
0.0,47,0.14162
1.0,41,0.142517
0.0,33,0.143257
0.0,36,0.14405
0.0,19,0.144482
0.0,20,0.144946
0.0,78,0.146543
0.0,14,0.146909
0.0,23,0.14743
0.0,14,0.147783
0.0,9,0.148026
0.0,43,0.148955
1.0,7,0.149161
1.0,32,0.149861
0.0,18,0.150287
1.0,21,0.150771
1.0,23,0.151294
0.0,64,0.152637
1.0,11,0.152926
0.0,3,0.153049
1.0,48,0.154064
0.0,99,0.156166
1.0,52,0.157268
0.0,3,0.157391
1.0,32,0.158088
0.0,69,0.15953
0.0,18,0.159969
0.0,9,0.160208
0.0,12,0.160513
0.0,100,0.162671
0.0,2,0.162794
0.0,7,0.163007
0.0,39,0.163855
1.0,48,0.164884
0.0,34,0.165638
0.0,1,0.165713
0.0,1,0.165795
0.0,80,0.167452
0.0,53,0.168579
0.0,40,0.169431
1.0,23,0.169969
0.0,1,0.17005
0.0,20,0.170522
1.0,38,0.171359
0.0,22,0.171872
0.0,1,0.171954
0.0,12,0.172263
0.0,1,0.172343
0.0,44,0.173287
0.0,67,0.174713
1.0,73,0.176288
0.0,28,0.176921
0.0,3,0.177052
1.0,53,0.1782
0.0,4,0.178343
0.0,9,0.178582
1.0,46,0.179575
1.0,94,0.18154
1.0,23,0.182065
0.0,98,0.184097
0.0,6,0.184281
1.0,42,0.185188
0.0,7,0.1854
1.0,22,0.185909
0.0,12,0.186217
1.0,23,0.186731
1.0,8,0.186957
1.0,19,0.187388
0.0,40,0.188262
0.0,41,0.18914
1.0,26,0.189726
1.0,27,0.190319
1.0,51,0.191395
1.0,45,0.192376
1.0,85,0.194169
1.0,83,0.196
1.0,23,0.196527
1.0,26,0.197166
0.0,41,0.198111
0.0,10,0.198377
0.0,16,0.198772
0.0,1,0.198851
0.0,9,0.199096
1.0,85,0.200933
0.0,45,0.201909
0.0,2,0.202014
0.0,52,0.203124
0.0,100,0.2052
0.0,26,0.205793
0.0,21,0.206314
0.0,5,0.206474
0.0,48,0.207495
1.0,15,0.207877
1.0,25,0.208443
1.0,59,0.209693
1.0,43,0.210776
0.0,52,0.211968
0.0,27,0.212605
1.0,18,0.213042
0.0,10,0.2133
