#{"t_start": 1522229715.2098212, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,68,0.016728
0.0,15,0.017842
0.0,5,0.018278
0.0,4,0.018645
0.0,87,0.022964
0.0,81,0.026572
0.0,3,0.026788
0.0,19,0.027691
0.0,7,0.028078
0.0,18,0.028949
0.0,53,0.031342
0.0,32,0.032831
0.0,53,0.035219
0.0,3,0.035423
0.0,70,0.03856
0.0,13,0.039211
0.0,34,0.040798
0.0,6,0.041133
0.0,42,0.043039
0.0,14,0.043732
0.0,16,0.0445
0.0,17,0.045331
0.0,49,0.047559
0.0,60,0.050282
0.0,42,0.052195
0.0,100,0.056636
0.0,36,0.0583
0.0,9,0.058776
0.0,18,0.059631
0.0,6,0.059979
0.0,10,0.060489
0.0,5,0.060789
0.0,11,0.06134
0.0,3,0.061539
0.0,7,0.061923
0.0,1,0.062035
0.0,3,0.062235
0.0,11,0.062793
0.0,31,0.064222
0.0,16,0.065
0.0,9,0.065465
0.0,14,0.066151
0.0,23,0.067233
0.0,19,0.068144
0.0,20,0.069102
0.0,90,0.073129
0.0,24,0.074252
0.0,55,0.076738
0.0,1,0.076851
0.0,3,0.07705
0.0,8,0.077466
0.0,4,0.077711
1.0,11,0.078274
0.0,6,0.078607
0.0,29,0.079968
0.0,49,0.082189
0.0,11,0.082751
0.0,49,0.084972
0.0,57,0.087532
0.0,29,0.08889
0.0,58,0.091497
0.0,31,0.092936
0.0,35,0.09454
0.0,44,0.096539
0.0,35,0.098146
0.0,8,0.098568
0.0,7,0.098955
0.0,12,0.099547
0.0,35,0.101157
0.0,41,0.103033
0.0,9,0.103495
0.0,98,0.107839
0.0,32,0.109313
0.0,81,0.11296
0.0,46,0.115113
0.0,20,0.116067
0.0,75,0.119428
0.0,50,0.121691
0.0,9,0.122161
0.0,35,0.123762
0.0,100,0.128203
0.0,8,0.128625
0.0,23,0.129702
0.0,7,0.130091
0.0,16,0.130867
0.0,32,0.132338
0.0,27,0.133585
0.0,5,0.133887
0.0,23,0.134967
0.0,36,0.136607
1.0,26,0.137833
0.0,2,0.137989
0.0,72,0.141211
0.0,10,0.141724
0.0,10,0.142231
0.0,100,0.146668
0.0,4,0.146925
0.0,31,0.148346
0.0,2,0.148505
0.0,18,0.149365
0.0,1,0.149477
0.0,29,0.15083
0.0,8,0.151253
0.0,53,0.153631
0.0,33,0.155158
0.0,9,0.155626
0.0,43,0.157581
0.0,100,0.16202
0.0,8,0.162441
0.0,3,0.162643
0.0,8,0.163074
0.0,2,0.163234
0.0,1,0.163343
0.0,68,0.166389
0.0,11,0.166947
0.0,15,0.167668
0.0,3,0.167875
0.0,2,0.168031
0.0,28,0.169323
0.0,17,0.170149
0.0,1,0.17026
0.0,1,0.170373
0.0,2,0.170529
0.0,21,0.171515
0.0,25,0.172676
0.0,8,0.173101
0.0,6,0.173434
0.0,9,0.173907
0.0,3,0.174107
0.0,17,0.174927
0.0,6,0.175259
0.0,22,0.176289
0.0,6,0.176623
0.0,9,0.177096
0.0,45,0.179142
0.0,15,0.179878
0.0,4,0.180125
1.0,16,0.180899
0.0,4,0.181147
0.0,16,0.181919
0.0,27,0.183173
0.0,9,0.183631
0.0,9,0.184099
0.0,26,0.185301
0.0,7,0.185676
0.0,26,0.186888
0.0,5,0.187178
0.0,12,0.187778
0.0,1,0.18789
1.0,13,0.188524
0.0,11,0.189083
0.0,4,0.189327
0.0,5,0.189611
0.0,2,0.189783
0.0,4,0.190029
0.0,21,0.191016
0.0,5,0.191307
0.0,10,0.191819
0.0,11,0.192369
0.0,2,0.192524
0.0,18,0.193379
0.0,24,0.194506
0.0,6,0.194846
0.0,10,0.195351
0.0,9,0.195821
0.0,16,0.19658
0.0,20,0.197522
0.0,4,0.197779
0.0,11,0.198322
0.0,14,0.199008
0.0,6,0.199337
1.0,34,0.200906
0.0,20,0.201851
1.0,47,0.203972
0.0,12,0.204563
0.0,17,0.205382
1.0,20,0.20633
0.0,8,0.206758
0.0,24,0.207877
1.0,21,0.208866
0.0,8,0.209283
0.0,3,0.209484
0.0,4,0.20974
1.0,12,0.210331
0.0,21,0.211317
0.0,1,0.211432
0.0,28,0.212728
0.0,27,0.213975
0.0,19,0.214937
0.0,16,0.215698
1.0,10,0.21621
0.0,7,0.216581
0.0,21,0.217566
0.0,12,0.218165
0.0,5,0.218455
0.0,1,0.218566
0.0,9,0.219035
0.0,2,0.219191
0.0,9,0.219644
0.0,6,0.219987
0.0,33,0.22149
0.0,5,0.221789
0.0,10,0.222297
0.0,3,0.222494
0.0,3,0.222694
0.0,10,0.22321
0.0,7,0.22358
0.0,7,0.223965
1.0,35,0.225557
0.0,4,0.225813
0.0,7,0.226187
0.0,6,0.226513
0.0,10,0.227026
0.0,6,0.227358
1.0,24,0.228471
0.0,33,0.229993
0.0,38,0.231704
0.0,13,0.23235
0.0,20,0.233297
0.0,44,0.235282
1.0,40,0.237106
0.0,17,0.237922
0.0,24,0.239039
0.0,20,0.239991
0.0,1,0.240102
0.0,8,0.240519
0.0,10,0.24103
0.0,8,0.241447
0.0,6,0.241786
0.0,19,0.242678
0.0,7,0.243057
0.0,18,0.243917
0.0,17,0.244724
0.0,1,0.244838
0.0,20,0.245783
0.0,1,0.245895
0.0,1,0.246006
0.0,17,0.24682
1.0,25,0.24798
0.0,2,0.248138
0.0,5,0.248422
0.0,16,0.249194
1.0,16,0.249977
0.0,2,0.250135
0.0,27,0.251383
0.0,1,0.251513
0.0,35,0.25311
0.0,8,0.253529
0.0,5,0.253828
1.0,22,0.254869
0.0,4,0.255116
0.0,8,0.255532
0.0,8,0.25596
0.0,24,0.257081
1.0,27,0.25833
0.0,10,0.258847
0.0,5,0.259135
0.0,1,0.259248
0.0,8,0.259668
0.0,7,0.260054
0.0,5,0.260342
0.0,10,0.260857
0.0,7,0.261231
1.0,18,0.262094
0.0,19,0.262996
0.0,1,0.263108
0.0,24,0.264228
0.0,21,0.265218
0.0,14,0.265903
0.0,24,0.267013
