#{"t_start": 1522232595.2998786, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.022414
0.0,3,0.022717
0.0,4,0.023078
0.0,10,0.023851
0.0,7,0.024431
0.0,6,0.024925
0.0,12,0.025815
0.0,7,0.026384
0.0,5,0.026669
0.0,9,0.027122
0.0,8,0.027547
0.0,8,0.027961
0.0,12,0.028553
0.0,12,0.029137
0.0,18,0.029984
0.0,26,0.031193
0.0,9,0.031651
0.0,15,0.032376
0.0,27,0.033613
0.0,4,0.033858
0.0,17,0.034665
0.0,4,0.034909
0.0,26,0.036111
0.0,13,0.036761
0.0,13,0.0374
0.0,10,0.037898
1.0,10,0.038411
0.0,1,0.03852
0.0,7,0.03889
0.0,4,0.039128
0.0,11,0.039677
0.0,7,0.040045
0.0,4,0.040298
0.0,8,0.040711
0.0,16,0.04148
1.0,16,0.042249
0.0,2,0.042407
0.0,3,0.042603
1.0,13,0.043243
0.0,3,0.043445
0.0,5,0.043729
0.0,7,0.044103
0.0,3,0.04431
0.0,10,0.044807
1.0,12,0.045403
0.0,7,0.045771
1.0,15,0.046509
0.0,6,0.046838
0.0,5,0.047121
0.0,32,0.048582
0.0,17,0.049397
0.0,21,0.050383
1.0,18,0.051239
0.0,5,0.051523
0.0,39,0.053287
0.0,18,0.054133
0.0,5,0.054425
0.0,2,0.054579
0.0,33,0.056077
0.0,5,0.056384
0.0,9,0.056839
0.0,3,0.057036
0.0,10,0.05755
0.0,10,0.058051
0.0,1,0.05817
0.0,3,0.058371
0.0,9,0.058826
0.0,4,0.059067
0.0,15,0.059789
0.0,22,0.060814
0.0,15,0.061543
0.0,15,0.062274
0.0,5,0.062561
0.0,7,0.062935
0.0,22,0.063963
0.0,42,0.065855
0.0,3,0.066057
0.0,4,0.066316
0.0,1,0.066426
0.0,1,0.066533
1.0,13,0.06716
0.0,4,0.067414
0.0,7,0.067789
0.0,11,0.068341
0.0,1,0.068452
0.0,11,0.068995
0.0,5,0.069291
0.0,3,0.069492
0.0,22,0.070513
0.0,15,0.071246
0.0,8,0.07166
0.0,15,0.072381
0.0,6,0.072706
0.0,5,0.072991
0.0,4,0.073243
0.0,5,0.07353
0.0,8,0.07394
0.0,52,0.076277
0.0,4,0.076521
0.0,12,0.077101
0.0,8,0.077529
1.0,14,0.078211
0.0,19,0.079104
0.0,1,0.079223
1.0,15,0.079943
0.0,22,0.080972
0.0,17,0.081785
1.0,35,0.083382
0.0,20,0.084324
1.0,7,0.084694
1.0,14,0.085373
0.0,4,0.085615
0.0,13,0.086259
0.0,18,0.087098
0.0,3,0.087306
0.0,17,0.08811
1.0,15,0.08883
0.0,3,0.089027
0.0,5,0.089326
0.0,7,0.089695
0.0,1,0.089806
1.0,18,0.090653
0.0,15,0.091378
0.0,6,0.091706
0.0,3,0.091905
0.0,22,0.092933
0.0,9,0.093403
1.0,33,0.094897
0.0,15,0.095621
0.0,6,0.09595
1.0,7,0.096341
0.0,4,0.096581
0.0,6,0.096911
0.0,14,0.097589
1.0,47,0.099692
1.0,30,0.101066
0.0,6,0.101405
0.0,9,0.101861
0.0,6,0.102198
0.0,11,0.102739
0.0,2,0.102894
0.0,18,0.103739
0.0,21,0.104718
0.0,28,0.106004
0.0,3,0.10622
0.0,2,0.106377
0.0,9,0.106831
0.0,6,0.107155
0.0,7,0.107538
0.0,4,0.10778
0.0,12,0.108372
0.0,41,0.110225
0.0,3,0.110425
0.0,16,0.111184
0.0,4,0.111424
0.0,5,0.111708
0.0,6,0.112036
0.0,2,0.1122
0.0,3,0.1124
0.0,10,0.112897
0.0,5,0.113189
0.0,6,0.113517
1.0,27,0.114752
1.0,38,0.116468
0.0,12,0.117058
0.0,34,0.118609
0.0,4,0.118851
0.0,32,0.120315
0.0,9,0.120773
1.0,57,0.123312
0.0,94,0.127518
0.0,24,0.128626
0.0,14,0.129309
1.0,24,0.130416
1.0,7,0.130785
0.0,1,0.130895
1.0,28,0.132174
1.0,25,0.133323
0.0,27,0.134552
0.0,14,0.135234
0.0,51,0.137502
0.0,23,0.138577
1.0,8,0.13899
0.0,19,0.139881
1.0,24,0.140991
0.0,4,0.141243
0.0,1,0.141352
0.0,8,0.141761
0.0,16,0.142524
0.0,1,0.142634
0.0,5,0.142917
0.0,10,0.143426
0.0,7,0.143797
0.0,8,0.144224
0.0,6,0.144554
0.0,1,0.144664
1.0,16,0.14543
0.0,9,0.145885
0.0,15,0.146615
0.0,15,0.14734
0.0,4,0.147578
1.0,10,0.148072
0.0,8,0.148498
0.0,2,0.148652
1.0,23,0.149712
0.0,1,0.14982
0.0,9,0.150286
0.0,7,0.150653
0.0,5,0.150936
1.0,18,0.15179
0.0,2,0.151943
0.0,8,0.152367
