#{"t_start": 1523124653.7554717, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.006692
0.0,100,0.008853
0.0,23,0.009372
0.0,9,0.009609
0.0,96,0.011649
0.0,24,0.012196
0.0,12,0.0125
0.0,14,0.012859
0.0,6,0.01304
0.0,12,0.013343
0.0,43,0.014272
0.0,14,0.014631
0.0,13,0.014967
0.0,6,0.015148
0.0,5,0.015305
0.0,8,0.015519
0.0,2,0.01562
0.0,10,0.015889
0.0,35,0.016659
0.0,36,0.017441
0.0,1,0.017516
0.0,5,0.017701
0.0,13,0.018029
0.0,1,0.018108
0.0,12,0.01841
0.0,100,0.020436
0.0,2,0.02054
0.0,49,0.021577
0.0,1,0.021663
0.0,1,0.02174
0.0,1,0.021813
0.0,3,0.02193
0.0,1,0.022002
0.0,14,0.022345
0.0,4,0.022485
0.0,8,0.022743
0.0,1,0.022824
0.0,1,0.022907
0.0,3,0.023043
0.0,1,0.023116
0.0,1,0.023189
0.0,1,0.023261
0.0,3,0.023384
0.0,12,0.023719
0.0,16,0.024132
0.0,89,0.025968
0.0,43,0.026905
0.0,9,0.027163
0.0,36,0.027975
0.0,82,0.029695
0.0,9,0.02995
0.0,15,0.030312
0.0,20,0.030786
0.0,13,0.03112
0.0,52,0.032212
0.0,13,0.032539
0.0,72,0.034064
0.0,5,0.034234
0.0,5,0.034393
0.0,30,0.035074
0.0,21,0.035548
0.0,11,0.035847
0.0,33,0.036576
0.0,76,0.038165
0.0,100,0.040321
0.0,37,0.041144
0.0,28,0.041778
0.0,23,0.042302
0.0,70,0.043754
0.0,47,0.044754
0.0,17,0.045166
0.0,26,0.045764
0.0,33,0.046483
0.0,5,0.046662
0.0,19,0.04711
0.0,8,0.047333
0.0,63,0.048667
0.0,46,0.049628
0.0,41,0.050521
0.0,25,0.051146
0.0,1,0.051228
0.0,48,0.05232
0.0,1,0.052401
0.0,31,0.0531
0.0,100,0.055191
0.0,2,0.055294
0.0,6,0.055473
0.0,1,0.055547
0.0,2,0.05565
0.0,33,0.056401
0.0,7,0.05661
0.0,7,0.056831
0.0,12,0.057143
0.0,8,0.057364
0.0,14,0.057732
0.0,3,0.057861
0.0,11,0.058151
0.0,17,0.058559
0.0,31,0.05924
0.0,100,0.061305
0.0,13,0.061655
0.0,41,0.062548
0.0,58,0.063783
0.0,83,0.065479
0.0,38,0.066315
0.0,1,0.066394
0.0,74,0.067959
0.0,5,0.068131
0.0,1,0.068206
0.0,46,0.069201
0.0,21,0.069707
0.0,31,0.070395
0.0,1,0.070475
0.0,11,0.070771
0.0,32,0.071472
0.0,13,0.071805
0.0,64,0.07317
0.0,10,0.073446
0.0,5,0.073616
0.0,15,0.073994
0.0,29,0.074661
0.0,10,0.074933
0.0,41,0.075814
0.0,84,0.077564
0.0,1,0.077654
0.0,78,0.079296
0.0,20,0.079803
0.0,61,0.081121
0.0,21,0.081613
0.0,46,0.082599
0.0,26,0.083208
0.0,18,0.083637
0.0,24,0.084195
0.0,100,0.086276
0.0,20,0.086766
0.0,17,0.087181
0.0,4,0.08733
0.0,16,0.087729
0.0,2,0.087835
0.0,17,0.088229
0.0,15,0.088582
0.0,18,0.089008
0.0,2,0.089107
0.0,6,0.089281
0.0,6,0.089456
0.0,9,0.089729
0.0,1,0.089824
0.0,5,0.090008
0.0,7,0.090223
0.0,5,0.090392
0.0,13,0.090739
0.0,38,0.091592
0.0,3,0.091727
0.0,19,0.092179
0.0,11,0.092455
0.0,14,0.092835
0.0,3,0.092974
0.0,1,0.093051
0.0,24,0.093602
0.0,54,0.094764
0.0,10,0.095021
0.0,34,0.095801
0.0,8,0.096048
0.0,19,0.096493
0.0,7,0.096712
0.0,19,0.097163
0.0,49,0.098222
0.0,26,0.09882
0.0,62,0.100143
