#{"t_start": 1523124450.1552663, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.034207
0.0,4,0.034529
0.0,3,0.034729
0.0,21,0.035728
0.0,7,0.036116
0.0,22,0.037148
0.0,1,0.037262
0.0,11,0.037807
0.0,12,0.038401
0.0,10,0.038903
0.0,8,0.03933
0.0,31,0.040751
0.0,25,0.041899
0.0,11,0.042456
0.0,24,0.043576
0.0,30,0.044946
0.0,22,0.045971
0.0,21,0.046956
0.0,3,0.047168
0.0,53,0.049524
0.0,15,0.050256
0.0,23,0.051328
0.0,15,0.052052
0.0,20,0.052977
0.0,7,0.05336
0.0,9,0.053818
0.0,11,0.054374
0.0,14,0.055059
0.0,24,0.056173
0.0,14,0.05685
0.0,8,0.057278
0.0,10,0.057779
0.0,3,0.057977
0.0,40,0.059783
0.0,27,0.061047
0.0,28,0.062333
0.0,7,0.062706
0.0,31,0.064132
0.0,26,0.065329
0.0,1,0.065443
0.0,41,0.067302
0.0,13,0.067931
0.0,6,0.068271
0.0,5,0.068556
0.0,24,0.069666
0.0,13,0.070307
0.0,1,0.07042
0.0,6,0.07075
0.0,23,0.071822
0.0,13,0.072466
0.0,28,0.073762
0.0,29,0.075105
0.0,8,0.07552
0.0,6,0.07585
1.0,23,0.076919
0.0,2,0.077086
0.0,5,0.077375
0.0,100,0.081791
0.0,9,0.082267
0.0,6,0.0826
0.0,10,0.08312
0.0,25,0.084282
0.0,2,0.084439
0.0,8,0.084856
0.0,1,0.084968
0.0,6,0.085317
0.0,19,0.086215
0.0,4,0.086462
0.0,4,0.086706
0.0,10,0.087215
0.0,9,0.087677
0.0,12,0.088273
0.0,30,0.08965
0.0,13,0.090297
0.0,13,0.090929
0.0,15,0.091656
0.0,6,0.091989
0.0,31,0.093421
0.0,11,0.093967
0.0,14,0.094648
0.0,28,0.095937
0.0,9,0.096412
0.0,24,0.097528
0.0,17,0.09835
0.0,3,0.098552
0.0,7,0.098923
0.0,4,0.099178
0.0,48,0.101334
0.0,12,0.101922
0.0,48,0.104096
0.0,17,0.104897
0.0,14,0.105585
0.0,19,0.106489
0.0,2,0.106646
0.0,27,0.107886
0.0,17,0.108699
0.0,12,0.109296
0.0,1,0.109407
0.0,17,0.110219
0.0,3,0.110417
0.0,23,0.111489
0.0,13,0.112128
0.0,9,0.112584
0.0,13,0.113231
0.0,26,0.114433
0.0,15,0.115162
0.0,7,0.115536
0.0,8,0.115954
0.0,6,0.116296
0.0,19,0.117197
0.0,16,0.117957
0.0,49,0.120161
0.0,5,0.120451
0.0,1,0.120561
