#{"t_start": 1523119577.0699825, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,6,0.00643
0.0,5,0.006672
0.0,6,0.006911
0.0,3,0.007067
0.0,10,0.007415
0.0,12,0.007834
0.0,11,0.008198
0.0,1,0.008294
0.0,8,0.008589
0.0,12,0.008985
0.0,4,0.009166
0.0,3,0.009323
0.0,21,0.009987
0.0,18,0.010567
0.0,4,0.010744
0.0,18,0.011313
0.0,13,0.011735
0.0,4,0.01191
0.0,8,0.012199
0.0,3,0.012346
0.0,1,0.01244
0.0,3,0.0126
0.0,2,0.012721
0.0,1,0.01281
0.0,24,0.01354
0.0,11,0.013921
0.0,8,0.014208
0.0,6,0.014434
0.0,1,0.014522
0.0,5,0.014735
0.0,11,0.015109
0.0,12,0.015511
0.0,2,0.015645
0.0,6,0.015883
0.0,11,0.016246
0.0,7,0.0165
0.0,15,0.016994
0.0,9,0.017304
0.0,10,0.017665
0.0,4,0.01784
0.0,6,0.018068
0.0,5,0.018268
0.0,1,0.018358
0.0,18,0.018922
0.0,27,0.019729
0.0,12,0.020135
0.0,8,0.020418
0.0,9,0.020739
0.0,2,0.020866
0.0,5,0.021071
0.0,2,0.021196
0.0,10,0.02155
0.0,7,0.021822
0.0,6,0.022058
0.0,1,0.022149
0.0,1,0.022238
0.0,7,0.022499
0.0,11,0.022885
0.0,48,0.024272
0.0,4,0.024457
0.0,5,0.024681
0.0,3,0.02483
0.0,1,0.02492
0.0,13,0.025336
0.0,3,0.025482
0.0,10,0.02584
0.0,11,0.026213
0.0,10,0.02657
0.0,3,0.026725
0.0,4,0.0269
0.0,8,0.027181
0.0,5,0.027389
0.0,14,0.027848
0.0,19,0.028448
0.0,4,0.028635
0.0,5,0.028849
0.0,4,0.029031
0.0,4,0.029205
0.0,12,0.029617
0.0,5,0.029826
0.0,17,0.030361
0.0,5,0.030581
0.0,5,0.030792
0.0,3,0.03094
0.0,9,0.03125
0.0,2,0.031374
0.0,18,0.031942
0.0,10,0.032296
0.0,13,0.032725
0.0,8,0.033019
0.0,13,0.033448
0.0,3,0.033606
0.0,3,0.033755
0.0,9,0.034065
0.0,12,0.034457
0.0,22,0.035136
0.0,3,0.035285
0.0,11,0.035655
0.0,4,0.03583
0.0,8,0.036112
0.0,13,0.036556
0.0,10,0.036911
0.0,2,0.037031
0.0,12,0.037434
0.0,17,0.037984
0.0,15,0.038464
0.0,12,0.038862
0.0,5,0.039068
0.0,4,0.039241
0.0,7,0.039495
0.0,2,0.03962
0.0,12,0.040016
0.0,8,0.040295
0.0,7,0.040567
0.0,14,0.041008
0.0,15,0.041489
0.0,24,0.042213
0.0,8,0.042496
0.0,3,0.042652
0.0,30,0.04354
0.0,9,0.043864
0.0,8,0.044153
0.0,4,0.044337
0.0,5,0.044547
0.0,9,0.044857
0.0,10,0.045198
0.0,16,0.04571
0.0,5,0.045916
0.0,9,0.046231
0.0,7,0.046493
0.0,2,0.046623
0.0,3,0.046771
0.0,4,0.046955
0.0,3,0.047102
0.0,7,0.047357
0.0,10,0.047702
0.0,13,0.048135
0.0,8,0.048415
0.0,12,0.04882
0.0,6,0.049055
0.0,1,0.049144
0.0,5,0.049345
0.0,5,0.049555
0.0,12,0.049954
0.0,4,0.050127
0.0,2,0.050253
0.0,13,0.050678
0.0,3,0.050827
0.0,21,0.051502
0.0,11,0.051883
0.0,1,0.051974
0.0,18,0.052585
0.0,4,0.052768
0.0,1,0.052858
0.0,6,0.053093
0.0,12,0.053487
0.0,3,0.053649
0.0,7,0.053915
0.0,3,0.054064
0.0,14,0.054516
0.0,3,0.054672
0.0,24,0.055392
0.0,3,0.055549
0.0,10,0.055885
0.0,3,0.056032
0.0,25,0.056795
0.0,7,0.057053
0.0,3,0.057198
0.0,14,0.057651
0.0,31,0.058564
0.0,39,0.059692
0.0,4,0.059868
0.0,29,0.060788
0.0,8,0.061071
0.0,1,0.061163
0.0,20,0.0618
0.0,14,0.06225
0.0,3,0.062404
0.0,7,0.062679
0.0,13,0.063096
0.0,3,0.063242
0.0,17,0.063774
1.0,11,0.064147
0.0,2,0.064266
0.0,5,0.064467
0.0,2,0.064598
0.0,10,0.064941
0.0,4,0.065115
1.0,9,0.065432
0.0,4,0.065624
0.0,8,0.065909
0.0,12,0.066308
0.0,7,0.066583
0.0,18,0.067129
0.0,14,0.067587
0.0,3,0.067737
0.0,3,0.067888
0.0,10,0.068231
0.0,7,0.06849
0.0,35,0.069524
0.0,3,0.069741
0.0,6,0.069972
0.0,22,0.070645
0.0,4,0.070827
0.0,41,0.071991
0.0,9,0.072313
0.0,7,0.072581
0.0,7,0.072842
0.0,4,0.073016
0.0,12,0.073413
0.0,11,0.073799
0.0,3,0.073955
0.0,5,0.074156
0.0,2,0.074274
0.0,3,0.07442
0.0,10,0.074767
0.0,13,0.075205
0.0,1,0.075296
0.0,13,0.075766
0.0,8,0.076061
0.0,5,0.076268
0.0,4,0.076447
0.0,8,0.076751
0.0,13,0.077173
0.0,4,0.077353
0.0,2,0.077477
0.0,9,0.077808
0.0,3,0.077955
0.0,6,0.078181
0.0,5,0.078388
0.0,15,0.078895
0.0,20,0.079507
0.0,2,0.079642
0.0,5,0.079844
0.0,7,0.080102
0.0,10,0.080445
0.0,2,0.080575
0.0,7,0.080838
0.0,2,0.080957
0.0,6,0.081184
0.0,4,0.081356
0.0,1,0.081444
0.0,6,0.081683
0.0,13,0.082113
0.0,7,0.082368
0.0,16,0.082883
0.0,12,0.083277
0.0,19,0.08388
0.0,7,0.084147
0.0,9,0.084455
0.0,5,0.084666
0.0,13,0.085096
0.0,7,0.085357
0.0,55,0.086932
0.0,30,0.087828
0.0,5,0.088039
0.0,8,0.08832
0.0,5,0.088533
0.0,6,0.088764
0.0,5,0.088964
0.0,8,0.089244
0.0,8,0.089543
0.0,10,0.089888
0.0,1,0.089978
0.0,12,0.090372
0.0,22,0.091043
0.0,12,0.09144
0.0,8,0.091741
0.0,8,0.092028
0.0,27,0.092854
0.0,3,0.093012
0.0,6,0.09325
0.0,4,0.093425
0.0,8,0.093726
0.0,2,0.093852
0.0,7,0.094119
0.0,10,0.094456
0.0,10,0.094807
0.0,1,0.094899
0.0,30,0.095787
0.0,16,0.096303
0.0,5,0.096513
0.0,4,0.096705
0.0,7,0.096959
0.0,4,0.097133
0.0,14,0.097585
0.0,14,0.098027
0.0,6,0.098253
0.0,12,0.09866
0.0,3,0.098809
0.0,13,0.099233
0.0,9,0.09955
0.0,30,0.100427
0.0,12,0.100828
0.0,4,0.10101
0.0,7,0.101264
0.0,4,0.101444
0.0,18,0.101999
0.0,13,0.102413
0.0,5,0.102629
0.0,5,0.10284
0.0,26,0.103624
0.0,32,0.104552
0.0,17,0.105092
0.0,22,0.105764
0.0,23,0.106466
0.0,13,0.106963
0.0,2,0.107088
