#{"t_start": 1523125657.9999685, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,7,0.006474
0.0,2,0.006605
0.0,4,0.006771
0.0,3,0.00692
0.0,9,0.007239
0.0,15,0.007683
0.0,6,0.007905
0.0,5,0.008091
0.0,30,0.008895
0.0,17,0.0094
0.0,16,0.009859
0.0,3,0.009998
0.0,3,0.010141
0.0,3,0.010294
0.0,4,0.010465
0.0,4,0.010632
0.0,4,0.0108
0.0,12,0.01118
0.0,4,0.011343
0.0,16,0.011802
0.0,1,0.011893
0.0,4,0.012056
0.0,13,0.012456
0.0,4,0.012625
0.0,4,0.012786
0.0,1,0.012874
0.0,3,0.013013
0.0,19,0.013559
0.0,21,0.014131
0.0,14,0.014543
0.0,7,0.014783
0.0,6,0.015005
0.0,7,0.015265
0.0,18,0.015785
0.0,6,0.015996
0.0,2,0.016107
0.0,5,0.016304
0.0,24,0.016972
0.0,16,0.017448
0.0,8,0.01772
0.0,5,0.017907
0.0,12,0.01829
0.0,29,0.019077
0.0,3,0.019233
0.0,9,0.019529
0.0,8,0.019802
0.0,6,0.020021
0.0,6,0.020245
0.0,4,0.020408
0.0,1,0.020492
0.0,4,0.020653
0.0,4,0.02082
0.0,8,0.021089
0.0,6,0.021319
0.0,13,0.021712
0.0,5,0.021905
0.0,8,0.022187
0.0,23,0.022826
0.0,5,0.023023
0.0,10,0.023358
0.0,2,0.023473
0.0,1,0.023556
0.0,11,0.023904
0.0,14,0.024328
0.0,5,0.024521
1.0,9,0.024818
0.0,25,0.025504
0.0,9,0.025842
0.0,24,0.026548
0.0,3,0.026686
0.0,5,0.02688
0.0,6,0.027091
1.0,16,0.027566
0.0,3,0.02771
0.0,5,0.027897
0.0,3,0.028032
0.0,2,0.028161
0.0,6,0.028379
0.0,4,0.028541
0.0,9,0.028835
0.0,19,0.029387
0.0,18,0.029894
0.0,13,0.030303
0.0,1,0.030391
0.0,2,0.030503
0.0,12,0.030859
0.0,1,0.030942
0.0,3,0.031078
0.0,1,0.031172
0.0,2,0.03129
0.0,5,0.031484
0.0,2,0.031598
0.0,1,0.031681
0.0,2,0.031799
0.0,1,0.031884
0.0,9,0.032196
0.0,1,0.032282
0.0,1,0.032371
0.0,1,0.032457
0.0,66,0.034168
0.0,4,0.034336
0.0,4,0.034497
0.0,7,0.034731
0.0,14,0.03515
0.0,40,0.036222
0.0,4,0.036389
0.0,6,0.036608
0.0,4,0.03678
0.0,10,0.0371
0.0,5,0.037308
0.0,4,0.037472
0.0,3,0.037609
0.0,2,0.037724
0.0,6,0.037936
0.0,5,0.038121
0.0,6,0.038338
0.0,4,0.038499
0.0,16,0.038961
0.0,34,0.039885
0.0,12,0.040267
0.0,3,0.040417
0.0,11,0.040761
0.0,64,0.042416
0.0,21,0.043006
0.0,33,0.043909
0.0,5,0.044111
0.0,4,0.044284
0.0,5,0.044476
0.0,12,0.044842
0.0,4,0.045012
0.0,5,0.045216
0.0,7,0.045452
0.0,15,0.045889
0.0,7,0.046124
0.0,8,0.0464
0.0,22,0.047019
0.0,7,0.047279
0.0,9,0.047575
0.0,26,0.048288
0.0,22,0.048899
0.0,9,0.049199
0.0,14,0.049603
0.0,6,0.049821
0.0,5,0.050013
0.0,11,0.050359
1.0,10,0.050681
0.0,1,0.050765
0.0,6,0.050989
0.0,9,0.051294
0.0,7,0.051537
0.0,1,0.051625
0.0,6,0.051847
0.0,11,0.052209
0.0,5,0.0524
0.0,4,0.052569
0.0,10,0.052884
0.0,14,0.053313
0.0,7,0.053549
0.0,6,0.053757
0.0,7,0.053992
0.0,6,0.054214
0.0,14,0.054621
0.0,3,0.054757
0.0,1,0.054839
0.0,3,0.054976
0.0,1,0.055058
0.0,3,0.055207
0.0,6,0.055428
0.0,2,0.05554
0.0,3,0.055682
0.0,9,0.055974
0.0,7,0.056222
0.0,1,0.056313
0.0,1,0.056398
0.0,1,0.056486
0.0,12,0.056864
0.0,4,0.057032
0.0,4,0.057212
0.0,13,0.057611
0.0,17,0.058104
0.0,5,0.058311
0.0,7,0.058554
1.0,16,0.059023
0.0,1,0.059106
0.0,2,0.059247
0.0,13,0.059667
0.0,4,0.05983
0.0,14,0.060268
0.0,10,0.060585
0.0,30,0.061413
0.0,13,0.061804
0.0,16,0.062281
0.0,40,0.063344
0.0,14,0.06376
0.0,3,0.063902
0.0,25,0.064615
0.0,6,0.064828
0.0,8,0.065095
0.0,24,0.06579
0.0,24,0.066571
0.0,5,0.066767
0.0,26,0.067501
0.0,6,0.06772
0.0,3,0.067863
0.0,5,0.068053
0.0,1,0.068141
0.0,5,0.068341
0.0,1,0.068426
0.0,4,0.068594
0.0,10,0.068912
0.0,3,0.069049
0.0,7,0.069296
0.0,5,0.069483
0.0,9,0.069783
0.0,6,0.070002
0.0,3,0.07014
0.0,6,0.070372
0.0,9,0.070668
0.0,15,0.071118
0.0,3,0.071264
0.0,5,0.071459
0.0,4,0.071626
0.0,11,0.07197
0.0,8,0.072246
0.0,9,0.072532
0.0,2,0.072648
0.0,13,0.073044
0.0,2,0.073165
0.0,18,0.07374
0.0,5,0.07393
0.0,19,0.074534
0.0,4,0.074706
0.0,12,0.075069
0.0,4,0.075243
0.0,18,0.075767
0.0,1,0.075857
1.0,8,0.076134
0.0,7,0.076383
0.0,7,0.07662
0.0,6,0.076829
0.0,5,0.077013
0.0,10,0.077342
0.0,9,0.077629
0.0,4,0.07779
0.0,1,0.077878
0.0,6,0.078099
0.0,10,0.078421
0.0,4,0.078594
0.0,11,0.078926
0.0,3,0.079082
0.0,7,0.079333
0.0,1,0.079424
0.0,1,0.079514
0.0,4,0.079678
0.0,6,0.079896
0.0,16,0.08038
0.0,1,0.080472
0.0,6,0.080688
0.0,4,0.08085
0.0,29,0.081649
0.0,4,0.081814
0.0,1,0.081897
0.0,3,0.082033
0.0,8,0.082306
0.0,3,0.082443
0.0,5,0.082629
0.0,4,0.082799
0.0,2,0.082911
0.0,8,0.083194
0.0,2,0.083308
0.0,5,0.083499
0.0,18,0.084002
0.0,5,0.084202
0.0,8,0.084465
0.0,15,0.084913
0.0,10,0.085247
0.0,20,0.085801
0.0,1,0.08589
1.0,20,0.086477
0.0,19,0.087008
0.0,20,0.0876
0.0,5,0.087797
0.0,4,0.087972
0.0,6,0.088206
0.0,34,0.089104
0.0,10,0.089438
0.0,12,0.089811
0.0,16,0.090283
0.0,4,0.090453
0.0,3,0.090592
0.0,1,0.09068
0.0,13,0.091064
0.0,6,0.091295
0.0,14,0.091702
0.0,7,0.091942
0.0,2,0.092055
0.0,1,0.092138
0.0,16,0.092614
0.0,3,0.09276
0.0,21,0.093367
0.0,3,0.093506
0.0,5,0.093693
0.0,13,0.094102
0.0,7,0.094361
0.0,2,0.094476
0.0,3,0.094613
0.0,4,0.094775
0.0,10,0.095091
0.0,1,0.095185
0.0,7,0.095431
0.0,2,0.095549
0.0,15,0.095994
0.0,31,0.096836
0.0,4,0.097003
0.0,25,0.097727
0.0,5,0.097918
0.0,6,0.09813
0.0,8,0.098413
0.0,1,0.0985
0.0,29,0.099296
1.0,39,0.100326
0.0,3,0.100465
0.0,3,0.100608
0.0,8,0.100881
0.0,10,0.101218
0.0,31,0.102028
0.0,16,0.102492
0.0,10,0.102801
0.0,9,0.103084
0.0,2,0.103207
0.0,5,0.103401
0.0,14,0.103831
0.0,7,0.104067
0.0,9,0.104378
0.0,7,0.104625
0.0,1,0.104709
0.0,6,0.104929
0.0,3,0.105068
0.0,7,0.105318
0.0,9,0.10561
0.0,3,0.10575
0.0,3,0.105886
0.0,29,0.106681
0.0,3,0.106893
0.0,22,0.10754
0.0,6,0.10777
0.0,9,0.108064
0.0,27,0.108809
0.0,1,0.108894
0.0,9,0.109197
0.0,3,0.109336
0.0,4,0.109503
0.0,3,0.10964
0.0,8,0.109917
0.0,1,0.110002
0.0,2,0.110118
0.0,5,0.110314
0.0,8,0.110581
0.0,9,0.110872
0.0,3,0.111009
0.0,14,0.111449
0.0,1,0.111535
0.0,5,0.111727
0.0,3,0.111871
0.0,11,0.112227
0.0,18,0.112731
0.0,13,0.113121
0.0,5,0.113315
0.0,4,0.113475
0.0,6,0.113683
0.0,2,0.113792
0.0,1,0.113879
0.0,12,0.11425
0.0,13,0.114645
0.0,3,0.11478
0.0,3,0.114917
0.0,17,0.115415
0.0,9,0.115708
0.0,1,0.115792
0.0,3,0.115936
0.0,3,0.116073
0.0,7,0.116318
0.0,5,0.116513
0.0,8,0.116784
0.0,4,0.11695
0.0,1,0.117034
