#{"t_start": 1523125208.116342, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,12,0.002341
0.0,3,0.002648
0.0,7,0.003217
0.0,5,0.003645
0.0,1,0.003832
0.0,3,0.004132
0.0,8,0.004771
0.0,22,0.006307
0.0,15,0.007395
0.0,6,0.007901
0.0,5,0.00833
0.0,3,0.008625
0.0,4,0.008996
0.0,14,0.009984
0.0,12,0.010572
0.0,16,0.011336
0.0,5,0.011625
0.0,4,0.01188
0.0,4,0.012121
0.0,2,0.012275
0.0,9,0.01274
0.0,6,0.013071
0.0,5,0.013356
0.0,4,0.013598
0.0,6,0.013939
0.0,4,0.014181
0.0,13,0.014822
0.0,16,0.015579
0.0,7,0.015962
0.0,28,0.017241
0.0,7,0.017613
0.0,4,0.017865
0.0,10,0.018366
0.0,2,0.018522
0.0,1,0.018631
0.0,4,0.018884
0.0,3,0.019088
0.0,4,0.019329
0.0,1,0.019438
0.0,6,0.019786
0.0,12,0.020372
0.0,2,0.020528
0.0,19,0.021425
0.0,10,0.021936
0.0,6,0.022266
0.0,8,0.022677
0.0,13,0.02331
0.0,16,0.024076
0.0,8,0.024491
0.0,15,0.025214
0.0,8,0.02563
0.0,15,0.026356
0.0,9,0.026825
0.0,7,0.027198
0.0,10,0.027697
0.0,3,0.027908
0.0,6,0.028234
0.0,13,0.028871
0.0,5,0.029156
0.0,8,0.029568
0.0,20,0.030517
0.0,8,0.030946
0.0,13,0.031577
0.0,25,0.03274
0.0,18,0.033593
0.0,2,0.03376
0.0,1,0.03387
0.0,4,0.034113
0.0,5,0.034398
0.0,13,0.035043
0.0,33,0.036541
0.0,8,0.03697
0.0,27,0.038203
0.0,15,0.038935
0.0,15,0.039652
0.0,6,0.039997
0.0,3,0.040197
0.0,1,0.040306
0.0,16,0.041067
0.0,5,0.041353
0.0,4,0.041593
0.0,3,0.041803
0.0,10,0.042304
0.0,8,0.042727
0.0,10,0.04323
0.0,9,0.043686
0.0,11,0.044238
0.0,5,0.044525
0.0,4,0.044777
0.0,9,0.045236
0.0,11,0.04579
0.0,7,0.046165
0.0,10,0.046664
0.0,12,0.047256
0.0,1,0.047369
0.0,7,0.047756
0.0,2,0.047913
0.0,9,0.048374
0.0,20,0.049311
0.0,9,0.049791
0.0,18,0.050635
0.0,3,0.050845
0.0,1,0.050956
0.0,4,0.051199
0.0,12,0.051799
0.0,22,0.052824
0.0,42,0.054709
0.0,15,0.05543
0.0,6,0.055769
0.0,11,0.056312
0.0,12,0.056907
0.0,14,0.057586
0.0,9,0.058055
0.0,14,0.058741
0.0,1,0.058853
0.0,5,0.059139
0.0,5,0.059425
0.0,6,0.059771
0.0,8,0.060185
0.0,24,0.061302
0.0,10,0.061813
0.0,2,0.06197
0.0,4,0.062209
0.0,15,0.062937
0.0,2,0.063093
0.0,20,0.064033
0.0,12,0.064615
0.0,6,0.06496
0.0,11,0.065506
0.0,4,0.065757
0.0,4,0.066002
0.0,1,0.066113
0.0,4,0.066354
0.0,2,0.066509
0.0,1,0.066619
0.0,5,0.066917
0.0,5,0.067204
0.0,4,0.067444
0.0,37,0.06912
0.0,4,0.069365
0.0,19,0.070272
0.0,1,0.070383
0.0,6,0.070719
0.0,5,0.071009
0.0,7,0.071377
0.0,24,0.07249
0.0,14,0.07318
0.0,8,0.073592
0.0,9,0.074057
0.0,7,0.074434
0.0,16,0.075204
0.0,1,0.075315
0.0,9,0.075786
0.0,18,0.076632
0.0,3,0.076844
0.0,7,0.077215
0.0,13,0.077856
0.0,16,0.078614
0.0,3,0.078824
0.0,2,0.078981
0.0,1,0.07909
0.0,24,0.080216
1.0,9,0.080672
0.0,9,0.081134
0.0,4,0.081375
0.0,20,0.082314
1.0,6,0.082641
1.0,14,0.083325
0.0,10,0.083838
0.0,3,0.084037
0.0,14,0.084717
0.0,8,0.08513
0.0,8,0.085541
0.0,5,0.085836
0.0,4,0.086082
0.0,21,0.087067
0.0,5,0.087356
0.0,1,0.087466
0.0,6,0.087807
0.0,17,0.088605
0.0,5,0.088899
0.0,13,0.08953
0.0,3,0.089744
0.0,3,0.089943
0.0,54,0.092348
0.0,6,0.092675
0.0,4,0.092923
0.0,9,0.09338
0.0,4,0.09362
0.0,9,0.094087
0.0,1,0.094198
0.0,9,0.094655
0.0,33,0.09616
0.0,4,0.096402
0.0,2,0.096555
0.0,4,0.096808
0.0,1,0.09692
0.0,11,0.097461
0.0,5,0.097757
0.0,4,0.098001
0.0,1,0.09811
0.0,2,0.098265
0.0,11,0.098819
0.0,9,0.099274
0.0,13,0.099922
0.0,29,0.101255
0.0,5,0.101542
0.0,15,0.102329
0.0,26,0.103538
0.0,6,0.103877
0.0,27,0.105127
0.0,9,0.105588
0.0,1,0.105699
0.0,4,0.10595
0.0,1,0.106061
0.0,9,0.106518
0.0,9,0.106985
0.0,7,0.107357
0.0,10,0.107866
0.0,9,0.108323
0.0,25,0.109481
0.0,9,0.109959
0.0,5,0.110244
0.0,12,0.110842
0.0,8,0.111259
0.0,4,0.111501
0.0,14,0.112184
0.0,13,0.112825
0.0,11,0.113371
0.0,22,0.114399
0.0,7,0.114784
