#{"t_start": 1522233170.1713521, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,20,0.00705
0.0,23,0.007755
0.0,100,0.010335
0.0,7,0.010592
0.0,14,0.011009
0.0,32,0.011895
0.0,36,0.012865
0.0,24,0.013561
0.0,4,0.01373
0.0,10,0.014044
0.0,4,0.014225
1.0,11,0.014567
1.0,26,0.015288
0.0,9,0.015587
0.0,8,0.01586
0.0,9,0.016153
1.0,35,0.017084
0.0,17,0.017598
1.0,10,0.017914
0.0,1,0.018
0.0,7,0.018267
0.0,2,0.01839
1.0,20,0.018967
0.0,1,0.019059
0.0,25,0.019751
1.0,11,0.020103
0.0,8,0.02041
1.0,15,0.020843
1.0,53,0.022237
0.0,20,0.022806
1.0,29,0.023592
0.0,11,0.02395
0.0,3,0.024093
0.0,11,0.024446
0.0,27,0.025186
0.0,12,0.02556
1.0,20,0.026128
0.0,9,0.026433
0.0,8,0.026704
0.0,21,0.027315
1.0,7,0.02756
0.0,11,0.027911
1.0,10,0.028233
0.0,25,0.028916
0.0,18,0.029441
0.0,2,0.029563
0.0,11,0.029909
0.0,1,0.030001
1.0,15,0.030451
1.0,38,0.031474
1.0,21,0.032064
1.0,7,0.032322
0.0,20,0.032891
0.0,10,0.033213
0.0,17,0.033707
0.0,1,0.033799
0.0,33,0.034723
0.0,1,0.034813
1.0,41,0.035923
0.0,25,0.036622
0.0,7,0.036875
0.0,10,0.037206
1.0,37,0.038203
0.0,14,0.03863
1.0,36,0.039597
0.0,1,0.039686
0.0,2,0.039805
0.0,21,0.040436
1.0,22,0.041081
1.0,18,0.041633
0.0,15,0.042066
0.0,27,0.042801
1.0,31,0.043667
0.0,1,0.04376
0.0,29,0.044546
0.0,31,0.045405
1.0,18,0.045912
0.0,10,0.04625
0.0,9,0.046546
1.0,16,0.047005
0.0,2,0.047126
0.0,44,0.048288
0.0,18,0.048814
0.0,2,0.048936
1.0,46,0.050149
0.0,1,0.050246
0.0,23,0.050894
0.0,2,0.051012
0.0,6,0.051244
0.0,31,0.05208
0.0,9,0.052387
0.0,8,0.052659
0.0,4,0.05283
0.0,3,0.052978
0.0,4,0.053144
0.0,15,0.053594
0.0,10,0.053909
0.0,15,0.054355
1.0,46,0.055571
0.0,42,0.056692
0.0,11,0.057041
0.0,25,0.057741
1.0,34,0.058682
0.0,15,0.059126
0.0,42,0.060252
0.0,5,0.060451
0.0,15,0.060891
0.0,11,0.061252
0.0,21,0.061856
