#{"t_start": 1523135807.8560207, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,52,0.066427
0.0,100,0.07203
0.0,37,0.073667
0.0,25,0.074803
0.0,43,0.076702
0.0,9,0.077168
0.0,9,0.077621
0.0,8,0.078043
0.0,20,0.078968
0.0,8,0.079375
0.0,5,0.079658
0.0,17,0.080461
0.0,4,0.080701
0.0,4,0.080952
0.0,8,0.081365
0.0,26,0.082545
0.0,23,0.083606
0.0,14,0.08428
0.0,26,0.08546
0.0,9,0.085924
0.0,8,0.086333
0.0,11,0.086879
0.0,3,0.087078
0.0,13,0.087695
0.0,17,0.088491
0.0,6,0.088819
0.0,63,0.091587
0.0,7,0.091965
0.0,20,0.092897
0.0,63,0.09565
0.0,21,0.096621
0.0,100,0.100968
0.0,1,0.10108
0.0,1,0.101188
0.0,1,0.101296
0.0,4,0.101535
0.0,1,0.101645
0.0,1,0.101753
0.0,3,0.10196
0.0,2,0.102114
0.0,26,0.103299
0.0,1,0.10341
0.0,100,0.107715
0.0,20,0.108647
0.0,18,0.109492
0.0,9,0.109962
0.0,28,0.111227
1.0,31,0.112623
0.0,12,0.113217
0.0,12,0.1138
0.0,4,0.114047
0.0,13,0.114667
0.0,4,0.114917
0.0,2,0.115072
1.0,7,0.115442
0.0,1,0.11555
0.0,9,0.116013
0.0,5,0.116299
1.0,18,0.117144
0.0,5,0.11743
0.0,6,0.117751
0.0,24,0.118851
0.0,13,0.119474
0.0,10,0.11999
0.0,55,0.122394
0.0,6,0.122722
0.0,9,0.123186
0.0,7,0.123557
0.0,1,0.123665
0.0,6,0.124001
0.0,1,0.124111
0.0,1,0.124219
0.0,12,0.124798
0.0,12,0.12539
0.0,4,0.125629
0.0,35,0.127202
0.0,4,0.127441
0.0,6,0.127763
0.0,17,0.128555
0.0,23,0.129619
0.0,12,0.130218
0.0,8,0.130631
0.0,14,0.131308
0.0,10,0.1318
0.0,8,0.132215
0.0,2,0.132368
0.0,1,0.132476
0.0,2,0.13263
0.0,6,0.132964
1.0,8,0.133375
0.0,7,0.133744
0.0,3,0.133952
0.0,13,0.134578
0.0,1,0.134689
0.0,16,0.135453
0.0,25,0.136591
0.0,11,0.137141
0.0,34,0.138665
0.0,13,0.139298
0.0,1,0.139409
0.0,13,0.140042
0.0,10,0.140535
0.0,2,0.140687
0.0,9,0.141155
0.0,1,0.141265
0.0,28,0.142529
0.0,23,0.143582
0.0,15,0.144304
0.0,16,0.145066
0.0,31,0.146462
0.0,18,0.147304
0.0,19,0.14819
0.0,2,0.148344
0.0,18,0.149191
0.0,14,0.149874
0.0,6,0.150201
0.0,26,0.15138
0.0,55,0.153796
0.0,37,0.155456
0.0,20,0.156382
1.0,16,0.157137
0.0,19,0.158021
0.0,13,0.158648
0.0,14,0.159321
0.0,26,0.160508
0.0,49,0.16268
0.0,34,0.164211
0.0,5,0.164557
0.0,6,0.164892
0.0,17,0.165678
0.0,5,0.165967
0.0,13,0.166583
0.0,26,0.167759
0.0,10,0.168269
0.0,25,0.169406
0.0,19,0.170291
0.0,6,0.170617
0.0,6,0.17095
0.0,10,0.171444
0.0,21,0.172411
0.0,7,0.172777
0.0,12,0.173359
0.0,19,0.17424
0.0,20,0.175164
0.0,17,0.175956
0.0,5,0.176238
0.0,3,0.176437
0.0,17,0.17723
0.0,5,0.17751
0.0,2,0.177665
0.0,6,0.177997
0.0,6,0.178319
0.0,4,0.178557
0.0,2,0.178709
0.0,15,0.179419
0.0,19,0.18031
0.0,8,0.180721
1.0,10,0.181219
0.0,4,0.181456
0.0,15,0.182165
