#{"t_start": 1522230099.3310297, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.004856
0.0,6,0.005095
0.0,6,0.005325
0.0,85,0.007492
0.0,6,0.007728
0.0,5,0.007938
0.0,53,0.009417
0.0,44,0.010667
0.0,12,0.011055
0.0,14,0.011506
0.0,5,0.011714
0.0,71,0.013676
0.0,51,0.015113
0.0,27,0.015909
0.0,23,0.016604
0.0,22,0.017262
0.0,12,0.017668
0.0,27,0.018448
0.0,56,0.01995
0.0,38,0.021002
0.0,2,0.021127
0.0,21,0.021747
0.0,42,0.022901
0.0,9,0.023204
0.0,1,0.023294
0.0,55,0.024781
0.0,100,0.027456
0.0,1,0.027549
0.0,18,0.028057
0.0,1,0.028143
0.0,18,0.028677
0.0,47,0.029907
0.0,7,0.030158
0.0,24,0.030833
0.0,70,0.032655
0.0,37,0.033649
0.0,44,0.034822
0.0,55,0.036261
1.0,41,0.037349
0.0,10,0.037687
0.0,12,0.038047
0.0,10,0.038364
0.0,11,0.038697
0.0,35,0.039624
1.0,42,0.040722
0.0,17,0.041194
0.0,1,0.04128
1.0,17,0.041775
0.0,35,0.042711
0.0,3,0.042851
0.0,65,0.044529
1.0,14,0.044934
0.0,17,0.045424
1.0,10,0.045736
1.0,7,0.045964
0.0,2,0.046074
1.0,28,0.046836
0.0,20,0.047407
1.0,10,0.047731
1.0,10,0.048032
0.0,25,0.048707
0.0,11,0.049034
0.0,13,0.049423
1.0,30,0.050179
0.0,11,0.05051
0.0,22,0.051102
0.0,6,0.051303
1.0,20,0.05185
0.0,3,0.051979
1.0,26,0.052665
1.0,26,0.053346
0.0,8,0.053601
0.0,33,0.054454
0.0,10,0.054759
0.0,7,0.054983
0.0,15,0.055411
0.0,6,0.055612
0.0,29,0.056386
0.0,6,0.056588
0.0,4,0.056746
0.0,1,0.056829
0.0,14,0.057231
1.0,20,0.057775
0.0,12,0.05813
0.0,39,0.059106
0.0,5,0.059285
0.0,10,0.059591
0.0,9,0.059863
0.0,18,0.060366
