#{"t_start": 1523135134.9566934, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.006782
0.0,10,0.007148
0.0,3,0.007303
0.0,9,0.007598
0.0,6,0.007826
0.0,13,0.008224
0.0,27,0.009006
0.0,10,0.009359
0.0,12,0.009731
0.0,10,0.010109
0.0,9,0.010408
0.0,1,0.010497
0.0,1,0.010586
0.0,7,0.010844
0.0,2,0.010967
0.0,8,0.011232
0.0,1,0.011323
0.0,7,0.011565
0.0,6,0.011797
0.0,6,0.012029
0.0,3,0.012171
0.0,17,0.012663
0.0,15,0.013126
0.0,5,0.013319
0.0,1,0.013407
0.0,11,0.013752
0.0,15,0.014236
0.0,8,0.014538
0.0,6,0.014752
0.0,5,0.014983
0.0,3,0.015152
0.0,6,0.015373
0.0,31,0.016223
0.0,33,0.017125
0.0,15,0.017581
0.0,6,0.017816
0.0,11,0.018156
0.0,16,0.018627
0.0,5,0.018836
0.0,14,0.019257
0.0,1,0.019345
0.0,7,0.019596
0.0,7,0.019848
0.0,9,0.020144
0.0,1,0.020232
0.0,4,0.020398
0.0,6,0.020622
0.0,19,0.021174
0.0,1,0.021267
0.0,12,0.021633
0.0,9,0.021952
0.0,5,0.022144
0.0,12,0.022511
0.0,10,0.022853
0.0,7,0.023099
0.0,4,0.023271
0.0,3,0.023412
0.0,1,0.023498
0.0,14,0.02393
0.0,10,0.024259
0.0,8,0.024523
0.0,21,0.02513
0.0,10,0.025459
0.0,3,0.0256
0.0,1,0.025687
1.0,27,0.026443
0.0,9,0.026733
0.0,57,0.028255
0.0,7,0.028499
0.0,5,0.02869
0.0,5,0.028892
0.0,7,0.02914
0.0,6,0.029361
1.0,30,0.030213
0.0,4,0.030381
0.0,4,0.030547
0.0,5,0.030736
0.0,24,0.031414
0.0,18,0.031948
0.0,5,0.032139
0.0,17,0.032632
0.0,3,0.032779
0.0,8,0.033064
0.0,14,0.033487
0.0,17,0.033999
0.0,11,0.034351
1.0,12,0.034722
0.0,23,0.035381
0.0,11,0.035723
0.0,6,0.035958
1.0,9,0.03625
0.0,12,0.036633
0.0,18,0.037154
0.0,7,0.037394
0.0,4,0.037558
0.0,3,0.037698
0.0,12,0.038083
0.0,21,0.038681
0.0,1,0.038768
0.0,4,0.038952
0.0,14,0.039371
0.0,19,0.039938
0.0,3,0.040086
0.0,4,0.040252
0.0,8,0.040525
0.0,5,0.040716
0.0,10,0.041041
0.0,4,0.041219
0.0,9,0.041511
0.0,5,0.041702
0.0,8,0.041996
0.0,2,0.042113
0.0,3,0.042253
0.0,7,0.042502
0.0,10,0.042834
0.0,9,0.043139
1.0,6,0.043355
0.0,9,0.04365
0.0,11,0.044009
0.0,15,0.044467
0.0,7,0.044719
0.0,7,0.04498
0.0,5,0.045172
0.0,3,0.045321
0.0,2,0.045437
0.0,11,0.045796
0.0,18,0.046309
0.0,13,0.046709
0.0,16,0.047188
0.0,4,0.047361
0.0,2,0.047477
0.0,13,0.047894
0.0,21,0.048488
0.0,1,0.048576
0.0,10,0.048901
0.0,1,0.048993
0.0,4,0.04917
0.0,13,0.049559
0.0,3,0.0497
0.0,9,0.05002
0.0,1,0.050108
0.0,4,0.050276
0.0,5,0.050467
0.0,7,0.050719
0.0,7,0.050972
0.0,3,0.051114
0.0,8,0.05138
0.0,6,0.051602
0.0,1,0.05169
0.0,11,0.052049
0.0,12,0.052422
0.0,9,0.052719
0.0,7,0.052983
0.0,2,0.0531
0.0,3,0.053247
0.0,12,0.053627
0.0,5,0.053832
0.0,4,0.053998
0.0,10,0.054312
0.0,4,0.054485
0.0,3,0.054626
0.0,5,0.054828
0.0,9,0.055128
0.0,6,0.055351
0.0,7,0.055597
0.0,1,0.055685
0.0,7,0.055937
0.0,7,0.056177
0.0,3,0.056317
0.0,6,0.056541
0.0,5,0.056733
0.0,8,0.057005
0.0,15,0.057451
0.0,1,0.057539
0.0,5,0.057733
0.0,15,0.058188
0.0,16,0.058651
0.0,23,0.059315
0.0,26,0.060056
0.0,14,0.060479
0.0,13,0.060885
0.0,18,0.061397
0.0,7,0.061645
0.0,26,0.062364
0.0,4,0.062536
0.0,5,0.062736
0.0,8,0.063019
0.0,4,0.063189
0.0,15,0.063643
0.0,17,0.064153
0.0,2,0.06427
0.0,3,0.064411
0.0,9,0.064701
0.0,1,0.064795
0.0,24,0.065475
0.0,14,0.065902
0.0,10,0.066227
0.0,11,0.066567
0.0,5,0.066756
0.0,2,0.066879
0.0,4,0.067053
0.0,2,0.067168
0.0,4,0.067341
0.0,8,0.067607
0.0,28,0.068379
0.0,1,0.068468
0.0,11,0.068826
0.0,13,0.069217
0.0,3,0.069364
0.0,7,0.069612
0.0,6,0.069854
0.0,1,0.069943
0.0,10,0.070258
0.0,9,0.070554
0.0,12,0.070942
0.0,10,0.071264
0.0,2,0.07138
0.0,1,0.071472
0.0,4,0.071646
0.0,14,0.072083
0.0,5,0.072283
0.0,9,0.072586
0.0,17,0.073092
0.0,13,0.073491
0.0,1,0.073578
0.0,4,0.073756
