#{"t_start": 1523124974.5494783, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,21,0.035849
0.0,29,0.03748
0.0,3,0.037682
0.0,40,0.039479
0.0,100,0.043858
0.0,6,0.044189
0.0,1,0.044299
0.0,13,0.044939
0.0,11,0.045494
0.0,13,0.046124
0.0,15,0.046852
0.0,18,0.047712
0.0,61,0.050434
0.0,6,0.05077
0.0,29,0.052087
0.0,21,0.053069
0.0,51,0.05534
0.0,17,0.056152
0.0,24,0.057271
0.0,84,0.061005
0.0,16,0.061779
0.0,98,0.06609
0.0,1,0.066204
0.0,77,0.069635
0.0,100,0.074021
0.0,70,0.077121
0.0,1,0.077237
0.0,15,0.077962
0.0,84,0.08167
0.0,97,0.085932
0.0,83,0.089598
0.0,18,0.090454
0.0,25,0.091612
0.0,9,0.092073
0.0,100,0.09648
0.0,52,0.098796
0.0,1,0.098911
0.0,6,0.099239
0.0,23,0.100307
0.0,13,0.100952
0.0,5,0.10124
0.0,14,0.101923
0.0,4,0.102168
0.0,19,0.103067
0.0,1,0.103181
0.0,13,0.103824
0.0,3,0.104026
0.0,3,0.104226
0.0,9,0.104693
0.0,8,0.105107
0.0,13,0.105747
0.0,10,0.106248
0.0,31,0.107676
0.0,5,0.107964
0.0,6,0.10829
0.0,7,0.108671
0.0,25,0.109822
0.0,31,0.111233
0.0,22,0.112258
0.0,67,0.115234
0.0,26,0.116443
0.0,81,0.120012
0.0,17,0.120824
0.0,4,0.121069
0.0,15,0.12179
0.0,3,0.121989
0.0,17,0.124063
0.0,89,0.128148
0.0,47,0.130398
0.0,18,0.131331
0.0,81,0.13499
0.0,6,0.135613
0.0,100,0.140091
0.0,4,0.140439
0.0,10,0.140944
0.0,3,0.141149
0.0,3,0.141346
0.0,18,0.142215
0.0,8,0.142675
0.0,5,0.142964
0.0,4,0.143207
0.0,3,0.14342
0.0,1,0.143531
0.0,11,0.144073
0.0,10,0.144604
0.0,8,0.145029
0.0,28,0.146648
0.0,4,0.147121
0.0,42,0.149062
0.0,100,0.153589
0.0,10,0.154168
0.0,2,0.154327
0.0,1,0.154456
0.0,15,0.155167
0.0,2,0.155326
0.0,1,0.155447
0.0,1,0.155557
0.0,1,0.155666
0.0,6,0.155991
0.0,2,0.156146
0.0,2,0.156299
0.0,1,0.156435
0.0,23,0.157516
0.0,1,0.15764
0.0,1,0.157749
0.0,2,0.157903
1.0,7,0.15828
0.0,11,0.158854
0.0,19,0.159755
0.0,22,0.160787
0.0,1,0.160898
0.0,5,0.161184
0.0,2,0.161339
0.0,2,0.161504
0.0,5,0.161789
0.0,14,0.162472
0.0,1,0.162584
0.0,1,0.162693
0.0,1,0.162802
0.0,4,0.163045
0.0,1,0.163155
0.0,3,0.163353
0.0,17,0.164168
0.0,1,0.164279
0.0,5,0.164578
0.0,1,0.164689
0.0,15,0.165411
0.0,1,0.165526
0.0,2,0.165681
0.0,3,0.165881
0.0,14,0.166574
0.0,35,0.168156
0.0,1,0.168269
0.0,98,0.17259
0.0,2,0.172749
0.0,9,0.17321
0.0,78,0.17666
0.0,93,0.18076
0.0,19,0.181652
0.0,35,0.183226
0.0,70,0.186316
0.0,4,0.186579
0.0,16,0.187335
0.0,47,0.189447
0.0,37,0.191112
0.0,6,0.191454
0.0,33,0.192941
0.0,9,0.193411
0.0,6,0.193745
0.0,98,0.19807
0.0,23,0.199134
0.0,6,0.199477
0.0,91,0.203473
0.0,33,0.204974
0.0,47,0.207086
0.0,38,0.208813
0.0,34,0.210356
0.0,88,0.21424
0.0,9,0.214709
0.0,27,0.215952
0.0,8,0.216367
0.0,100,0.220792
0.0,5,0.221078
0.0,13,0.221724
0.0,26,0.22292
0.0,5,0.223208
0.0,1,0.223318
0.0,16,0.224092
0.0,9,0.224558
0.0,2,0.224717
0.0,4,0.224958
0.0,19,0.225853
0.0,100,0.230233
1.0,15,0.230964
0.0,17,0.231783
0.0,6,0.232115
0.0,8,0.232541
0.0,19,0.233434
0.0,21,0.234417
0.0,16,0.235173
0.0,12,0.235858
0.0,6,0.236185
0.0,11,0.236747
0.0,6,0.237078
0.0,7,0.237458
0.0,1,0.237568
0.0,5,0.237851
0.0,30,0.239221
0.0,12,0.239823
0.0,7,0.240195
0.0,6,0.240531
0.0,1,0.240644
0.0,16,0.241408
