#{"t_start": 1523121340.4644225, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,2,0.006528
0.0,8,0.006793
0.0,3,0.006928
0.0,14,0.007316
0.0,9,0.007598
0.0,9,0.00787
0.0,11,0.008204
0.0,11,0.008524
0.0,19,0.009015
0.0,15,0.009432
0.0,12,0.009775
0.0,7,0.010002
0.0,6,0.010211
0.0,19,0.010715
0.0,10,0.011007
0.0,6,0.011217
0.0,1,0.011298
0.0,9,0.011577
0.0,12,0.011912
0.0,5,0.012093
0.0,9,0.012364
0.0,3,0.012499
0.0,8,0.012747
0.0,7,0.012977
0.0,3,0.01312
0.0,9,0.013393
0.0,14,0.013775
0.0,25,0.014428
0.0,7,0.014651
1.0,8,0.014899
0.0,25,0.015537
0.0,20,0.016054
0.0,10,0.016347
0.0,8,0.016595
0.0,22,0.017162
0.0,31,0.017922
0.0,7,0.018163
0.0,3,0.018298
0.0,12,0.018642
0.0,7,0.01886
0.0,18,0.019349
0.0,8,0.019589
0.0,8,0.019834
0.0,7,0.020049
0.0,3,0.020195
0.0,7,0.020414
0.0,6,0.020619
0.0,2,0.02073
0.0,2,0.020836
0.0,3,0.020968
0.0,5,0.021161
1.0,26,0.021814
0.0,4,0.021969
0.0,6,0.022184
0.0,14,0.022561
0.0,1,0.022645
0.0,5,0.022832
0.0,31,0.023601
0.0,31,0.02437
0.0,4,0.024525
0.0,15,0.024927
0.0,4,0.025079
0.0,6,0.025283
0.0,10,0.025589
0.0,8,0.025836
0.0,1,0.02592
0.0,13,0.026298
0.0,7,0.026524
0.0,7,0.026746
0.0,7,0.02697
0.0,18,0.027454
0.0,47,0.028589
0.0,34,0.02943
0.0,8,0.029682
0.0,13,0.030046
0.0,7,0.030275
0.0,8,0.030516
0.0,20,0.031044
0.0,1,0.031135
0.0,9,0.031411
0.0,10,0.031707
0.0,2,0.031811
0.0,8,0.032057
0.0,13,0.032427
0.0,15,0.032831
0.0,9,0.0331
0.0,19,0.033584
0.0,10,0.033875
0.0,12,0.034226
0.0,5,0.03441
0.0,4,0.03456
0.0,3,0.034687
0.0,4,0.034835
0.0,9,0.035105
0.0,14,0.035478
0.0,7,0.035704
0.0,2,0.035809
0.0,28,0.036507
0.0,4,0.036657
0.0,11,0.03697
0.0,7,0.037205
0.0,18,0.037683
0.0,1,0.037763
0.0,6,0.037958
0.0,3,0.038085
0.0,8,0.038334
0.0,3,0.038466
0.0,14,0.038858
0.0,22,0.039434
0.0,3,0.03957
0.0,1,0.039649
0.0,2,0.039762
0.0,5,0.039935
0.0,10,0.040237
0.0,12,0.040577
0.0,5,0.040756
0.0,20,0.041281
0.0,8,0.041528
0.0,7,0.041751
0.0,30,0.042506
0.0,7,0.042726
0.0,7,0.04294
0.0,4,0.043103
0.0,4,0.043256
0.0,3,0.043382
0.0,16,0.043808
0.0,11,0.04414
0.0,2,0.044248
0.0,10,0.044535
1.0,10,0.044825
0.0,11,0.045145
0.0,14,0.045525
0.0,8,0.045764
0.0,3,0.045891
0.0,4,0.046041
0.0,16,0.046478
0.0,6,0.046688
0.0,3,0.046816
0.0,4,0.046964
0.0,6,0.047169
0.0,14,0.047552
0.0,1,0.047631
0.0,6,0.047827
0.0,11,0.048148
0.0,1,0.048229
0.0,10,0.048524
0.0,4,0.048685
0.0,6,0.048881
0.0,7,0.049107
0.0,6,0.049311
0.0,19,0.049798
0.0,9,0.050063
0.0,26,0.050716
0.0,10,0.051011
0.0,5,0.051201
0.0,6,0.051399
0.0,20,0.051915
0.0,8,0.052164
0.0,1,0.052242
0.0,15,0.052637
0.0,22,0.053207
0.0,11,0.053513
0.0,8,0.053751
0.0,8,0.053994
0.0,2,0.054107
0.0,1,0.054188
0.0,8,0.054427
1.0,22,0.05499
0.0,9,0.055268
0.0,22,0.055831
1.0,10,0.056135
0.0,8,0.056387
