#{"t_start": 1523123841.512538, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.033554
0.0,3,0.033877
0.0,7,0.034396
0.0,4,0.034635
0.0,6,0.034971
0.0,4,0.035222
0.0,7,0.035589
0.0,4,0.035826
0.0,3,0.036045
0.0,4,0.036285
0.0,16,0.037042
0.0,12,0.037619
0.0,5,0.037898
0.0,12,0.038484
0.0,6,0.038805
0.0,12,0.039396
0.0,5,0.039676
0.0,12,0.04026
0.0,6,0.040583
0.0,21,0.041546
0.0,10,0.04205
0.0,1,0.042159
0.0,21,0.043121
0.0,13,0.043739
0.0,2,0.043893
0.0,9,0.044362
0.0,47,0.046427
0.0,8,0.046835
0.0,7,0.047208
0.0,6,0.04753
0.0,11,0.048071
0.0,2,0.048227
0.0,13,0.048846
0.0,4,0.049093
0.0,5,0.049377
0.0,2,0.04953
0.0,15,0.050251
0.0,3,0.050449
0.0,15,0.051162
0.0,14,0.051823
0.0,11,0.052367
1.0,16,0.053129
0.0,5,0.05341
0.0,16,0.054172
0.0,18,0.055006
0.0,13,0.055633
0.0,6,0.055958
0.0,1,0.056078
0.0,1,0.056189
0.0,9,0.056636
0.0,4,0.056874
0.0,7,0.057248
0.0,12,0.057826
0.0,7,0.058199
0.0,3,0.058397
0.0,1,0.058505
0.0,34,0.060007
0.0,2,0.060172
0.0,41,0.061979
0.0,4,0.062231
0.0,14,0.062887
0.0,3,0.063092
0.0,30,0.064444
0.0,13,0.065074
0.0,11,0.065605
0.0,8,0.066011
0.0,13,0.066644
0.0,21,0.067609
0.0,21,0.06858
0.0,7,0.068946
0.0,5,0.069239
0.0,1,0.069348
0.0,8,0.069752
1.0,32,0.071193
0.0,13,0.071813
0.0,5,0.072105
0.0,2,0.072262
0.0,33,0.073726
0.0,3,0.073924
0.0,18,0.074764
1.0,13,0.075391
0.0,11,0.075925
0.0,25,0.077063
0.0,11,0.077595
0.0,11,0.078144
0.0,14,0.078806
0.0,1,0.078917
0.0,8,0.079338
0.0,13,0.079961
0.0,6,0.080295
0.0,11,0.080827
0.0,9,0.081283
0.0,4,0.081524
0.0,2,0.081675
0.0,27,0.082889
0.0,18,0.083727
0.0,4,0.083968
0.0,1,0.08409
0.0,1,0.084201
0.0,14,0.08486
0.0,15,0.085572
0.0,6,0.085892
0.0,11,0.086439
0.0,6,0.086761
0.0,10,0.087262
0.0,3,0.087458
0.0,17,0.088249
0.0,5,0.088532
0.0,5,0.088813
0.0,3,0.089007
0.0,8,0.089427
0.0,9,0.089874
0.0,19,0.090758
0.0,1,0.090869
0.0,3,0.091073
0.0,11,0.091605
0.0,13,0.092239
0.0,5,0.092522
0.0,12,0.093108
0.0,9,0.093558
0.0,18,0.094401
0.0,11,0.094937
0.0,7,0.095317
0.0,1,0.095429
0.0,17,0.096227
0.0,23,0.097283
0.0,10,0.097774
0.0,11,0.098327
0.0,3,0.098526
1.0,23,0.099573
0.0,6,0.099898
0.0,3,0.100106
0.0,7,0.100473
0.0,5,0.100753
0.0,7,0.10113
0.0,7,0.101493
0.0,6,0.101818
0.0,2,0.10197
0.0,17,0.102761
0.0,14,0.103433
0.0,20,0.10436
0.0,12,0.104934
0.0,3,0.10514
0.0,20,0.106061
0.0,6,0.106387
0.0,5,0.106668
0.0,11,0.10721
0.0,1,0.107322
0.0,6,0.107644
0.0,19,0.10853
0.0,3,0.108729
0.0,14,0.109394
0.0,12,0.109971
0.0,5,0.110259
0.0,1,0.110368
0.0,4,0.110604
0.0,7,0.11097
0.0,1,0.111089
0.0,7,0.111456
0.0,6,0.111777
0.0,1,0.111885
0.0,20,0.112803
0.0,3,0.113
0.0,16,0.11375
0.0,5,0.114043
0.0,31,0.115576
0.0,26,0.11678
0.0,24,0.117882
0.0,17,0.118691
0.0,21,0.119666
0.0,7,0.120049
0.0,11,0.120587
0.0,2,0.12074
0.0,16,0.121503
0.0,5,0.121792
0.0,6,0.12213
0.0,36,0.123742
0.0,4,0.123985
0.0,5,0.124282
0.0,2,0.124438
0.0,6,0.124762
0.0,22,0.125777
0.0,6,0.126114
0.0,4,0.126355
0.0,7,0.126723
0.0,46,0.128758
0.0,1,0.128871
0.0,4,0.129124
0.0,5,0.129407
0.0,5,0.129686
0.0,2,0.129839
0.0,8,0.130257
0.0,2,0.130412
0.0,2,0.130564
0.0,10,0.131066
0.0,12,0.131648
0.0,23,0.132709
0.0,21,0.133686
0.0,32,0.135217
0.0,18,0.136067
0.0,6,0.136392
0.0,11,0.136928
0.0,11,0.137477
0.0,12,0.138068
0.0,6,0.138394
0.0,6,0.138721
0.0,8,0.13914
0.0,8,0.139552
0.0,23,0.140615
0.0,1,0.140726
0.0,2,0.140878
0.0,22,0.141885
0.0,20,0.142812
0.0,10,0.143322
0.0,3,0.143522
0.0,9,0.143972
0.0,20,0.144902
0.0,2,0.145067
0.0,12,0.145649
0.0,6,0.145973
0.0,2,0.146134
0.0,5,0.146417
0.0,2,0.146569
0.0,42,0.148452
0.0,7,0.148822
0.0,6,0.149154
0.0,10,0.149644
0.0,11,0.150191
0.0,5,0.150475
0.0,5,0.150757
0.0,1,0.150868
0.0,4,0.151118
0.0,9,0.151568
0.0,7,0.151935
0.0,14,0.152611
0.0,5,0.152892
0.0,6,0.15323
0.0,6,0.153556
0.0,8,0.153965
0.0,3,0.154174
0.0,10,0.15467
0.0,12,0.15526
0.0,7,0.155628
0.0,21,0.15659
0.0,15,0.157312
0.0,17,0.158118
0.0,15,0.158826
0.0,1,0.158952
0.0,1,0.159073
0.0,12,0.159656
0.0,7,0.160033
0.0,9,0.160487
0.0,6,0.16081
0.0,24,0.161911
0.0,20,0.162844
0.0,4,0.163095
0.0,17,0.163885
0.0,6,0.164226
0.0,3,0.164427
0.0,8,0.164838
0.0,36,0.166458
0.0,9,0.166913
0.0,5,0.167207
0.0,19,0.168097
0.0,26,0.169281
0.0,1,0.169392
0.0,7,0.169758
0.0,16,0.17052
0.0,4,0.17076
0.0,5,0.171057
0.0,2,0.171216
0.0,11,0.171749
0.0,5,0.17204
0.0,7,0.17241
0.0,38,0.174118
0.0,6,0.174448
0.0,4,0.174687
0.0,6,0.175014
0.0,1,0.175136
0.0,2,0.17529
0.0,6,0.175617
0.0,5,0.1759
0.0,4,0.176153
0.0,3,0.176351
0.0,29,0.177663
0.0,4,0.177905
0.0,7,0.178281
0.0,14,0.17895
0.0,19,0.179834
0.0,14,0.180512
0.0,7,0.180882
0.0,11,0.181434
0.0,1,0.181546
0.0,8,0.181957
0.0,19,0.18284
1.0,14,0.183519
0.0,7,0.183889
0.0,14,0.184572
0.0,4,0.184813
0.0,4,0.185063
0.0,5,0.185348
0.0,6,0.185676
0.0,9,0.18614
0.0,25,0.187275
0.0,60,0.189909
0.0,9,0.190373
0.0,5,0.190657
0.0,14,0.191332
0.0,1,0.191444
0.0,8,0.191858
0.0,2,0.192027
0.0,5,0.192319
0.0,14,0.192982
0.0,5,0.193272
0.0,12,0.193854
0.0,11,0.19441
0.0,2,0.194568
0.0,9,0.195028
0.0,32,0.196464
0.0,13,0.197099
0.0,5,0.197382
0.0,6,0.197705
0.0,21,0.198673
0.0,2,0.198829
0.0,1,0.198937
0.0,14,0.19961
0.0,15,0.200328
0.0,22,0.201339
0.0,15,0.202054
0.0,3,0.202253
0.0,22,0.203264
0.0,4,0.203507
0.0,7,0.203873
0.0,16,0.204638
0.0,11,0.205187
0.0,1,0.205298
0.0,4,0.205541
0.0,9,0.205994
0.0,3,0.206203
0.0,6,0.206527
0.0,18,0.207373
0.0,9,0.207824
0.0,2,0.207978
0.0,18,0.208822
0.0,5,0.209119
0.0,28,0.210388
0.0,9,0.210841
0.0,17,0.211649
0.0,54,0.21405
0.0,10,0.214551
0.0,2,0.214707
0.0,3,0.214902
0.0,2,0.215066
0.0,7,0.215436
0.0,2,0.21559
0.0,12,0.216187
1.0,18,0.217033
0.0,16,0.217787
0.0,14,0.218462
0.0,5,0.218745
0.0,6,0.219078
0.0,4,0.21932
0.0,22,0.220328
0.0,10,0.220821
0.0,4,0.221075
0.0,2,0.221232
0.0,5,0.221513
0.0,13,0.222149
0.0,18,0.222988
0.0,4,0.223236
0.0,23,0.224293
0.0,13,0.224914
0.0,4,0.225167
0.0,15,0.225877
0.0,7,0.226258
0.0,2,0.226414
0.0,1,0.226524
0.0,8,0.226935
0.0,5,0.227227
0.0,2,0.227385
0.0,4,0.227623
0.0,2,0.227776
0.0,11,0.228325
0.0,5,0.22861
0.0,2,0.228763
0.0,7,0.229147
0.0,4,0.229389
0.0,4,0.229627
0.0,11,0.230173
0.0,13,0.230797
0.0,6,0.231135
0.0,3,0.231333
0.0,2,0.231487
0.0,1,0.231595
0.0,2,0.231749
0.0,4,0.23199
0.0,6,0.232324
0.0,16,0.233083
0.0,6,0.233409
0.0,13,0.234048
0.0,16,0.234869
1.0,18,0.235718
1.0,13,0.23635
0.0,10,0.236843
0.0,3,0.237053
0.0,9,0.237504
0.0,2,0.237663
0.0,24,0.23876
0.0,5,0.239055
0.0,35,0.240618
0.0,5,0.240899
0.0,4,0.241148
0.0,4,0.24139
0.0,9,0.241841
0.0,6,0.242174
0.0,41,0.24399
0.0,13,0.244626
0.0,13,0.24526
0.0,25,0.246401
0.0,13,0.247029
0.0,10,0.247524
0.0,8,0.247931
0.0,14,0.248608
0.0,3,0.248806
0.0,2,0.248959
0.0,9,0.249423
0.0,4,0.249665
0.0,1,0.249774
0.0,9,0.250235
0.0,3,0.250432
0.0,15,0.251145
0.0,11,0.25168
0.0,17,0.252477
0.0,12,0.253063
0.0,2,0.253221
0.0,32,0.254709
0.0,13,0.255345
0.0,20,0.256279
0.0,13,0.256899
0.0,4,0.257148
0.0,30,0.258498
0.0,8,0.258911
0.0,2,0.259078
0.0,4,0.259318
0.0,4,0.259559
0.0,6,0.259886
0.0,23,0.260945
0.0,20,0.261871
0.0,5,0.262165
0.0,5,0.262449
0.0,12,0.263033
0.0,7,0.263403
0.0,4,0.263642
0.0,7,0.264008
0.0,11,0.264559
0.0,2,0.264716
0.0,39,0.266461
1.0,8,0.266869
0.0,20,0.267801
0.0,7,0.268183
0.0,2,0.26834
0.0,3,0.268537
0.0,3,0.268732
0.0,8,0.269157
0.0,31,0.270546
0.0,3,0.270743
