#{"t_start": 1522230472.3315861, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,11,0.016064
0.0,6,0.016563
0.0,6,0.017065
0.0,2,0.017311
0.0,2,0.017545
0.0,9,0.018255
0.0,39,0.020907
0.0,5,0.02123
0.0,97,0.02547
0.0,80,0.028977
0.0,66,0.031907
0.0,12,0.032495
0.0,16,0.033257
0.0,26,0.03445
0.0,15,0.035174
0.0,44,0.037138
0.0,41,0.038994
0.0,3,0.039198
0.0,5,0.039483
0.0,73,0.042704
0.0,49,0.044888
0.0,68,0.047868
0.0,8,0.048282
0.0,35,0.049858
0.0,100,0.054237
0.0,15,0.054962
0.0,7,0.055338
0.0,23,0.056397
0.0,24,0.057497
0.0,53,0.059863
0.0,92,0.063892
0.0,15,0.064603
0.0,28,0.065886
0.0,68,0.068882
1.0,39,0.070627
1.0,74,0.073873
0.0,4,0.074118
0.0,43,0.076043
0.0,20,0.076979
0.0,14,0.077653
0.0,47,0.079742
0.0,1,0.079866
0.0,1,0.07998
0.0,4,0.080224
0.0,29,0.081539
0.0,56,0.084027
0.0,2,0.084183
0.0,1,0.084292
0.0,2,0.084444
0.0,33,0.085934
1.0,26,0.087129
0.0,7,0.087501
0.0,18,0.08835
0.0,7,0.088719
0.0,35,0.090301
0.0,45,0.092318
0.0,16,0.093088
1.0,80,0.096601
0.0,29,0.09792
0.0,2,0.098082
1.0,9,0.09854
0.0,5,0.098835
0.0,38,0.100525
1.0,22,0.101564
0.0,12,0.10216
1.0,13,0.102787
0.0,9,0.103251
0.0,8,0.103665
0.0,64,0.106469
1.0,14,0.107153
0.0,8,0.107568
1.0,28,0.108853
1.0,13,0.109482
1.0,22,0.110511
1.0,62,0.113245
0.0,21,0.11422
0.0,9,0.114679
0.0,4,0.11493
1.0,28,0.116208
1.0,47,0.118363
1.0,17,0.119163
1.0,17,0.119963
1.0,60,0.122623
0.0,15,0.123345
0.0,24,0.124433
0.0,13,0.125067
0.0,14,0.125735
0.0,30,0.127095
0.0,7,0.127465
0.0,41,0.12931
0.0,18,0.130155
0.0,65,0.133027
0.0,17,0.133845
0.0,24,0.134944
0.0,7,0.135319
0.0,11,0.135866
0.0,4,0.136106
0.0,25,0.137246
1.0,12,0.137841
0.0,16,0.138582
0.0,29,0.139914
0.0,26,0.141114
1.0,7,0.141489
0.0,61,0.144185
0.0,18,0.14504
0.0,13,0.145665
0.0,5,0.145957
1.0,12,0.146546
0.0,10,0.147061
0.0,3,0.14726
1.0,20,0.148197
1.0,25,0.149345
0.0,26,0.150532
0.0,4,0.150776
0.0,20,0.151715
0.0,15,0.15244
0.0,16,0.153207
0.0,92,0.157222
0.0,7,0.157594
0.0,15,0.158314
1.0,10,0.158814
0.0,11,0.159353
0.0,13,0.159995
0.0,15,0.160701
0.0,7,0.161091
0.0,15,0.161813
0.0,9,0.162264
1.0,71,0.165376
0.0,3,0.165574
1.0,34,0.167101
0.0,4,0.167341
0.0,4,0.167579
0.0,23,0.168645
0.0,6,0.168988
0.0,1,0.169102
1.0,19,0.169991
0.0,3,0.170192
1.0,49,0.172379
1.0,47,0.174476
1.0,16,0.175239
1.0,16,0.176013
0.0,32,0.177449
1.0,14,0.178135
1.0,16,0.1789
1.0,14,0.179568
0.0,22,0.18058
0.0,18,0.181436
1.0,21,0.182409
0.0,5,0.182693
1.0,14,0.183384
0.0,36,0.185016
1.0,43,0.186934
0.0,23,0.188004
0.0,9,0.188459
0.0,12,0.189051
0.0,18,0.189903
0.0,14,0.190568
0.0,17,0.191376
0.0,10,0.191885
1.0,12,0.192477
1.0,13,0.193111
1.0,13,0.193733
0.0,2,0.193901
0.0,3,0.194102
1.0,28,0.195377
0.0,6,0.1957
0.0,1,0.195823
0.0,9,0.19628
1.0,13,0.196921
0.0,44,0.198876
0.0,5,0.199164
1.0,15,0.199879
0.0,13,0.200509
1.0,9,0.200981
0.0,23,0.202044
1.0,23,0.203097
0.0,11,0.203631
0.0,1,0.203744
1.0,21,0.20471
0.0,19,0.20559
1.0,9,0.206053
0.0,44,0.208026
0.0,10,0.208519
1.0,10,0.209021
0.0,19,0.209919
0.0,4,0.210163
0.0,36,0.211786
0.0,21,0.212759
0.0,17,0.213561
0.0,10,0.21407
0.0,38,0.215742
0.0,2,0.215914
0.0,15,0.216627
0.0,34,0.21823
0.0,1,0.218341
1.0,6,0.21867
1.0,13,0.219309
0.0,2,0.219462
0.0,3,0.219663
0.0,15,0.220375
1.0,14,0.221053
0.0,10,0.221551
1.0,12,0.222142
0.0,16,0.222903
0.0,7,0.223268
1.0,12,0.223863
0.0,3,0.224062
0.0,12,0.224642
1.0,20,0.225574
0.0,11,0.226132
0.0,39,0.22789
0.0,26,0.229075
1.0,19,0.229972
0.0,5,0.230254
1.0,10,0.23075
1.0,34,0.232302
0.0,21,0.233277
0.0,20,0.234203
0.0,10,0.234699
1.0,16,0.235468
