#{"t_start": 1523120908.6882465, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,3,0.03544
0.0,15,0.036571
0.0,12,0.037443
0.0,19,0.038819
0.0,11,0.039649
0.0,42,0.042127
0.0,21,0.043091
0.0,17,0.043891
0.0,36,0.045496
0.0,27,0.046705
0.0,36,0.048303
0.0,41,0.050104
0.0,72,0.053232
0.0,8,0.053653
0.0,3,0.053852
1.0,38,0.055534
0.0,19,0.05641
0.0,24,0.057496
0.0,65,0.060305
0.0,1,0.060416
0.0,10,0.060905
1.0,22,0.06192
0.0,9,0.062378
0.0,3,0.062572
0.0,2,0.062723
0.0,11,0.063247
0.0,18,0.064082
0.0,9,0.064541
0.0,21,0.065505
0.0,75,0.068736
0.0,17,0.069525
0.0,11,0.070054
0.0,3,0.070252
0.0,10,0.070749
0.0,2,0.070902
0.0,36,0.072507
0.0,26,0.07368
0.0,7,0.074045
0.0,14,0.074709
0.0,57,0.077176
0.0,3,0.077385
0.0,32,0.078802
0.0,27,0.080015
0.0,28,0.081259
0.0,35,0.082819
0.0,15,0.083531
0.0,17,0.08432
0.0,10,0.084812
0.0,3,0.085008
0.0,18,0.085833
0.0,1,0.085944
0.0,17,0.086733
0.0,59,0.089305
0.0,28,0.090566
0.0,30,0.091917
0.0,7,0.092281
0.0,14,0.092945
0.0,9,0.093399
0.0,7,0.093763
0.0,6,0.094086
0.0,29,0.095386
0.0,8,0.095792
0.0,9,0.096235
0.0,17,0.09703
0.0,7,0.097408
0.0,23,0.098452
0.0,7,0.098816
0.0,18,0.099648
0.0,10,0.100136
0.0,21,0.101094
1.0,14,0.101766
0.0,39,0.103488
0.0,8,0.103896
1.0,26,0.105067
0.0,10,0.105576
0.0,8,0.105983
0.0,4,0.106222
0.0,6,0.10655
0.0,8,0.106958
0.0,40,0.108716
0.0,3,0.108913
0.0,54,0.11126
0.0,13,0.111892
0.0,11,0.112438
0.0,21,0.113395
0.0,20,0.114311
0.0,22,0.115312
0.0,29,0.116615
0.0,2,0.116768
0.0,27,0.117987
0.0,11,0.118526
0.0,20,0.119447
0.0,1,0.119556
0.0,3,0.119748
1.0,17,0.120533
0.0,16,0.121278
0.0,6,0.121613
0.0,7,0.121973
1.0,13,0.122603
0.0,38,0.124267
1.0,7,0.12464
0.0,13,0.125249
0.0,17,0.12604
0.0,5,0.126329
0.0,34,0.127835
0.0,6,0.128158
0.0,33,0.129632
1.0,13,0.130259
0.0,16,0.131002
0.0,4,0.131239
0.0,41,0.133049
0.0,10,0.133549
0.0,12,0.13412
0.0,5,0.134412
0.0,9,0.13486
0.0,21,0.135824
0.0,14,0.136555
1.0,14,0.137206
0.0,20,0.138122
0.0,13,0.138749
1.0,14,0.139413
0.0,22,0.140418
0.0,12,0.140994
0.0,42,0.142852
1.0,16,0.143602
0.0,3,0.143795
0.0,10,0.144282
0.0,7,0.144659
0.0,17,0.145448
0.0,7,0.145811
0.0,8,0.146213
0.0,28,0.147471
0.0,69,0.15044
0.0,8,0.150847
0.0,20,0.151771
0.0,8,0.152177
0.0,3,0.152381
0.0,15,0.153077
0.0,11,0.153615
0.0,28,0.154858
0.0,10,0.155356
0.0,17,0.156138
0.0,7,0.15651
0.0,7,0.156872
0.0,1,0.156978
0.0,7,0.157346
0.0,16,0.158084
0.0,4,0.158331
0.0,5,0.158607
0.0,6,0.158932
0.0,13,0.159552
1.0,12,0.160121
0.0,7,0.160491
0.0,11,0.161022
0.0,12,0.161608
0.0,7,0.161972
0.0,13,0.162596
0.0,20,0.163508
0.0,2,0.16366
0.0,11,0.164181
0.0,7,0.164549
0.0,10,0.165037
0.0,9,0.165493
