#{"t_start": 1523122058.640146, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,100,0.039968
0.0,36,0.041604
0.0,12,0.042181
0.0,12,0.042767
0.0,20,0.043694
0.0,34,0.045199
0.0,22,0.046198
0.0,6,0.046539
0.0,21,0.047501
0.0,13,0.048122
0.0,12,0.048708
0.0,6,0.04903
0.0,29,0.050328
0.0,6,0.050666
0.0,10,0.051161
0.0,7,0.051536
0.0,11,0.052066
0.0,8,0.052482
0.0,100,0.056868
0.0,1,0.05698
0.0,8,0.057387
0.0,3,0.05759
0.0,20,0.058513
0.0,1,0.058623
0.0,7,0.058991
0.0,20,0.059916
0.0,54,0.06228
0.0,44,0.064227
0.0,11,0.064773
0.0,69,0.067781
0.0,69,0.070786
0.0,100,0.075088
0.0,23,0.076134
0.0,13,0.076771
0.0,6,0.077092
0.0,10,0.07759
0.0,1,0.077702
0.0,49,0.079852
0.0,9,0.080297
0.0,4,0.080547
0.0,10,0.081041
0.0,11,0.081585
0.0,13,0.082201
0.0,1,0.082311
0.0,14,0.082983
0.0,69,0.085977
0.0,17,0.086781
0.0,31,0.088163
0.0,45,0.090142
0.0,11,0.09069
0.0,9,0.091136
0.0,14,0.091805
0.0,20,0.092732
0.0,22,0.093739
0.0,6,0.094061
0.0,1,0.094169
0.0,85,0.097884
0.0,7,0.098253
0.0,57,0.100745
0.0,57,0.103236
0.0,75,0.106516
0.0,30,0.107859
0.0,100,0.11217
0.0,16,0.112926
0.0,7,0.113292
0.0,1,0.1134
0.0,2,0.113562
0.0,3,0.113755
0.0,2,0.113908
0.0,75,0.117161
0.0,74,0.120372
0.0,63,0.123123
0.0,1,0.123236
0.0,45,0.125222
0.0,22,0.126229
0.0,68,0.129197
0.0,22,0.130207
0.0,18,0.131045
0.0,1,0.131157
0.0,82,0.13472
0.0,36,0.136315
0.0,13,0.137007
0.0,31,0.138389
0.0,44,0.140324
0.0,91,0.144236
0.0,12,0.144828
0.0,62,0.147538
0.0,40,0.1493
0.0,60,0.151911
0.0,100,0.156211
0.0,84,0.159841
0.0,77,0.163175
0.0,38,0.164856
0.0,10,0.165346
0.0,100,0.169647
0.0,8,0.170051
0.0,13,0.170676
0.0,12,0.171253
0.0,18,0.172091
0.0,12,0.172678
0.0,5,0.172956
0.0,9,0.1734
0.0,7,0.173774
0.0,26,0.174944
0.0,8,0.175347
0.0,7,0.175721
0.0,1,0.175833
0.0,14,0.176508
0.0,18,0.177338
0.0,1,0.177458
0.0,3,0.177655
0.0,6,0.177974
0.0,11,0.178517
0.0,14,0.179173
0.0,15,0.179879
0.0,10,0.180372
0.0,2,0.180534
0.0,9,0.180982
0.0,15,0.18169
0.0,38,0.183374
0.0,1,0.183495
0.0,14,0.18415
0.0,94,0.188194
0.0,16,0.188954
0.0,6,0.189278
0.0,44,0.191208
0.0,54,0.193571
0.0,100,0.198002
0.0,1,0.198115
0.0,2,0.198267
0.0,2,0.198428
0.0,7,0.198795
0.0,10,0.199279
0.0,5,0.199569
1.0,23,0.20062
0.0,17,0.201402
0.0,46,0.203408
0.0,53,0.205734
0.0,100,0.210038
0.0,7,0.210402
0.0,49,0.212559
0.0,23,0.213611
0.0,56,0.216055
0.0,24,0.217152
0.0,26,0.218322
0.0,1,0.218444
0.0,34,0.219944
0.0,12,0.22053
0.0,100,0.224832
0.0,3,0.225033
0.0,35,0.226601
0.0,19,0.227485
0.0,22,0.22849
0.0,9,0.228935
0.0,10,0.229428
0.0,16,0.230172
0.0,2,0.230324
0.0,19,0.231199
0.0,28,0.232467
0.0,3,0.232663
1.0,29,0.233956
0.0,10,0.234453
0.0,15,0.235152
0.0,19,0.236027
0.0,16,0.23679
0.0,34,0.238367
0.0,48,0.24048
0.0,6,0.240805
0.0,24,0.241893
0.0,10,0.242386
1.0,41,0.244196
0.0,32,0.245623
0.0,27,0.246845
0.0,23,0.247901
0.0,1,0.248013
0.0,1,0.248121
0.0,13,0.248751
0.0,47,0.250815
0.0,48,0.252921
1.0,13,0.25355
0.0,38,0.255224
0.0,76,0.258529
0.0,14,0.259195
0.0,13,0.259819
0.0,26,0.260988
0.0,38,0.262677
0.0,11,0.263211
0.0,13,0.263841
0.0,16,0.264596
0.0,15,0.265295
0.0,13,0.265915
0.0,4,0.266155
0.0,12,0.266749
0.0,4,0.266987
0.0,17,0.267776
0.0,10,0.268267
0.0,28,0.269533
0.0,34,0.27104
0.0,12,0.271627
0.0,11,0.27216
0.0,10,0.272661
0.0,26,0.273829
0.0,9,0.274282
0.0,19,0.275159
0.0,8,0.275576
0.0,32,0.277006
0.0,19,0.277884
0.0,30,0.279228
0.0,12,0.279814
0.0,60,0.282439
0.0,25,0.283582
0.0,27,0.284791
0.0,20,0.285715
0.0,25,0.286848
0.0,19,0.287724
0.0,54,0.290088
0.0,4,0.290329
0.0,33,0.291812
0.0,8,0.292218
0.0,14,0.29289
0.0,7,0.293259
0.0,4,0.293509
0.0,21,0.294477
0.0,30,0.295821
0.0,42,0.297678
0.0,17,0.298475
0.0,28,0.299731
0.0,24,0.300828
0.0,9,0.30128
0.0,25,0.30242
0.0,14,0.303084
0.0,32,0.304512
1.0,39,0.306233
0.0,2,0.306388
0.0,13,0.307019
0.0,1,0.307128
0.0,7,0.307503
0.0,13,0.308117
0.0,23,0.309163
0.0,22,0.310172
0.0,4,0.31042
0.0,14,0.311083
0.0,5,0.311361
0.0,7,0.311746
0.0,11,0.312279
0.0,22,0.313284
0.0,13,0.313914
0.0,12,0.314506
0.0,1,0.314618
0.0,62,0.317296
0.0,6,0.317636
0.0,6,0.317958
1.0,78,0.321329
1.0,19,0.322211
0.0,9,0.322671
0.0,12,0.323244
0.0,48,0.325337
0.0,25,0.326487
0.0,6,0.326811
1.0,14,0.327477
0.0,7,0.327839
0.0,10,0.328324
0.0,5,0.328611
