#{"t_start": 1523136109.2567708, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,1,0.007308
0.0,100,0.009604
0.0,8,0.009862
0.0,2,0.009971
0.0,7,0.010199
0.0,11,0.010517
0.0,2,0.010623
0.0,1,0.010703
0.0,19,0.011194
0.0,100,0.013484
0.0,24,0.014108
0.0,12,0.014451
0.0,61,0.015867
0.0,100,0.018157
0.0,31,0.018916
0.0,5,0.019106
0.0,3,0.019243
0.0,2,0.019355
1.0,78,0.021174
1.0,20,0.021691
1.0,35,0.022544
0.0,11,0.022863
0.0,14,0.023257
0.0,36,0.024146
1.0,32,0.024908
1.0,8,0.025168
0.0,1,0.025256
1.0,12,0.025595
0.0,12,0.025924
0.0,11,0.026237
0.0,9,0.026494
1.0,26,0.027141
0.0,3,0.027277
0.0,16,0.027704
1.0,11,0.028006
1.0,20,0.028516
0.0,9,0.028779
1.0,31,0.029554
0.0,28,0.030259
0.0,13,0.030613
1.0,43,0.031635
0.0,13,0.031993
0.0,6,0.032197
1.0,19,0.032695
1.0,19,0.033187
1.0,19,0.033675
1.0,83,0.035607
1.0,34,0.036438
0.0,3,0.036572
0.0,22,0.037132
0.0,12,0.037464
1.0,27,0.038133
0.0,60,0.03951
0.0,12,0.039841
0.0,1,0.039921
1.0,34,0.040742
0.0,10,0.041041
1.0,28,0.041736
0.0,39,0.042678
1.0,18,0.043149
1.0,25,0.043763
0.0,12,0.044116
0.0,2,0.04423
1.0,59,0.045596
0.0,22,0.046165
0.0,3,0.046299
0.0,5,0.046483
0.0,2,0.046587
0.0,10,0.046877
1.0,10,0.047183
1.0,8,0.047422
1.0,11,0.047731
1.0,10,0.048008
1.0,21,0.048563
0.0,10,0.048852
1.0,15,0.049269
0.0,6,0.049467
0.0,5,0.049639
0.0,6,0.04984
0.0,4,0.04999
1.0,21,0.05053
1.0,37,0.051414
0.0,21,0.051944
0.0,21,0.05249
0.0,12,0.052822
0.0,8,0.053078
0.0,60,0.054469
0.0,6,0.054671
1.0,33,0.055494
0.0,1,0.055578
1.0,9,0.055848
1.0,18,0.05632
1.0,16,0.056737
0.0,6,0.056946
1.0,43,0.05796
0.0,22,0.058534
1.0,17,0.058967
1.0,20,0.059489
1.0,42,0.0605
0.0,16,0.060929
1.0,17,0.061381
0.0,12,0.06171
1.0,36,0.062574
0.0,2,0.06268
0.0,12,0.063004
0.0,8,0.063259
0.0,16,0.063681
0.0,15,0.064097
1.0,45,0.065159
1.0,24,0.065749
1.0,28,0.06645
0.0,3,0.06659
1.0,11,0.066901
1.0,20,0.067418
0.0,4,0.067568
1.0,57,0.068883
0.0,20,0.069394
1.0,27,0.070051
1.0,11,0.070364
0.0,2,0.070475
0.0,23,0.07109
0.0,3,0.071227
1.0,31,0.071969
1.0,45,0.073039
1.0,38,0.073961
0.0,5,0.074149
0.0,3,0.074279
0.0,10,0.074573
1.0,35,0.075418
1.0,12,0.075752
0.0,35,0.076616
0.0,2,0.076724
0.0,1,0.076803
0.0,1,0.076881
0.0,7,0.077114
1.0,70,0.07875
0.0,34,0.079596
0.0,20,0.080128
0.0,3,0.080264
0.0,5,0.080442
0.0,10,0.080741
0.0,2,0.080846
0.0,14,0.081238
1.0,22,0.081771
0.0,66,0.083292
0.0,3,0.083429
1.0,14,0.083804
0.0,24,0.084419
1.0,22,0.084979
0.0,3,0.085125
0.0,6,0.085326
1.0,23,0.085895
0.0,14,0.086284
1.0,30,0.087007
1.0,9,0.087276
1.0,38,0.088176
0.0,1,0.088262
1.0,22,0.08882
0.0,6,0.089017
0.0,1,0.089112
0.0,2,0.089223
0.0,1,0.089308
0.0,4,0.089465
0.0,22,0.090036
0.0,28,0.090744
0.0,3,0.090876
1.0,60,0.092298
0.0,11,0.092621
1.0,41,0.093592
0.0,2,0.093703
0.0,53,0.094919
0.0,4,0.095093
0.0,8,0.095345
1.0,22,0.095904
0.0,5,0.096094
0.0,4,0.096246
1.0,13,0.096599
1.0,17,0.097049
0.0,2,0.097155
1.0,19,0.097643
0.0,1,0.097727
1.0,11,0.098038
0.0,37,0.098933
0.0,4,0.099093
0.0,2,0.0992
0.0,5,0.099378
1.0,22,0.099915
1.0,18,0.100376
1.0,18,0.100835
0.0,18,0.101309
0.0,12,0.101633
1.0,19,0.102125
1.0,20,0.102646
1.0,35,0.103495
1.0,38,0.104413
1.0,27,0.10509
1.0,13,0.10546
0.0,7,0.105673
1.0,16,0.106094
1.0,13,0.106464
0.0,4,0.106613
0.0,19,0.107116
1.0,12,0.107452
1.0,6,0.107708
1.0,18,0.108197
0.0,11,0.108504
0.0,5,0.108685
1.0,30,0.109421
0.0,24,0.110035
1.0,30,0.110764
0.0,4,0.110913
0.0,1,0.110991
0.0,8,0.111251
0.0,5,0.111435
1.0,58,0.112785
0.0,32,0.113564
0.0,21,0.114108
1.0,25,0.114734
0.0,50,0.115908
1.0,8,0.116172
1.0,46,0.117301
0.0,6,0.117496
1.0,17,0.117947
0.0,30,0.118681
1.0,11,0.118991
0.0,20,0.119507
0.0,1,0.119592
0.0,33,0.120398
0.0,18,0.120854
1.0,36,0.121736
1.0,16,0.122176
0.0,7,0.122408
0.0,5,0.122591
0.0,7,0.122817
0.0,5,0.123002
0.0,12,0.123352
0.0,5,0.123533
1.0,10,0.123826
1.0,38,0.124744
1.0,9,0.125003
0.0,21,0.125533
1.0,12,0.125856
1.0,9,0.126122
1.0,13,0.126484
1.0,16,0.126891
1.0,34,0.127749
0.0,11,0.128078
1.0,39,0.129011
1.0,18,0.12949
0.0,4,0.129649
0.0,4,0.129807
0.0,7,0.130043
0.0,2,0.130152
1.0,23,0.130728
0.0,8,0.13098
1.0,9,0.131258
0.0,3,0.131393
0.0,32,0.132194
1.0,60,0.133617
1.0,24,0.13423
1.0,17,0.134669
1.0,43,0.1357
0.0,48,0.136838
0.0,4,0.137004
0.0,8,0.137253
0.0,13,0.137618
0.0,2,0.137724
1.0,26,0.138369
0.0,8,0.138619
1.0,32,0.139384
1.0,17,0.139827
0.0,37,0.140734
1.0,25,0.141369
1.0,25,0.141976
0.0,5,0.142158
0.0,20,0.142675
0.0,31,0.143435
1.0,35,0.144283
0.0,4,0.144433
0.0,16,0.144848
0.0,2,0.144954
1.0,13,0.145322
1.0,22,0.145878
1.0,21,0.146423
1.0,8,0.14666
1.0,47,0.147766
0.0,13,0.148154
0.0,4,0.148318
1.0,53,0.149572
0.0,17,0.15001
1.0,29,0.150736
0.0,13,0.151097
0.0,7,0.151313
0.0,2,0.151422
1.0,10,0.151717
1.0,37,0.152589
1.0,20,0.153104
0.0,5,0.153283
0.0,1,0.153369
1.0,25,0.154002
1.0,30,0.154746
1.0,13,0.155114
0.0,5,0.155287
0.0,9,0.155554
1.0,26,0.156224
0.0,25,0.156852
0.0,18,0.157332
0.0,8,0.157584
0.0,7,0.157802
0.0,3,0.157937
0.0,5,0.158134
0.0,1,0.158216
1.0,36,0.159083
0.0,30,0.159812
0.0,7,0.160054
1.0,15,0.160459
1.0,15,0.160865
1.0,16,0.161311
1.0,21,0.161837
0.0,6,0.162043
1.0,14,0.162413
0.0,3,0.162538
0.0,1,0.162623
0.0,14,0.163008
1.0,39,0.163952
0.0,11,0.164274
0.0,12,0.164615
0.0,1,0.164696
1.0,14,0.165085
1.0,55,0.166386
0.0,14,0.166762
1.0,12,0.1671
1.0,18,0.167567
0.0,53,0.16881
1.0,11,0.169136
0.0,8,0.169386
1.0,10,0.16967
0.0,16,0.170118
0.0,2,0.170226
0.0,23,0.170815
0.0,1,0.170902
0.0,9,0.17118
0.0,3,0.171309
0.0,17,0.171755
1.0,21,0.17231
0.0,6,0.172504
1.0,21,0.173052
1.0,16,0.173473
1.0,30,0.174212
1.0,18,0.174675
0.0,25,0.175306
0.0,12,0.175645
1.0,13,0.176009
0.0,15,0.17642
1.0,14,0.176789
1.0,30,0.177526
0.0,4,0.177677
1.0,12,0.178015
1.0,24,0.178612
0.0,12,0.178948
0.0,18,0.179433
0.0,1,0.179516
1.0,29,0.180247
1.0,13,0.180592
0.0,19,0.181081
0.0,5,0.181262
1.0,20,0.181756
1.0,32,0.182549
1.0,14,0.182927
0.0,5,0.183115
1.0,21,0.183651
1.0,58,0.185012
1.0,21,0.185546
1.0,19,0.186038
0.0,42,0.187027
0.0,14,0.187411
0.0,14,0.187803
1.0,37,0.1887
0.0,13,0.189075
0.0,5,0.189254
1.0,46,0.19036
0.0,2,0.190477
1.0,9,0.19074
1.0,32,0.191545
0.0,8,0.191784
1.0,26,0.192439
0.0,4,0.192596
0.0,36,0.193453
1.0,29,0.194171
0.0,8,0.194423
0.0,3,0.194554
1.0,12,0.194894
1.0,76,0.196667
0.0,6,0.196863
1.0,32,0.197658
1.0,30,0.198403
1.0,17,0.198852
0.0,15,0.199265
0.0,9,0.199528
0.0,6,0.199721
1.0,25,0.200345
0.0,10,0.200624
0.0,2,0.200734
1.0,52,0.201949
1.0,62,0.203425
1.0,37,0.204336
0.0,10,0.204631
1.0,42,0.205645
1.0,19,0.206146
0.0,5,0.206325
0.0,19,0.206806
1.0,71,0.208462
0.0,1,0.208606
0.0,16,0.209061
1.0,51,0.210277
0.0,3,0.210412
1.0,24,0.211013
1.0,23,0.211591
1.0,15,0.211973
1.0,26,0.212626
1.0,28,0.213317
1.0,30,0.21405
1.0,28,0.21473
1.0,50,0.215887
1.0,24,0.216506
0.0,18,0.21697
0.0,41,0.217929
0.0,19,0.21844
0.0,17,0.21888
1.0,23,0.219476
0.0,15,0.21987
0.0,35,0.22071
0.0,7,0.220933
0.0,23,0.221521
0.0,4,0.221686
0.0,3,0.221814
0.0,4,0.221962
0.0,69,0.22356
0.0,4,0.223711
0.0,4,0.223858
0.0,15,0.22426
0.0,2,0.224372
0.0,21,0.224897
0.0,9,0.225168
1.0,13,0.225524
0.0,12,0.225865
1.0,22,0.226435
0.0,20,0.226926
0.0,15,0.227341
1.0,19,0.227829
1.0,15,0.228279
0.0,12,0.228653
0.0,22,0.229263
1.0,40,0.230225
1.0,21,0.230778
1.0,35,0.231623
0.0,27,0.232301
0.0,10,0.232587
1.0,12,0.232919
1.0,25,0.233567
0.0,18,0.234022
0.0,1,0.234117
0.0,13,0.234477
1.0,34,0.2353
1.0,22,0.235866
0.0,34,0.236696
0.0,20,0.23721
1.0,29,0.237907
0.0,9,0.238191
1.0,13,0.238536
0.0,25,0.239155
0.0,2,0.239266
1.0,25,0.239892
0.0,27,0.240561
1.0,14,0.240935
0.0,48,0.242081
0.0,8,0.242329
0.0,14,0.242706
0.0,16,0.243144
0.0,11,0.24347
0.0,3,0.243605
0.0,12,0.243931
0.0,14,0.244319
1.0,24,0.24492
1.0,95,0.247126
0.0,12,0.247449
1.0,33,0.248241
0.0,18,0.248708
0.0,5,0.248885
1.0,46,0.249964
0.0,15,0.250381
1.0,52,0.251592
0.0,8,0.251829
1.0,11,0.252137
0.0,5,0.252313
1.0,14,0.252681
1.0,25,0.253302
1.0,30,0.254045
1.0,12,0.254385
0.0,3,0.254519
1.0,17,0.254977
0.0,5,0.255165
0.0,11,0.255467
1.0,14,0.255831
1.0,23,0.256411
1.0,12,0.256749
0.0,10,0.257055
0.0,1,0.257138
1.0,40,0.258087
1.0,19,0.258557
1.0,19,0.259035
1.0,11,0.259335
1.0,17,0.259772
0.0,22,0.260337
1.0,11,0.260653
1.0,28,0.261351
0.0,6,0.261552
0.0,23,0.262135
1.0,23,0.262694
1.0,29,0.263412
0.0,5,0.263596
1.0,12,0.263934
0.0,20,0.264456
0.0,14,0.264846
0.0,3,0.264974
0.0,1,0.265071
0.0,17,0.265513
1.0,61,0.266963
0.0,11,0.267274
0.0,16,0.267707
0.0,4,0.267858
1.0,23,0.26845
1.0,9,0.26872
1.0,41,0.269687
0.0,1,0.269769
1.0,23,0.270354
1.0,9,0.27062
1.0,30,0.271392
1.0,19,0.27188
0.0,2,0.271984
0.0,34,0.27281
1.0,63,0.274277
1.0,17,0.27472
0.0,41,0.275686
0.0,14,0.276084
0.0,4,0.276237
0.0,33,0.277014
0.0,10,0.277317
0.0,17,0.277759
1.0,9,0.278026
1.0,25,0.278651
0.0,9,0.278923
1.0,7,0.279158
0.0,7,0.279379
1.0,23,0.279953
0.0,16,0.280371
1.0,28,0.281065
0.0,35,0.281922
0.0,24,0.282533
1.0,16,0.282964
0.0,2,0.28308
0.0,7,0.283305
0.0,4,0.283457
0.0,4,0.283611
0.0,5,0.283783
0.0,6,0.283982
0.0,6,0.284197
1.0,17,0.284636
1.0,30,0.285369
0.0,2,0.285475
0.0,1,0.285554
1.0,23,0.28613
0.0,18,0.286608
0.0,6,0.286807
0.0,2,0.286919
0.0,11,0.287245
1.0,13,0.287598
0.0,28,0.288285
1.0,29,0.288999
0.0,16,0.289441
1.0,15,0.289839
0.0,12,0.290181
1.0,20,0.290687
0.0,1,0.290767
1.0,24,0.291374
0.0,6,0.291575
0.0,3,0.29171
1.0,30,0.29243
1.0,24,0.293042
1.0,29,0.293757
1.0,32,0.294542
0.0,13,0.294904
0.0,4,0.295075
0.0,8,0.295327
0.0,3,0.295461
0.0,1,0.295541
1.0,23,0.296137
0.0,6,0.296338
0.0,26,0.296957
1.0,14,0.297344
0.0,7,0.297567
0.0,1,0.297652
0.0,2,0.297763
1.0,12,0.298115
0.0,5,0.298292
0.0,15,0.298691
0.0,2,0.298797
0.0,1,0.298876
1.0,12,0.299212
0.0,6,0.299423
0.0,24,0.300023
0.0,15,0.30044
1.0,16,0.300862
1.0,9,0.301131
0.0,100,0.303416
0.0,1,0.3035
1.0,68,0.305086
0.0,11,0.305415
0.0,1,0.305501
0.0,3,0.305639
0.0,1,0.305719
1.0,30,0.306457
0.0,1,0.306544
0.0,2,0.306655
1.0,30,0.307414
0.0,21,0.307949
0.0,5,0.308134
0.0,37,0.309013
0.0,6,0.309287
1.0,8,0.309536
1.0,29,0.310246
1.0,17,0.310713
0.0,3,0.310848
0.0,14,0.311244
0.0,36,0.312118
0.0,22,0.312673
1.0,14,0.313065
0.0,19,0.313568
0.0,22,0.314135
0.0,5,0.314314
1.0,16,0.31474
0.0,13,0.315104
0.0,8,0.315349
1.0,10,0.31563
0.0,20,0.31614
1.0,22,0.316687
0.0,2,0.316797
0.0,3,0.316935
0.0,19,0.317438
1.0,27,0.31811
0.0,3,0.318238
0.0,8,0.318478
0.0,5,0.318654
1.0,9,0.318912
0.0,19,0.31941
0.0,13,0.319782
1.0,14,0.320158
1.0,17,0.320602
0.0,5,0.32078
1.0,21,0.321315
0.0,1,0.321401
0.0,28,0.322093
0.0,3,0.322228
0.0,13,0.322592
1.0,94,0.324771
1.0,19,0.325282
1.0,17,0.325732
0.0,7,0.325955
1.0,9,0.326234
1.0,49,0.327393
1.0,22,0.327941
0.0,13,0.328314
0.0,4,0.328472
0.0,38,0.329386
0.0,2,0.329498
1.0,16,0.329917
0.0,9,0.330184
1.0,26,0.330838
0.0,9,0.331119
1.0,24,0.331711
0.0,35,0.332556
1.0,12,0.332896
1.0,15,0.333305
1.0,25,0.333923
1.0,16,0.334339
1.0,36,0.335235
0.0,4,0.335392
0.0,28,0.336076
1.0,24,0.336684
0.0,2,0.336794
0.0,11,0.337122
0.0,9,0.337384
1.0,24,0.337978
1.0,21,0.338569
