#{"t_start": 1523135199.096644, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,85,0.014365
0.0,9,0.015232
0.0,17,0.016778
0.0,29,0.019325
0.0,12,0.020118
0.0,57,0.023602
0.0,3,0.023876
0.0,13,0.024747
0.0,38,0.027054
0.0,33,0.029528
0.0,100,0.037948
0.0,3,0.038328
0.0,3,0.038691
0.0,2,0.038967
0.0,4,0.039413
0.0,5,0.039932
0.0,2,0.040206
0.0,33,0.043056
0.0,19,0.044379
0.0,7,0.044878
0.0,16,0.045907
0.0,30,0.047762
0.0,14,0.048695
0.0,1,0.048851
0.0,7,0.04937
0.0,27,0.051005
0.0,11,0.051753
0.0,5,0.052143
0.0,5,0.052544
0.0,100,0.058467
0.0,2,0.05868
0.0,1,0.058833
0.0,2,0.059042
0.0,3,0.059359
0.0,3,0.059631
0.0,26,0.061227
0.0,4,0.061567
0.0,51,0.064075
0.0,53,0.06653
0.0,40,0.068383
1.0,19,0.069317
0.0,33,0.070843
0.0,54,0.073949
0.0,74,0.078354
0.0,34,0.080448
0.0,100,0.086359
0.0,40,0.088786
0.0,1,0.08894
0.0,1,0.089091
0.0,2,0.08933
0.0,2,0.089544
0.0,2,0.089753
0.0,23,0.091624
1.0,33,0.094492
0.0,1,0.094687
0.0,40,0.098124
0.0,27,0.100154
0.0,4,0.100508
0.0,4,0.100837
0.0,6,0.101313
1.0,15,0.10229
0.0,13,0.103121
0.0,10,0.103816
0.0,13,0.104698
0.0,4,0.105023
0.0,10,0.105732
0.0,15,0.106714
0.0,27,0.108512
0.0,5,0.109133
0.0,7,0.10986
0.0,3,0.110221
0.0,8,0.111026
0.0,2,0.11135
1.0,9,0.112213
0.0,8,0.113001
0.0,7,0.113728
0.0,17,0.115323
0.0,18,0.116949
0.0,26,0.11932
0.0,30,0.121927
0.0,6,0.122574
0.0,13,0.123758
0.0,3,0.124119
0.0,23,0.12618
0.0,54,0.130814
1.0,17,0.132358
0.0,1,0.132552
0.0,6,0.133151
0.0,6,0.133761
0.0,11,0.134799
0.0,7,0.1355
0.0,8,0.136289
0.0,42,0.13989
0.0,31,0.142598
0.0,4,0.143041
1.0,31,0.145725
1.0,18,0.147026
0.0,19,0.148245
0.0,12,0.149029
0.0,17,0.150129
0.0,10,0.150815
0.0,14,0.151736
0.0,38,0.154047
0.0,4,0.154403
0.0,18,0.155548
0.0,47,0.158409
0.0,14,0.159312
0.0,7,0.159823
0.0,9,0.16047
0.0,7,0.160964
1.0,9,0.161598
0.0,1,0.161752
0.0,22,0.163118
0.0,11,0.163868
0.0,11,0.16461
0.0,27,0.166763
0.0,3,0.167124
0.0,68,0.172932
0.0,9,0.173806
0.0,6,0.174426
0.0,21,0.176299
0.0,82,0.183214
0.0,36,0.186362
0.0,6,0.186966
0.0,48,0.190902
0.0,5,0.191332
0.0,17,0.192449
0.0,9,0.193071
0.0,5,0.193479
0.0,12,0.194272
0.0,34,0.196354
0.0,8,0.196912
0.0,7,0.197435
0.0,26,0.19903
1.0,27,0.20074
0.0,1,0.200891
0.0,15,0.201887
0.0,10,0.202604
0.0,40,0.205045
0.0,47,0.207868
0.0,4,0.208194
0.0,7,0.208713
0.0,23,0.210745
0.0,1,0.210937
0.0,37,0.214183
0.0,11,0.215256
0.0,25,0.217475
0.0,13,0.218675
0.0,1,0.218867
0.0,4,0.219352
0.0,21,0.221208
0.0,9,0.22208
0.0,22,0.224029
0.0,7,0.224728
0.0,6,0.225356
0.0,13,0.22656
0.0,4,0.227005
0.0,6,0.227657
0.0,36,0.230798
0.0,46,0.234723
0.0,11,0.235755
0.0,15,0.23711
0.0,11,0.238128
0.0,2,0.238446
1.0,29,0.240953
0.0,19,0.24269
1.0,12,0.243687
