#{"t_start": 1523135350.6063156, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.00638
0.0,8,0.006673
0.0,12,0.007035
0.0,10,0.007367
0.0,7,0.007615
0.0,8,0.007879
0.0,6,0.008088
0.0,29,0.008812
0.0,14,0.009195
0.0,10,0.009495
0.0,28,0.010165
0.0,13,0.010522
0.0,12,0.010867
0.0,13,0.011238
0.0,10,0.011527
0.0,38,0.012423
0.0,16,0.012835
0.0,8,0.013083
0.0,26,0.013729
1.0,39,0.014662
0.0,10,0.014941
0.0,6,0.015135
0.0,2,0.015252
0.0,1,0.015334
0.0,16,0.015755
1.0,40,0.0167
0.0,12,0.017023
0.0,1,0.017104
0.0,5,0.017287
0.0,35,0.018119
1.0,13,0.018483
0.0,1,0.018566
0.0,31,0.019327
0.0,10,0.019617
0.0,2,0.019723
0.0,32,0.020493
0.0,7,0.020722
0.0,15,0.021109
1.0,14,0.021489
0.0,2,0.021601
0.0,22,0.022143
0.0,3,0.022289
0.0,5,0.022475
0.0,5,0.022655
1.0,10,0.022956
0.0,9,0.023235
0.0,3,0.023367
0.0,10,0.023654
0.0,11,0.023955
0.0,4,0.024104
0.0,7,0.024337
0.0,2,0.024446
0.0,2,0.024562
0.0,9,0.02483
0.0,23,0.025445
0.0,19,0.025928
0.0,6,0.026129
0.0,11,0.026442
0.0,5,0.02662
0.0,1,0.026708
0.0,11,0.027011
0.0,20,0.027517
0.0,18,0.027977
0.0,21,0.028519
1.0,9,0.028785
1.0,34,0.029594
0.0,2,0.029707
0.0,10,0.029986
0.0,18,0.030458
1.0,10,0.030739
0.0,12,0.031058
0.0,12,0.031404
0.0,1,0.031486
0.0,1,0.03157
0.0,1,0.03165
0.0,2,0.031756
0.0,6,0.031951
0.0,10,0.032241
0.0,4,0.032392
0.0,13,0.032749
0.0,7,0.032973
0.0,8,0.033222
0.0,11,0.03354
0.0,5,0.033713
0.0,19,0.034175
0.0,20,0.034671
0.0,5,0.034847
0.0,4,0.034998
0.0,6,0.03519
0.0,16,0.035617
0.0,1,0.035699
0.0,7,0.035917
0.0,3,0.036043
0.0,25,0.036649
1.0,15,0.037053
0.0,9,0.037332
1.0,17,0.037772
0.0,5,0.037952
0.0,3,0.03808
0.0,4,0.038251
0.0,22,0.038821
1.0,9,0.039079
0.0,13,0.039441
0.0,4,0.039592
0.0,2,0.039696
0.0,1,0.039775
0.0,9,0.040049
0.0,8,0.04031
0.0,10,0.040606
0.0,3,0.040735
1.0,6,0.040929
0.0,2,0.041039
0.0,5,0.04122
0.0,5,0.041394
0.0,24,0.041972
0.0,2,0.042078
0.0,4,0.042237
0.0,18,0.042708
0.0,11,0.043027
0.0,21,0.043565
0.0,25,0.044188
0.0,3,0.044338
0.0,1,0.044421
0.0,41,0.045398
0.0,6,0.045594
0.0,11,0.045903
0.0,13,0.046257
0.0,4,0.046418
0.0,4,0.046576
0.0,7,0.046795
0.0,1,0.046875
0.0,8,0.047122
0.0,2,0.047238
0.0,11,0.047539
0.0,5,0.04771
0.0,6,0.047904
0.0,4,0.048061
0.0,3,0.048195
0.0,18,0.048683
0.0,7,0.048907
0.0,6,0.049106
0.0,2,0.049229
1.0,12,0.049558
0.0,34,0.050385
0.0,3,0.050521
0.0,13,0.050877
0.0,1,0.050958
0.0,51,0.052139
0.0,1,0.052233
0.0,18,0.052711
0.0,6,0.052906
0.0,14,0.053291
0.0,23,0.05385
0.0,4,0.054006
0.0,18,0.054483
0.0,5,0.054657
0.0,3,0.054786
0.0,26,0.055447
0.0,1,0.055531
0.0,16,0.055956
0.0,21,0.056484
0.0,10,0.056779
1.0,6,0.056982
0.0,11,0.057302
1.0,12,0.057626
0.0,6,0.057818
0.0,15,0.058206
0.0,3,0.05835
0.0,37,0.059247
0.0,16,0.059675
0.0,16,0.060086
0.0,12,0.060445
0.0,5,0.060626
0.0,1,0.060712
0.0,34,0.061551
0.0,6,0.061752
1.0,33,0.062556
0.0,15,0.062955
1.0,9,0.063219
0.0,43,0.064275
0.0,5,0.064456
0.0,3,0.064591
0.0,8,0.064845
1.0,34,0.065647
0.0,3,0.065777
0.0,3,0.065905
1.0,8,0.066142
0.0,7,0.066375
1.0,20,0.066883
0.0,28,0.06758
0.0,23,0.068155
0.0,3,0.068302
0.0,21,0.068846
0.0,1,0.068933
0.0,14,0.069331
0.0,12,0.069664
0.0,17,0.070124
0.0,14,0.070515
0.0,1,0.070597
0.0,2,0.070704
0.0,6,0.070905
1.0,9,0.071176
0.0,6,0.071384
0.0,6,0.071579
0.0,22,0.072141
0.0,10,0.072437
