#{"t_start": 1523127195.4531739, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,11,0.001567
0.0,100,0.003791
0.0,3,0.003953
0.0,10,0.004255
0.0,4,0.004408
0.0,28,0.005079
0.0,100,0.007287
0.0,2,0.007393
0.0,5,0.00756
0.0,1,0.007643
0.0,8,0.007883
0.0,3,0.008029
0.0,28,0.008687
0.0,78,0.010408
0.0,5,0.010588
0.0,12,0.010911
0.0,1,0.010996
0.0,20,0.011489
0.0,57,0.012779
0.0,11,0.01308
0.0,33,0.013851
1.0,60,0.015182
1.0,76,0.016884
0.0,10,0.017172
0.0,6,0.017364
1.0,17,0.017795
1.0,15,0.01818
1.0,18,0.018636
0.0,33,0.019411
1.0,27,0.020043
1.0,20,0.02052
1.0,26,0.021142
1.0,26,0.021769
0.0,41,0.02273
1.0,31,0.023467
0.0,5,0.02364
0.0,25,0.024242
0.0,8,0.024491
1.0,28,0.025151
0.0,5,0.025322
1.0,18,0.025763
1.0,29,0.026446
1.0,22,0.026978
0.0,81,0.028797
0.0,36,0.02964
0.0,5,0.029818
0.0,1,0.029896
0.0,3,0.030035
0.0,27,0.030678
0.0,15,0.031072
0.0,13,0.031406
0.0,13,0.031749
0.0,9,0.032019
0.0,39,0.032913
0.0,31,0.033636
0.0,2,0.033743
1.0,37,0.034599
0.0,12,0.03492
1.0,62,0.036334
0.0,28,0.03699
1.0,28,0.037648
0.0,5,0.037818
0.0,36,0.038665
0.0,5,0.038837
0.0,12,0.039167
0.0,28,0.039828
0.0,6,0.040027
1.0,16,0.040426
0.0,17,0.040852
1.0,78,0.042601
1.0,7,0.042818
0.0,6,0.043013
0.0,18,0.043458
0.0,43,0.044456
0.0,12,0.044784
0.0,16,0.045197
0.0,8,0.045426
0.0,2,0.04553
1.0,67,0.047051
0.0,21,0.047562
0.0,48,0.048646
0.0,16,0.049068
0.0,12,0.049381
1.0,26,0.049999
0.0,1,0.050082
1.0,26,0.050702
1.0,11,0.051018
0.0,1,0.0511
0.0,28,0.051761
0.0,10,0.052063
1.0,28,0.052728
0.0,3,0.052856
0.0,19,0.053339
0.0,1,0.053423
0.0,7,0.05364
0.0,7,0.053855
0.0,45,0.054875
1.0,18,0.055329
0.0,21,0.055853
0.0,9,0.056121
1.0,18,0.056566
0.0,2,0.056666
0.0,5,0.05683
1.0,18,0.057295
1.0,17,0.057723
0.0,9,0.057984
0.0,7,0.058192
0.0,5,0.058359
0.0,15,0.058742
1.0,15,0.059141
0.0,42,0.060097
0.0,13,0.060435
1.0,13,0.060772
0.0,51,0.061959
0.0,26,0.06258
0.0,32,0.063335
1.0,28,0.063998
0.0,6,0.064189
0.0,7,0.064404
0.0,1,0.064481
1.0,55,0.065709
1.0,19,0.06618
0.0,16,0.066589
1.0,17,0.067021
0.0,7,0.067233
1.0,14,0.06759
1.0,20,0.068085
1.0,85,0.069965
1.0,10,0.070243
0.0,23,0.070787
1.0,28,0.071453
1.0,27,0.072088
1.0,62,0.073465
0.0,5,0.073631
1.0,49,0.074747
0.0,11,0.07506
0.0,2,0.075168
0.0,18,0.075617
0.0,7,0.075832
0.0,39,0.076732
0.0,9,0.076993
1.0,16,0.077396
1.0,18,0.077834
1.0,16,0.07824
1.0,56,0.079507
0.0,14,0.079881
0.0,25,0.080489
1.0,21,0.081021
0.0,8,0.081255
0.0,1,0.081336
0.0,21,0.081846
0.0,9,0.082111
0.0,12,0.082431
0.0,44,0.083449
0.0,27,0.084101
1.0,9,0.084359
1.0,26,0.085029
0.0,9,0.085279
0.0,3,0.0854
1.0,13,0.08574
1.0,34,0.086541
0.0,3,0.08667
0.0,17,0.087103
0.0,10,0.087373
0.0,3,0.0875
0.0,11,0.087802
0.0,11,0.088111
0.0,6,0.088306
1.0,31,0.089035
1.0,16,0.089445
0.0,2,0.08955
0.0,56,0.090818
0.0,14,0.091222
0.0,4,0.091372
1.0,25,0.091975
1.0,16,0.092381
1.0,48,0.093472
0.0,5,0.093637
0.0,20,0.094137
0.0,1,0.094216
0.0,12,0.094526
0.0,3,0.094652
1.0,29,0.09534
0.0,1,0.095418
0.0,16,0.095819
0.0,4,0.095977
0.0,14,0.096337
1.0,24,0.096913
0.0,13,0.097253
0.0,6,0.097448
0.0,19,0.097918
1.0,12,0.09823
0.0,19,0.098686
0.0,3,0.098813
0.0,14,0.099182
0.0,4,0.099327
0.0,43,0.100303
1.0,6,0.10049
1.0,45,0.101522
1.0,41,0.10254
1.0,26,0.103172
0.0,46,0.104251
1.0,10,0.104536
0.0,19,0.105003
0.0,5,0.105168
0.0,9,0.105419
0.0,74,0.107061
0.0,31,0.107786
0.0,68,0.109307
0.0,6,0.109495
0.0,1,0.10957
0.0,4,0.109714
1.0,63,0.111143
1.0,13,0.111484
0.0,2,0.111583
1.0,47,0.112643
1.0,27,0.113275
1.0,12,0.113585
1.0,54,0.114793
0.0,32,0.115539
0.0,30,0.116283
0.0,17,0.116705
0.0,8,0.116952
1.0,53,0.118149
1.0,39,0.119051
0.0,2,0.119158
1.0,22,0.119686
0.0,1,0.119765
0.0,19,0.120246
0.0,9,0.120494
1.0,22,0.121033
1.0,26,0.121667
1.0,36,0.12251
0.0,4,0.122653
1.0,12,0.122981
0.0,3,0.123103
0.0,63,0.12451
0.0,3,0.12464
1.0,10,0.124923
0.0,9,0.125183
0.0,31,0.125918
0.0,28,0.126575
0.0,4,0.126717
0.0,14,0.127076
1.0,19,0.127553
0.0,4,0.127702
0.0,19,0.128186
0.0,2,0.128294
0.0,15,0.128686
0.0,11,0.128998
1.0,12,0.129311
0.0,12,0.129627
0.0,6,0.129812
0.0,77,0.131535
0.0,9,0.131799
1.0,32,0.132554
0.0,3,0.132681
0.0,11,0.132989
0.0,25,0.133582
0.0,15,0.13397
1.0,90,0.135978
1.0,33,0.136739
0.0,56,0.138023
0.0,9,0.138277
1.0,59,0.139615
0.0,6,0.139813
0.0,23,0.140362
0.0,25,0.140983
1.0,24,0.141552
0.0,9,0.141808
1.0,20,0.142329
0.0,5,0.142494
0.0,26,0.14313
0.0,5,0.143304
0.0,1,0.143381
1.0,26,0.144011
0.0,8,0.144239
1.0,21,0.144742
0.0,4,0.144889
1.0,14,0.145296
0.0,6,0.145486
1.0,20,0.145984
1.0,12,0.146306
0.0,7,0.146517
0.0,5,0.146687
0.0,15,0.147078
0.0,6,0.147269
0.0,10,0.147552
0.0,14,0.147929
0.0,8,0.148159
1.0,45,0.149183
0.0,19,0.149662
0.0,22,0.150203
0.0,8,0.15044
1.0,38,0.151337
1.0,32,0.152102
0.0,17,0.152535
1.0,19,0.153004
0.0,1,0.153081
0.0,1,0.153158
0.0,27,0.153792
0.0,5,0.153977
1.0,16,0.15438
0.0,44,0.155398
0.0,23,0.155961
1.0,54,0.157229
0.0,11,0.157534
0.0,26,0.158196
0.0,1,0.158279
0.0,8,0.15851
0.0,17,0.158941
0.0,6,0.15914
