#{"t_start": 1523121831.825043, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,4,0.006649
0.0,3,0.006794
0.0,3,0.006931
0.0,5,0.007121
0.0,1,0.007209
0.0,5,0.007381
0.0,24,0.007958
0.0,11,0.008267
0.0,4,0.008423
0.0,7,0.008635
0.0,10,0.008909
0.0,15,0.009325
0.0,5,0.009504
0.0,3,0.009636
0.0,2,0.009746
0.0,2,0.00985
0.0,12,0.01019
0.0,5,0.010372
0.0,2,0.010477
0.0,8,0.010717
0.0,2,0.010826
0.0,2,0.010929
0.0,30,0.011659
0.0,18,0.012133
0.0,6,0.012332
0.0,4,0.012489
0.0,4,0.012642
0.0,3,0.012772
0.0,5,0.01294
0.0,5,0.013123
0.0,6,0.013311
0.0,14,0.01368
0.0,9,0.01394
0.0,3,0.014083
0.0,6,0.014282
0.0,5,0.01445
0.0,19,0.014913
0.0,16,0.015335
0.0,5,0.015506
0.0,25,0.016121
0.0,3,0.016247
0.0,4,0.016393
0.0,32,0.017155
0.0,5,0.017331
0.0,14,0.017697
0.0,3,0.017827
0.0,4,0.017983
0.0,21,0.018504
0.0,5,0.018682
0.0,17,0.019135
0.0,6,0.019338
0.0,1,0.019421
0.0,13,0.019778
0.0,17,0.020221
0.0,9,0.020487
0.0,16,0.020903
0.0,5,0.021088
0.0,2,0.021193
0.0,13,0.02153
0.0,7,0.021754
0.0,15,0.022161
0.0,20,0.022666
0.0,8,0.022898
0.0,2,0.023005
0.0,4,0.023162
0.0,6,0.02336
0.0,8,0.023602
0.0,1,0.02368
0.0,10,0.023953
0.0,13,0.024318
0.0,14,0.024697
0.0,6,0.024885
0.0,6,0.025091
0.0,4,0.025249
0.0,8,0.02549
0.0,1,0.025573
0.0,6,0.025774
0.0,7,0.025985
0.0,11,0.026288
0.0,5,0.026457
0.0,4,0.026602
0.0,21,0.027135
0.0,4,0.027291
0.0,4,0.027442
0.0,17,0.027873
0.0,11,0.0282
0.0,9,0.028457
0.0,6,0.028647
0.0,4,0.028791
0.0,5,0.028968
0.0,2,0.029086
0.0,13,0.029436
0.0,3,0.029567
0.0,4,0.029714
0.0,4,0.029858
0.0,9,0.030137
0.0,2,0.030241
0.0,1,0.030323
0.0,7,0.03055
0.0,15,0.030943
0.0,42,0.031924
0.0,13,0.032282
0.0,11,0.032587
0.0,9,0.03284
0.0,14,0.033222
0.0,4,0.033371
0.0,6,0.033561
0.0,9,0.033816
0.0,1,0.033899
0.0,2,0.034001
0.0,12,0.034338
0.0,4,0.034487
0.0,8,0.034719
0.0,17,0.035172
0.0,8,0.035414
0.0,2,0.035516
0.0,12,0.035831
0.0,13,0.03618
0.0,10,0.036468
0.0,26,0.037104
0.0,3,0.03723
0.0,7,0.03744
0.0,6,0.037636
0.0,7,0.037846
0.0,1,0.037928
0.0,5,0.038119
0.0,5,0.038289
0.0,2,0.038393
0.0,19,0.038869
0.0,4,0.039023
0.0,3,0.039158
0.0,13,0.039508
0.0,4,0.039662
0.0,1,0.039745
0.0,2,0.039848
0.0,7,0.040086
0.0,2,0.04019
0.0,8,0.040427
0.0,7,0.040642
0.0,9,0.040899
0.0,11,0.041212
0.0,18,0.04166
0.0,6,0.041855
0.0,6,0.042069
0.0,32,0.042825
0.0,13,0.043194
0.0,7,0.043408
0.0,8,0.04364
0.0,1,0.043717
0.0,28,0.044405
0.0,5,0.044583
0.0,3,0.044715
0.0,7,0.044931
0.0,5,0.045115
0.0,5,0.045287
0.0,1,0.04537
0.0,5,0.045547
0.0,6,0.045744
0.0,5,0.045913
0.0,4,0.046071
0.0,3,0.046196
0.0,3,0.046327
0.0,3,0.046456
0.0,3,0.046582
0.0,7,0.0468
0.0,13,0.047164
0.0,9,0.047422
0.0,7,0.04764
0.0,5,0.047814
0.0,15,0.04821
0.0,1,0.048294
0.0,8,0.04853
0.0,1,0.048612
0.0,4,0.04877
0.0,4,0.048925
0.0,1,0.049004
0.0,5,0.049182
0.0,15,0.049578
0.0,6,0.04978
0.0,18,0.050239
0.0,6,0.050434
0.0,3,0.05056
0.0,9,0.050822
0.0,34,0.051653
0.0,5,0.051831
0.0,45,0.052891
0.0,8,0.053149
0.0,4,0.053298
0.0,14,0.053675
0.0,2,0.053779
0.0,1,0.053857
0.0,8,0.054112
0.0,4,0.054261
0.0,5,0.054439
0.0,3,0.054569
0.0,1,0.054647
0.0,36,0.055491
0.0,11,0.055798
0.0,1,0.055882
0.0,12,0.056228
0.0,4,0.056377
0.0,1,0.056455
0.0,10,0.05674
0.0,14,0.057121
0.0,4,0.057276
0.0,13,0.057623
0.0,4,0.057774
0.0,11,0.058081
0.0,9,0.05834
0.0,8,0.058578
0.0,18,0.059049
0.0,15,0.059442
0.0,5,0.059611
0.0,3,0.059735
0.0,5,0.059917
0.0,4,0.060076
0.0,3,0.060202
