#{"t_start": 1523135285.882439, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,5,0.008398
0.0,19,0.008977
0.0,38,0.009907
0.0,19,0.010406
0.0,22,0.010967
0.0,21,0.011508
0.0,13,0.011859
0.0,17,0.012291
0.0,25,0.012931
1.0,14,0.013319
0.0,5,0.013487
0.0,13,0.013869
0.0,16,0.014337
0.0,6,0.014534
0.0,15,0.014957
0.0,3,0.015094
0.0,4,0.015257
0.0,13,0.015607
0.0,8,0.015858
0.0,1,0.015941
0.0,1,0.016021
0.0,4,0.016175
0.0,4,0.016323
0.0,2,0.016432
0.0,6,0.016633
0.0,2,0.016737
0.0,1,0.01683
0.0,10,0.017112
0.0,18,0.01757
0.0,5,0.017741
0.0,5,0.01792
0.0,20,0.018409
0.0,6,0.018597
0.0,17,0.019051
0.0,13,0.0194
0.0,3,0.019526
0.0,7,0.019745
0.0,2,0.019861
0.0,6,0.020058
0.0,7,0.020275
0.0,1,0.020355
0.0,13,0.020695
0.0,4,0.020852
0.0,21,0.02136
0.0,11,0.021669
0.0,1,0.02175
0.0,4,0.02191
0.0,5,0.022086
0.0,26,0.0227
0.0,1,0.022779
0.0,7,0.023003
0.0,10,0.023281
0.0,15,0.023676
0.0,11,0.023992
0.0,15,0.024376
0.0,17,0.024803
1.0,15,0.025242
0.0,2,0.025349
0.0,2,0.025454
0.0,4,0.025608
0.0,2,0.025712
0.0,17,0.026154
0.0,14,0.026526
0.0,19,0.027007
0.0,9,0.027273
0.0,5,0.027452
0.0,1,0.027532
0.0,3,0.027666
0.0,9,0.027939
0.0,2,0.028046
0.0,1,0.028129
0.0,15,0.02852
0.0,1,0.028604
0.0,19,0.029092
0.0,1,0.029175
0.0,1,0.029255
0.0,1,0.029334
0.0,15,0.029716
0.0,1,0.029795
0.0,5,0.029978
0.0,2,0.030089
0.0,72,0.031703
0.0,17,0.032146
0.0,7,0.03237
0.0,12,0.032692
0.0,17,0.033139
0.0,15,0.033528
0.0,2,0.033631
0.0,9,0.033932
0.0,11,0.034272
0.0,1,0.034352
0.0,9,0.034605
0.0,24,0.035278
1.0,17,0.0357
0.0,12,0.036033
0.0,16,0.036451
0.0,10,0.036737
0.0,9,0.037
0.0,8,0.037241
0.0,5,0.03741
0.0,3,0.037536
0.0,4,0.037688
0.0,5,0.03787
0.0,21,0.038397
0.0,2,0.038506
0.0,2,0.038611
0.0,2,0.038718
0.0,3,0.038866
0.0,43,0.039859
0.0,6,0.040053
0.0,5,0.04022
0.0,2,0.040328
0.0,7,0.040547
0.0,9,0.040807
0.0,20,0.041299
0.0,14,0.041664
0.0,29,0.042354
0.0,16,0.042763
0.0,18,0.043227
0.0,8,0.043468
0.0,13,0.043815
0.0,22,0.044365
