#{"t_start": 1523123552.4893386, "env_id": "MyFrozenLake-v0"}
r,l,t
0.0,8,0.007423
0.0,9,0.007976
0.0,7,0.008373
0.0,4,0.008644
0.0,19,0.009505
0.0,19,0.010365
0.0,6,0.01072
0.0,6,0.011085
0.0,59,0.0134
0.0,24,0.014438
0.0,9,0.014907
0.0,19,0.01573
0.0,14,0.016381
0.0,33,0.017735
0.0,82,0.020855
0.0,50,0.022728
0.0,18,0.023485
0.0,52,0.025439
0.0,75,0.028249
0.0,12,0.028759
0.0,28,0.02983
0.0,31,0.030977
0.0,6,0.031276
0.0,21,0.032091
0.0,8,0.032461
1.0,74,0.035011
0.0,100,0.038476
0.0,4,0.038705
0.0,4,0.038931
0.0,20,0.03965
0.0,12,0.040125
0.0,4,0.040354
1.0,50,0.042029
0.0,70,0.044309
0.0,19,0.045005
1.0,32,0.046103
1.0,75,0.048564
1.0,8,0.0489
0.0,14,0.049421
0.0,6,0.049687
0.0,14,0.050205
1.0,24,0.051011
0.0,8,0.051347
1.0,33,0.052432
0.0,2,0.052581
1.0,16,0.053163
1.0,14,0.053665
0.0,36,0.054842
1.0,36,0.05601
0.0,84,0.058606
1.0,15,0.05913
0.0,28,0.060012
0.0,8,0.060328
1.0,9,0.060661
0.0,22,0.061366
0.0,7,0.061641
1.0,29,0.062559
0.0,1,0.062664
0.0,3,0.062843
0.0,27,0.063687
1.0,25,0.064473
1.0,18,0.065094
0.0,16,0.065623
0.0,7,0.065915
0.0,2,0.06606
1.0,28,0.066945
0.0,31,0.067908
1.0,44,0.069199
1.0,30,0.070101
0.0,28,0.070979
0.0,11,0.071374
0.0,5,0.071591
1.0,43,0.072844
1.0,37,0.07395
0.0,9,0.074283
1.0,15,0.074766
0.0,18,0.075345
0.0,3,0.075502
0.0,19,0.076101
1.0,19,0.076709
0.0,16,0.07724
1.0,17,0.077765
0.0,8,0.078082
0.0,11,0.078444
0.0,12,0.078851
0.0,6,0.079093
1.0,21,0.07972
0.0,26,0.080486
0.0,17,0.081024
0.0,3,0.081191
1.0,12,0.081577
0.0,17,0.082116
0.0,21,0.082758
1.0,16,0.083284
1.0,25,0.084051
0.0,1,0.084147
0.0,1,0.084248
0.0,7,0.084514
1.0,30,0.08539
0.0,8,0.08567
0.0,28,0.086513
0.0,12,0.086918
0.0,4,0.087098
0.0,21,0.087723
0.0,38,0.088797
1.0,14,0.089222
1.0,13,0.089623
0.0,24,0.090331
0.0,15,0.090792
0.0,21,0.091393
1.0,19,0.091955
1.0,24,0.092633
0.0,1,0.092728
1.0,26,0.093448
0.0,22,0.094096
1.0,74,0.096034
1.0,11,0.096378
0.0,20,0.096949
0.0,4,0.097132
0.0,16,0.097603
1.0,8,0.097899
0.0,26,0.098552
1.0,17,0.09898
1.0,37,0.099831
0.0,5,0.100006
0.0,7,0.100223
1.0,34,0.100959
1.0,10,0.101218
1.0,16,0.101602
0.0,10,0.101894
1.0,26,0.102495
1.0,38,0.103383
0.0,1,0.103464
1.0,30,0.104129
0.0,9,0.104372
0.0,2,0.104474
0.0,13,0.104843
1.0,60,0.106289
1.0,31,0.10697
1.0,32,0.107857
0.0,5,0.108041
0.0,13,0.108432
0.0,8,0.108654
1.0,14,0.109038
1.0,17,0.109464
0.0,2,0.109565
1.0,19,0.110018
0.0,24,0.110562
1.0,11,0.110868
0.0,14,0.111257
0.0,1,0.111333
0.0,7,0.111531
1.0,14,0.111909
0.0,8,0.112152
0.0,5,0.112308
1.0,32,0.113008
1.0,16,0.113393
0.0,32,0.114143
1.0,34,0.114915
0.0,3,0.115044
0.0,1,0.115134
0.0,27,0.115721
0.0,9,0.115979
0.0,19,0.116419
1.0,9,0.116653
1.0,16,0.117079
0.0,4,0.117252
1.0,12,0.117561
0.0,15,0.117954
0.0,20,0.118457
0.0,9,0.118696
0.0,24,0.119241
1.0,39,0.120147
0.0,18,0.120561
0.0,3,0.120687
0.0,3,0.120835
0.0,27,0.121464
0.0,6,0.121649
0.0,5,0.121817
0.0,9,0.122065
1.0,17,0.122457
0.0,15,0.122855
0.0,26,0.123462
1.0,15,0.12385
0.0,4,0.124003
1.0,8,0.124242
0.0,3,0.124359
0.0,11,0.124644
0.0,10,0.124924
1.0,16,0.125308
0.0,2,0.12541
1.0,6,0.125604
0.0,13,0.125957
1.0,14,0.126328
0.0,4,0.126468
1.0,9,0.126703
0.0,10,0.127025
0.0,15,0.127422
0.0,2,0.127521
1.0,10,0.127817
0.0,12,0.128153
0.0,4,0.128297
1.0,14,0.128643
1.0,30,0.129346
0.0,8,0.129563
0.0,22,0.130128
1.0,30,0.130781
0.0,3,0.130907
0.0,12,0.131198
1.0,12,0.131486
0.0,21,0.132021
1.0,30,0.132709
0.0,18,0.133199
1.0,24,0.133739
0.0,14,0.134094
0.0,6,0.134277
0.0,18,0.134737
0.0,22,0.135307
0.0,2,0.135411
0.0,5,0.135568
1.0,29,0.136247
0.0,2,0.136349
0.0,10,0.136618
0.0,7,0.136851
0.0,8,0.137087
1.0,9,0.137346
1.0,30,0.138045
1.0,12,0.138387
0.0,17,0.138827
1.0,6,0.139028
1.0,11,0.139318
1.0,25,0.139878
0.0,5,0.140037
1.0,9,0.14027
0.0,2,0.140374
1.0,22,0.140903
1.0,21,0.141407
0.0,13,0.141715
1.0,11,0.142029
0.0,51,0.143119
0.0,6,0.143315
0.0,1,0.143395
1.0,12,0.143693
0.0,7,0.143921
1.0,14,0.144293
0.0,32,0.145017
1.0,8,0.14526
1.0,16,0.145653
0.0,3,0.14577
0.0,4,0.145924
0.0,13,0.146252
0.0,2,0.146348
1.0,16,0.146715
